run_seed,config,missing_features,mask,miou
0,base,0,,97.746776
0,drop,0,,85.823742
0,impute,0,,85.823742
0,base,1,0,80.695949
0,drop,1,0,89.197057
0,impute,1,0,85.787836
0,base,1,1,71.181019
0,drop,1,1,95.411689
0,impute,1,1,85.706870
0,base,1,2,64.216718
0,drop,1,2,62.959060
0,impute,1,2,85.441363
0,base,1,3,97.507017
0,drop,1,3,93.219181
0,impute,1,3,85.745805
0,base,1,4,85.732419
0,drop,1,4,78.123276
0,impute,1,4,85.865783
0,base,1,5,62.804671
0,drop,1,5,62.434778
0,impute,1,5,83.934849
0,base,1,6,96.660100
0,drop,1,6,74.144221
0,impute,1,6,85.551348
0,base,1,7,67.249925
0,drop,1,7,63.516268
0,impute,1,7,83.154360
0,base,1,8,96.278009
0,drop,1,8,94.730627
0,impute,1,8,86.058083
0,base,1,9,69.423435
0,drop,1,9,67.712744
0,impute,1,9,85.399416
0,base,1,10,76.799299
0,drop,1,10,78.415729
0,impute,1,10,85.940812
0,base,1,11,41.306434
0,drop,1,11,63.842660
0,impute,1,11,86.671119
0,base,2,0|1,53.132311
0,drop,2,0|1,72.922011
0,impute,2,0|1,85.515713
0,base,2,0|2,61.307243
0,drop,2,0|2,73.329597
0,impute,2,0|2,85.557674
0,base,2,0|3,72.593802
0,drop,2,0|3,78.736082
0,impute,2,0|3,85.709977
0,base,2,0|4,66.693086
0,drop,2,0|4,68.385435
0,impute,2,0|4,85.593353
0,base,2,0|5,64.261405
0,drop,2,0|5,63.660592
0,impute,2,0|5,83.593791
0,base,2,0|6,84.425218
0,drop,2,0|6,89.356331
0,impute,2,0|6,85.357434
0,base,2,0|7,68.489559
0,drop,2,0|7,67.901997
0,impute,2,0|7,83.041877
0,base,2,0|8,76.628745
0,drop,2,0|8,81.163377
0,impute,2,0|8,85.745805
0,base,2,0|9,82.692311
0,drop,2,0|9,82.656230
0,impute,2,0|9,84.974645
0,base,2,0|10,88.736313
0,drop,2,0|10,91.460818
0,impute,2,0|10,86.021944
0,base,2,0|11,65.704478
0,drop,2,0|11,86.538961
0,impute,2,0|11,86.211623
0,base,2,1|2,75.925354
0,drop,2,1|2,65.200538
0,impute,2,1|2,85.441363
0,base,2,1|3,69.260629
0,drop,2,1|3,96.236803
0,impute,2,1|3,85.551348
0,base,2,1|4,63.801441
0,drop,2,1|4,75.814964
0,impute,2,1|4,85.982870
0,base,2,1|5,68.096118
0,drop,2,1|5,62.434778
0,impute,2,1|5,83.896875
0,base,2,1|6,75.851359
0,drop,2,1|6,88.490385
0,impute,2,1|6,85.318716
0,base,2,1|7,72.138784
0,drop,2,1|7,64.811103
0,impute,2,1|7,82.887767
0,base,2,1|8,68.632615
0,drop,2,1|8,96.847718
0,impute,2,1|8,85.901767
0,base,2,1|9,83.064438
0,drop,2,1|9,71.767477
0,impute,2,1|9,85.438160
0,base,2,1|10,91.855436
0,drop,2,1|10,83.631608
0,impute,2,1|10,86.018971
0,base,2,1|11,69.884775
0,drop,2,1|11,64.297237
0,impute,2,1|11,86.401668
0,base,2,2|3,64.370873
0,drop,2,2|3,64.044312
0,impute,2,2|3,85.557674
0,base,2,2|4,70.136276
0,drop,2,2|4,75.634180
0,impute,2,2|4,85.170725
0,base,2,2|5,62.342446
0,drop,2,2|5,62.218539
0,impute,2,2|5,81.953344
0,base,2,2|6,63.254821
0,drop,2,2|6,62.619612
0,impute,2,2|6,85.325246
0,base,2,2|7,62.280921
0,drop,2,2|7,62.156109
0,impute,2,2|7,82.263863
0,base,2,2|8,65.216478
0,drop,2,2|8,63.795544
0,impute,2,2|8,85.325246
0,base,2,2|9,62.133680
0,drop,2,2|9,62.575967
0,impute,2,2|9,84.517777
0,base,2,2|10,62.155888
0,drop,2,2|10,62.681273
0,impute,2,2|10,85.632206
0,base,2,2|11,45.344654
0,drop,2,2|11,62.125454
0,impute,2,2|11,85.900504
0,base,2,3|4,84.141759
0,drop,2,3|4,74.991554
0,impute,2,3|4,86.371796
0,base,2,3|5,62.586526
0,drop,2,3|5,63.423313
0,impute,2,3|5,83.593791
0,base,2,3|6,97.224885
0,drop,2,3|6,86.202848
0,impute,2,3|6,85.667957
0,base,2,3|7,67.235614
0,drop,2,3|7,64.950872
0,impute,2,3|7,83.342211
0,base,2,3|8,95.563351
0,drop,2,3|8,95.229633
0,impute,2,3|8,85.901767
0,base,2,3|9,59.957012
0,drop,2,3|9,71.342616
0,impute,2,3|9,85.360694
0,base,2,3|10,70.207391
0,drop,2,3|10,86.247989
0,impute,2,3|10,86.296089
0,base,2,3|11,31.655001
0,drop,2,3|11,66.568784
0,impute,2,3|11,86.673637
0,base,2,4|5,65.411960
0,drop,2,4|5,71.887213
0,impute,2,4|5,84.702112
0,base,2,4|6,89.835842
0,drop,2,4|6,78.460493
0,impute,2,4|6,85.979880
0,base,2,4|7,67.227782
0,drop,2,4|7,64.900399
0,impute,2,4|7,80.462738
0,base,2,4|8,83.230105
0,drop,2,4|8,74.202488
0,impute,2,4|8,85.940812
0,base,2,4|9,75.113099
0,drop,2,4|9,75.218160
0,impute,2,4|9,85.554522
0,base,2,4|10,85.221176
0,drop,2,4|10,79.497180
0,impute,2,4|10,86.024895
0,base,2,4|11,58.240998
0,drop,2,4|11,78.963088
0,impute,2,4|11,86.816001
0,base,2,5|6,62.588791
0,drop,2,5|6,64.351529
0,impute,2,5|6,83.555993
0,base,2,5|7,62.131368
0,drop,2,5|7,62.231021
0,impute,2,5|7,81.191261
0,base,2,5|8,63.082686
0,drop,2,5|8,62.452867
0,impute,2,5|8,83.631608
0,base,2,5|9,49.685606
0,drop,2,5|9,62.342446
0,impute,2,5|9,82.547237
0,base,2,5|10,57.378592
0,drop,2,5|10,62.422107
0,impute,2,5|10,84.090805
0,base,2,5|11,29.884313
0,drop,2,5|11,62.106870
0,impute,2,5|11,84.622937
0,base,2,6|7,65.851422
0,drop,2,6|7,63.005029
0,impute,2,6|7,83.116847
0,base,2,6|8,97.891760
0,drop,2,6|8,79.399880
0,impute,2,6|8,85.706870
0,base,2,6|9,69.233806
0,drop,2,6|9,65.279515
0,impute,2,6|9,85.283313
0,base,2,6|10,72.309356
0,drop,2,6|10,66.873883
0,impute,2,6|10,86.024895
0,base,2,6|11,47.294437
0,drop,2,6|11,62.481841
0,impute,2,6|11,86.823623
0,base,2,7|8,67.217101
0,drop,2,7|8,64.823145
0,impute,2,7|8,83.451032
0,base,2,7|9,47.565513
0,drop,2,7|9,62.541772
0,impute,2,7|9,82.556393
0,base,2,7|10,49.431448
0,drop,2,7|10,63.093032
0,impute,2,7|10,83.312911
0,base,2,7|11,30.323822
0,drop,2,7|11,45.643921
0,impute,2,7|11,83.778200
0,base,2,8|9,61.174423
0,drop,2,8|9,77.830446
0,impute,2,8|9,85.086857
0,base,2,8|10,70.468795
0,drop,2,8|10,95.276442
0,impute,2,8|10,86.021944
0,base,2,8|11,32.153318
0,drop,2,8|11,82.920781
0,impute,2,8|11,86.747303
0,base,2,9|10,36.969760
0,drop,2,9|10,67.093671
0,impute,2,9|10,85.518882
0,base,2,9|11,24.812125
0,drop,2,9|11,62.866113
0,impute,2,9|11,86.164613
0,base,2,10|11,24.917571
0,drop,2,10|11,67.461296
0,impute,2,10|11,87.268185
0,base,3,0|1|2,37.422415
0,drop,3,0|1|2,84.883583
0,impute,3,0|1|2,85.325246
0,base,3,0|1|3,49.662724
0,drop,3,0|1|3,67.212917
0,impute,3,0|1|3,85.283313
0,base,3,0|1|4,44.686513
0,drop,3,0|1|4,64.092823
0,impute,3,0|1|4,85.476926
0,base,3,0|1|5,67.558441
0,drop,3,0|1|5,66.569517
0,impute,3,0|1|5,83.254301
