split_offset,model_seed,model,n_train_px,n_test_px,OA,AA,kappa,mIoU
0,0,SVM (RBF),5103,3307,83.1872,80.8050,80.7997,71.6273
0,0,MLP (1D spectral),5103,3307,80.2238,74.8300,77.2899,64.7902
1,0,SVM (RBF),5067,3325,84.3008,83.3067,82.0559,73.8966
1,0,MLP (1D spectral),5067,3325,80.0902,76.7851,77.1326,66.3549
2,0,SVM (RBF),5018,3369,85.5150,85.0379,83.4529,75.5146
2,0,MLP (1D spectral),5018,3369,78.8364,77.2535,75.9263,66.0876
3,0,SVM (RBF),4984,3407,84.3264,83.4695,82.0691,74.0788
3,0,MLP (1D spectral),4984,3407,80.2759,75.3729,77.2927,65.1778
4,0,SVM (RBF),4991,3433,84.5033,79.0972,82.3345,69.5960
4,0,MLP (1D spectral),4991,3433,79.8718,73.8121,77.0686,63.3713
5,0,SVM (RBF),5021,3413,84.5590,78.0918,82.4317,68.2431
5,0,MLP (1D spectral),5021,3413,79.7246,74.0456,76.8971,62.1060
6,0,SVM (RBF),5043,3314,84.7616,78.0939,82.6255,68.5540
6,0,MLP (1D spectral),5043,3314,81.2613,76.0117,78.5554,64.9689
7,0,SVM (RBF),5073,3310,84.9849,79.1792,82.8476,69.8519
7,0,MLP (1D spectral),5073,3310,80.5438,72.9258,77.6281,63.2464
8,0,SVM (RBF),5093,3332,83.2833,77.6606,80.8883,67.7198
8,0,MLP (1D spectral),5093,3332,79.5618,74.6953,76.5468,63.5215
9,0,SVM (RBF),5107,3276,83.7302,78.7440,81.4224,69.0814
9,0,MLP (1D spectral),5107,3276,79.7314,75.1543,76.8183,64.5460
