contrast,missing_groups,delta_miou,ci_lo,ci_hi
PE_main_effect_nodrop,0,1.9088,-0.2920,4.1096
PE_main_effect_nodrop,1,-3.7301,-6.1301,-1.3301
PE_main_effect_nodrop,2,-6.3305,-9.7723,-2.8886
PE_main_effect_nodrop,3,-7.2045,-11.0363,-3.3726
PE_main_effect_nodrop,4,-6.7301,-10.5816,-2.8787
PE_main_effect_nodrop,5,-5.5070,-8.8945,-2.1196
PE_main_effect_nodrop,6,-4.1033,-6.6830,-1.5237
PE_effect_with_drop,0,1.7166,-1.8049,5.2381
PE_effect_with_drop,1,1.3606,-0.9590,3.6803
PE_effect_with_drop,2,0.9587,-0.8445,2.7618
PE_effect_with_drop,3,0.4969,-1.2362,2.2300
PE_effect_with_drop,4,-0.2035,-2.2362,1.8292
PE_effect_with_drop,5,-1.1340,-3.6391,1.3711
PE_effect_with_drop,6,-2.2948,-5.0147,0.4251
dropout_main_effect,0,-0.0333,-3.0854,3.0187
dropout_main_effect,1,7.5180,5.4883,9.5478
dropout_main_effect,2,13.8663,12.3886,15.3440
dropout_main_effect,3,18.7064,17.6461,19.7667
dropout_main_effect,4,21.6369,20.8132,22.4605
dropout_main_effect,5,22.3039,21.7747,22.8330
dropout_main_effect,6,20.3907,20.0500,20.7315
dropout_effect_wavePE,0,-0.2255,-2.4203,1.9692
dropout_effect_wavePE,1,12.6088,10.0095,15.2082
dropout_effect_wavePE,2,21.1554,18.0065,24.3043
dropout_effect_wavePE,3,26.4078,22.9919,29.8236
dropout_effect_wavePE,4,28.1635,24.5349,31.7921
dropout_effect_wavePE,5,26.6769,23.1441,30.2096
dropout_effect_wavePE,6,22.1993,19.1887,25.2099
both_vs_neither,0,1.6833,0.5870,2.7796
both_vs_neither,1,8.8787,8.1919,9.5654
both_vs_neither,2,14.8250,13.8420,15.8079
both_vs_neither,3,19.2033,17.4913,20.9154
both_vs_neither,4,21.4334,19.0684,23.7983
both_vs_neither,5,21.1699,18.3078,24.0320
both_vs_neither,6,18.0959,15.2147,20.9772
