contrast,missing_groups,delta_miou,ci_lo,ci_hi
PE_main_effect_nodrop,0,1.4244,-3.1255,5.9742
PE_main_effect_nodrop,1,-4.1155,-7.2983,-0.9326
PE_main_effect_nodrop,2,-6.5636,-9.9775,-3.1496
PE_main_effect_nodrop,3,-7.3397,-10.8581,-3.8214
PE_main_effect_nodrop,4,-6.7824,-10.1441,-3.4208
PE_main_effect_nodrop,5,-5.4955,-8.3441,-2.6469
PE_main_effect_nodrop,6,-4.0840,-6.2636,-1.9044
PE_effect_with_drop,0,2.2090,-1.5799,5.9979
PE_effect_with_drop,1,1.8192,-0.9877,4.6260
PE_effect_with_drop,2,1.2015,-1.1495,3.5525
PE_effect_with_drop,3,0.6055,-1.6233,2.8344
PE_effect_with_drop,4,-0.2047,-2.4944,2.0849
PE_effect_with_drop,5,-1.2484,-3.8623,1.3654
PE_effect_with_drop,6,-2.3691,-5.2015,0.4633
dropout_main_effect,0,-0.8802,-5.0054,3.2449
dropout_main_effect,1,6.8474,3.1762,10.5186
dropout_main_effect,2,13.4759,10.6353,16.3164
dropout_main_effect,3,18.2553,16.0639,20.4467
dropout_main_effect,4,21.0089,19.5123,22.5056
dropout_main_effect,5,21.4983,20.5241,22.4724
dropout_main_effect,6,19.4362,18.8121,20.0603
dropout_effect_wavePE,0,-0.0956,-4.4836,4.2925
dropout_effect_wavePE,1,12.7821,10.3992,15.1649
dropout_effect_wavePE,2,21.2410,18.5937,23.8882
dropout_effect_wavePE,3,26.2006,23.2861,29.1150
dropout_effect_wavePE,4,27.5866,24.3469,30.8264
dropout_effect_wavePE,5,25.7453,22.4954,28.9952
dropout_effect_wavePE,6,21.1510,18.2958,24.0063
both_vs_neither,0,1.3288,-1.2015,3.8591
both_vs_neither,1,8.6666,7.1879,10.1453
both_vs_neither,2,14.6774,13.4357,15.9191
both_vs_neither,3,18.8608,17.2652,20.4565
both_vs_neither,4,20.8042,18.7302,22.8782
both_vs_neither,5,20.2498,17.7773,22.7223
both_vs_neither,6,17.0671,14.5991,19.5350
