contrast,missing_groups,delta_miou,ci_lo,ci_hi
PE_main_effect_nodrop,0,0.4503,-0.8013,1.7019
PE_main_effect_nodrop,1,-1.6035,-3.0209,-0.1862
PE_main_effect_nodrop,2,-2.6036,-5.2156,0.0085
PE_main_effect_nodrop,3,-3.1653,-6.4937,0.1632
PE_main_effect_nodrop,4,-3.3350,-7.0854,0.4154
PE_main_effect_nodrop,5,-3.0106,-6.8109,0.7896
PE_main_effect_nodrop,6,-2.2270,-5.5631,1.1091
PE_effect_with_drop,0,0.4195,-0.3748,1.2137
PE_effect_with_drop,1,0.2638,-0.5546,1.0822
PE_effect_with_drop,2,0.1058,-0.6745,0.8861
PE_effect_with_drop,3,-0.0256,-0.7068,0.6557
PE_effect_with_drop,4,-0.2949,-0.9105,0.3206
PE_effect_with_drop,5,-0.8332,-1.7653,0.0989
PE_effect_with_drop,6,-1.7369,-3.8958,0.4221
dropout_main_effect,0,-0.6608,-1.3522,0.0305
dropout_main_effect,1,9.2676,6.7409,11.7943
dropout_main_effect,2,17.5576,14.5067,20.6086
dropout_main_effect,3,24.1639,21.3232,27.0045
dropout_main_effect,4,28.7248,26.1109,31.3387
dropout_main_effect,5,30.6087,27.8948,33.3226
dropout_main_effect,6,29.1244,25.8343,32.4145
dropout_effect_wavePE,0,-0.6917,-2.1566,0.7733
dropout_effect_wavePE,1,11.1349,9.4775,12.7923
dropout_effect_wavePE,2,20.2670,17.5368,22.9972
dropout_effect_wavePE,3,27.3036,24.0866,30.5206
dropout_effect_wavePE,4,31.7648,27.9913,35.5384
dropout_effect_wavePE,5,32.7861,28.5505,37.0218
dropout_effect_wavePE,6,29.6145,25.4565,33.7725
both_vs_neither,0,-0.2414,-0.7251,0.2424
both_vs_neither,1,9.5314,7.7484,11.3145
both_vs_neither,2,17.6634,15.3024,20.0244
both_vs_neither,3,24.1383,21.8310,26.4456
both_vs_neither,4,28.4298,26.2520,30.6077
both_vs_neither,5,29.7755,27.4068,32.1442
both_vs_neither,6,27.3875,24.6116,30.1633
