contrast,missing_groups,delta_miou,ci_lo,ci_hi
PE_main_effect_nodrop,0,0.5900,-1.0471,2.2271
PE_main_effect_nodrop,1,-3.7043,-5.9394,-1.4692
PE_main_effect_nodrop,2,-5.8159,-9.3617,-2.2702
PE_main_effect_nodrop,3,-6.5674,-10.5665,-2.5683
PE_main_effect_nodrop,4,-6.5019,-10.6415,-2.3623
PE_main_effect_nodrop,5,-5.8540,-10.4304,-1.2776
PE_main_effect_nodrop,6,-4.8672,-10.2520,0.5176
PE_effect_with_drop,0,0.8761,-0.3011,2.0533
PE_effect_with_drop,1,0.7741,-0.2931,1.8413
PE_effect_with_drop,2,0.6311,-0.3609,1.6230
PE_effect_with_drop,3,0.4325,-0.5024,1.3675
PE_effect_with_drop,4,0.0738,-0.9598,1.1073
PE_effect_with_drop,5,-0.4303,-1.8109,0.9502
PE_effect_with_drop,6,-0.9347,-3.0452,1.1759
dropout_main_effect,0,-0.6608,-1.3522,0.0305
dropout_main_effect,1,9.2676,6.7409,11.7943
dropout_main_effect,2,17.5576,14.5067,20.6086
dropout_main_effect,3,24.1639,21.3232,27.0045
dropout_main_effect,4,28.7248,26.1109,31.3387
dropout_main_effect,5,30.6087,27.8948,33.3226
dropout_main_effect,6,29.1244,25.8343,32.4145
dropout_effect_wavePE,0,-0.3748,-1.8782,1.1286
dropout_effect_wavePE,1,13.7460,11.1105,16.3815
dropout_effect_wavePE,2,24.0046,20.6181,27.3912
dropout_effect_wavePE,3,31.1638,27.4825,34.8451
dropout_effect_wavePE,4,35.3004,31.7096,38.8912
dropout_effect_wavePE,5,36.0323,32.5135,39.5512
dropout_effect_wavePE,6,33.0569,29.2009,36.9129
both_vs_neither,0,0.2153,-0.6512,1.0817
both_vs_neither,1,10.0417,8.1765,11.9070
both_vs_neither,2,18.1887,15.8823,20.4951
both_vs_neither,3,24.5964,22.4654,26.7274
both_vs_neither,4,28.7985,26.7439,30.8532
both_vs_neither,5,30.1784,27.8386,32.5181
both_vs_neither,6,28.1897,25.4174,30.9621
