contrast,missing_groups,delta_miou,ci_lo,ci_hi
PE_main_effect_nodrop,0,0.0345,-0.4215,0.4906
PE_main_effect_nodrop,1,-2.6270,-3.4078,-1.8462
PE_main_effect_nodrop,2,-4.5744,-5.1924,-3.9564
PE_main_effect_nodrop,3,-5.6201,-7.5601,-3.6801
PE_main_effect_nodrop,4,-6.0016,-8.9408,-3.0624
PE_main_effect_nodrop,5,-5.6946,-8.8985,-2.4906
PE_main_effect_nodrop,6,-4.7046,-7.5532,-1.8561
PE_effect_with_drop,0,0.1756,-0.8703,1.2215
PE_effect_with_drop,1,0.1851,-0.8506,1.2208
PE_effect_with_drop,2,0.1732,-0.9785,1.3249
PE_effect_with_drop,3,0.1130,-1.3849,1.6110
PE_effect_with_drop,4,-0.1703,-2.3455,2.0049
PE_effect_with_drop,5,-1.1359,-4.4324,2.1606
PE_effect_with_drop,6,-2.8394,-7.2068,1.5280
dropout_main_effect,0,-0.3262,-1.4130,0.7606
dropout_main_effect,1,9.5075,6.8696,12.1453
dropout_main_effect,2,20.0422,16.9412,23.1432
dropout_main_effect,3,30.5303,27.6809,33.3798
dropout_main_effect,4,39.1327,36.4114,41.8541
dropout_main_effect,5,43.8969,41.1923,46.6016
dropout_main_effect,6,42.3696,39.6829,45.0563
dropout_effect_wavePE,0,-0.1851,-0.6413,0.2710
dropout_effect_wavePE,1,12.3196,10.4146,14.2245
dropout_effect_wavePE,2,24.7897,21.5161,28.0633
dropout_effect_wavePE,3,36.2635,31.9270,40.6000
dropout_effect_wavePE,4,44.9640,40.2315,49.6966
dropout_effect_wavePE,5,48.4556,43.7319,53.1793
dropout_effect_wavePE,6,44.2348,39.9891,48.4806
both_vs_neither,0,-0.1506,-0.6330,0.3318
both_vs_neither,1,9.6926,7.2641,12.1211
both_vs_neither,2,20.2154,17.1780,23.2527
both_vs_neither,3,30.6434,27.4225,33.8643
both_vs_neither,4,38.9624,35.2854,42.6394
both_vs_neither,5,42.7610,38.7153,46.8068
both_vs_neither,6,39.5302,35.7766,43.2838
