contrast,missing_groups,delta_miou,ci_lo,ci_hi
hcs_minus_drop,0,-3.7362,-7.8635,0.3910
hcs_minus_drop,1,-2.9264,-6.0803,0.2275
hcs_minus_drop,2,-1.6650,-4.6122,1.2822
hcs_minus_drop,3,0.1484,-2.7565,3.0533
hcs_minus_drop,4,2.9091,0.0273,5.7908
hcs_minus_drop,5,6.6967,4.1395,9.2539
hcs_minus_drop,6,11.2584,9.2177,13.2991
dcs_minus_drop,0,-3.4992,-6.9337,-0.0647
dcs_minus_drop,1,-2.7560,-5.4756,-0.0364
dcs_minus_drop,2,-1.5717,-3.8287,0.6853
dcs_minus_drop,3,0.1480,-1.8140,2.1099
dcs_minus_drop,4,2.7657,1.0677,4.4637
dcs_minus_drop,5,6.3551,5.0008,7.7095
dcs_minus_drop,6,10.7449,9.3945,12.0954
dcs_minus_hcs,0,0.2370,-1.6615,2.1355
dcs_minus_hcs,1,0.1704,-1.0116,1.3525
dcs_minus_hcs,2,0.0933,-1.5198,1.7065
dcs_minus_hcs,3,-0.0004,-1.8172,1.8163
dcs_minus_hcs,4,-0.1433,-2.1042,1.8175
dcs_minus_hcs,5,-0.3416,-2.4374,1.7542
dcs_minus_hcs,6,-0.5135,-2.4639,1.4369
