contrast,missing_groups,delta_miou,ci_lo,ci_hi
hcs_minus_drop,0,-4.5941,-7.2449,-1.9432
hcs_minus_drop,1,-3.5884,-5.4208,-1.7560
hcs_minus_drop,2,-2.2711,-3.5868,-0.9553
hcs_minus_drop,3,-0.3931,-1.6753,0.8892
hcs_minus_drop,4,2.5764,1.1310,4.0218
hcs_minus_drop,5,6.6650,5.1300,8.2000
hcs_minus_drop,6,11.6847,10.4790,12.8904
dcs_minus_drop,0,-3.7765,-7.6360,0.0829
dcs_minus_drop,1,-3.1785,-6.1233,-0.2337
dcs_minus_drop,2,-2.0996,-4.5012,0.3019
dcs_minus_drop,3,-0.4083,-2.5095,1.6929
dcs_minus_drop,4,2.3534,0.4626,4.2441
dcs_minus_drop,5,6.1868,4.4707,7.9029
dcs_minus_drop,6,11.0835,9.5240,12.6430
dcs_minus_hcs,0,0.8175,-0.8026,2.4376
dcs_minus_hcs,1,0.4099,-0.8765,1.6964
dcs_minus_hcs,2,0.1714,-1.3232,1.6661
dcs_minus_hcs,3,-0.0152,-1.7105,1.6800
dcs_minus_hcs,4,-0.2230,-2.0785,1.6325
dcs_minus_hcs,5,-0.4782,-2.4134,1.4569
dcs_minus_hcs,6,-0.6012,-2.4340,1.2315
