seed,split_seed,model_seed,condition,sensor,arm,srf,bands,hidden,params,n_train,n_test,n_train_classes,n_test_classes,macro_classes,constant_bands,mIoU,AA,OA,kappa,mIoU_present,AA_present,iou_c1,iou_c2,iou_c3,iou_c4,iou_c5,iou_c6,iou_c7,iou_c8,iou_c9,iou_c10,iou_c11,iou_c12,iou_c13,iou_c14,iou_c15,iou_c16
0,0,0,full-HSI,full-HSI,unmatched,pyspectral,200,256,121360,5103,3307,16,15,14,0,72.1276,81.1335,85.1829,83.0115,72.5043,82.3913,42.1053,70.3782,64.3836,46.5753,86.3636,84.9593,77.7778,93.4524,,70.0000,77.4530,69.8745,100.0000,85.5042,35.4037,83.3333
0,0,0,Sentinel-2,Sentinel-2,unmatched,pyspectral,11,256,72976,5103,3307,16,15,14,0,67.7429,77.5055,79.8307,76.8498,68.9410,78.0528,75.0000,60.1818,51.1111,28.8591,73.2984,81.7121,85.7143,96.3855,,66.4688,70.4935,43.1159,96.4912,85.5042,32.2785,87.5000
0,0,0,Landsat-8 OLI,Landsat-8 OLI,unmatched,pyspectral,6,256,71696,5103,3307,16,15,14,0,63.6976,74.2483,77.6837,74.4146,64.2130,74.0603,58.8235,57.4275,50.4615,25.6410,67.2316,74.0351,71.4286,93.5294,,66.7638,70.1431,36.5132,100.0000,82.1285,21.5686,87.5000
1,1,1,full-HSI,full-HSI,unmatched,pyspectral,200,256,121360,5067,3325,16,15,14,0,74.8205,84.1076,85.6241,83.5595,73.1658,85.1671,52.6316,70.9234,67.4772,43.6620,86.6667,87.2951,,95.2055,50.0000,69.1429,77.6471,70.5394,100.0000,86.2302,44.8276,95.2381
1,1,1,Sentinel-2,Sentinel-2,unmatched,pyspectral,11,256,72976,5067,3325,16,15,14,0,67.4908,78.8087,78.5263,75.4383,64.6581,76.8881,68.4211,56.6775,51.2121,37.7622,74.6544,83.6000,,95.8333,25.0000,66.2953,67.1458,41.7544,96.2264,83.2972,31.5152,90.4762
1,1,1,Landsat-8 OLI,Landsat-8 OLI,unmatched,pyspectral,6,256,71696,5067,3325,16,15,14,0,65.9721,76.8484,76.7519,73.3715,64.9073,75.0585,88.8889,53.4400,46.6867,33.0827,77.8351,71.1409,,97.8873,50.0000,68.0556,66.2258,37.1336,90.1961,84.0426,18.5185,90.4762
2,2,2,full-HSI,full-HSI,unmatched,pyspectral,200,256,121360,5018,3369,16,15,14,0,74.2950,84.3357,85.3666,83.2616,74.6754,85.3800,47.6190,70.8245,64.7761,50.9804,86.2944,91.5254,,92.5676,80.0000,68.7332,76.1134,69.3548,94.0000,84.4125,56.5657,86.3636
2,2,2,Sentinel-2,Sentinel-2,unmatched,pyspectral,11,256,72976,5018,3369,16,15,14,0,70.8269,81.2221,81.3298,78.5669,68.7718,79.1406,73.9130,62.2605,53.8462,43.9024,78.9474,82.7451,,97.8723,40.0000,62.9902,71.5686,50.5929,96.0000,85.7466,44.8276,86.3636
2,2,2,Landsat-8 OLI,Landsat-8 OLI,unmatched,pyspectral,6,256,71696,5018,3369,16,15,14,0,62.4700,74.7160,76.6400,73.1242,60.9720,73.0682,61.9048,56.6929,51.8817,42.1053,62.2549,64.6884,,93.8776,40.0000,59.8039,68.4507,38.4030,85.7143,82.9268,19.5122,86.3636
3,3,3,full-HSI,full-HSI,unmatched,pyspectral,200,256,121360,4984,3407,16,16,14,0,75.8540,85.0672,85.9701,83.9405,77.8305,85.8921,55.1724,71.4851,70.0280,46.3576,87.2928,92.3729,100.0000,92.5170,83.3333,63.2597,74.5984,72.9469,93.3333,89.0135,65.1163,88.4615
3,3,3,Sentinel-2,Sentinel-2,unmatched,pyspectral,11,256,72976,4984,3407,16,16,14,0,66.1253,76.9567,78.9844,75.7307,68.5739,78.7954,65.3846,61.2326,51.8625,43.9024,58.8832,81.5385,100.0000,93.2432,71.4286,57.0732,67.4956,48.4581,84.8485,83.7895,42.8571,85.1852
3,3,3,Landsat-8 OLI,Landsat-8 OLI,unmatched,pyspectral,6,256,71696,4984,3407,16,16,14,0,61.3193,73.9346,76.6657,73.1012,61.7794,75.1094,46.1538,51.9157,53.5613,50.3876,43.4066,65.3251,80.0000,90.7895,50.0000,60.8808,68.5118,47.4308,84.8485,81.1359,28.4091,85.7143
4,4,4,full-HSI,full-HSI,unmatched,pyspectral,200,256,121360,4991,3433,16,16,14,0,71.2282,80.4242,85.3772,83.3439,71.6997,79.7462,9.0909,76.2906,66.6667,32.0000,87.3418,91.3793,100.0000,82.7586,50.0000,69.3820,73.0093,74.4292,95.5224,86.6197,67.4107,85.2941
4,4,4,Sentinel-2,Sentinel-2,unmatched,pyspectral,11,256,72976,4991,3433,16,16,14,0,62.1655,72.8425,78.3571,75.1173,63.7698,73.1122,9.0909,61.7143,52.3077,38.8430,62.3457,83.5938,100.0000,82.2857,50.0000,53.8874,65.1859,50.2075,90.1408,83.0000,52.0000,85.7143
4,4,4,Landsat-8 OLI,Landsat-8 OLI,unmatched,pyspectral,6,256,71696,4991,3433,16,16,14,0,61.1675,73.2418,77.5706,74.3182,62.1153,72.6803,9.0909,53.6937,54.9333,47.3684,80.4734,66.8874,100.0000,82.7586,37.5000,58.3127,66.2571,42.0635,83.3333,88.1720,36.1582,86.8421
