groups,seed,method,missing_groups,missing_fraction,miou,seed_clean_miou,seed_abs_auc,seed_retention_auc,common_frac_max
5,0,b1,0,0.000000,71.855802,71.855802,27.967697,38.921975,0.500000
5,0,b1,1,0.200000,23.770976,71.855802,27.967697,38.921975,0.500000
5,0,b1,2,0.400000,10.691123,71.855802,27.967697,38.921975,0.500000
5,0,b1,3,0.600000,6.925062,71.855802,27.967697,38.921975,0.500000
5,0,b1,4,0.800000,2.491072,71.855802,27.967697,38.921975,0.500000
5,1,b1,0,0.000000,74.760213,74.760213,28.624812,38.288831,0.500000
5,1,b1,1,0.200000,23.778368,74.760213,28.624812,38.288831,0.500000
5,1,b1,2,0.400000,11.016454,74.760213,28.624812,38.288831,0.500000
5,1,b1,3,0.600000,6.113271,74.760213,28.624812,38.288831,0.500000
5,1,b1,4,0.800000,2.463163,74.760213,28.624812,38.288831,0.500000
5,2,b1,0,0.000000,73.672220,73.672220,27.432786,37.236269,0.500000
5,2,b1,1,0.200000,22.024507,73.672220,27.432786,37.236269,0.500000
5,2,b1,2,0.400000,10.344526,73.672220,27.432786,37.236269,0.500000
5,2,b1,3,0.600000,5.359099,73.672220,27.432786,37.236269,0.500000
5,2,b1,4,0.800000,2.273162,73.672220,27.432786,37.236269,0.500000
5,3,b1,0,0.000000,75.441334,75.441334,28.261379,37.461399,0.500000
5,3,b1,1,0.200000,22.984316,75.441334,28.261379,37.461399,0.500000
5,3,b1,2,0.400000,10.558264,75.441334,28.261379,37.461399,0.500000
5,3,b1,3,0.600000,5.679874,75.441334,28.261379,37.461399,0.500000
5,3,b1,4,0.800000,2.012108,75.441334,28.261379,37.461399,0.500000
5,4,b1,0,0.000000,71.714100,71.714100,27.676987,38.593508,0.500000
5,4,b1,1,0.200000,22.629329,71.714100,27.676987,38.593508,0.500000
5,4,b1,2,0.400000,11.265779,71.714100,27.676987,38.593508,0.500000
5,4,b1,3,0.600000,6.788247,71.714100,27.676987,38.593508,0.500000
5,4,b1,4,0.800000,2.546699,71.714100,27.676987,38.593508,0.500000
5,0,b2,0,0.000000,65.142380,65.142380,60.205377,92.421212,0.500000
5,0,b2,1,0.200000,61.849941,65.142380,60.205377,92.421212,0.500000
5,0,b2,2,0.400000,57.202247,65.142380,60.205377,92.421212,0.500000
5,0,b2,3,0.600000,48.322763,65.142380,60.205377,92.421212,0.500000
5,0,b2,4,0.800000,29.225098,65.142380,60.205377,92.421212,0.500000
5,1,b2,0,0.000000,67.240060,67.240060,61.524479,91.499738,0.500000
5,1,b2,1,0.200000,63.271922,67.240060,61.524479,91.499738,0.500000
5,1,b2,2,0.400000,58.089720,67.240060,61.524479,91.499738,0.500000
5,1,b2,3,0.600000,48.725919,67.240060,61.524479,91.499738,0.500000
5,1,b2,4,0.800000,25.926728,67.240060,61.524479,91.499738,0.500000
5,2,b2,0,0.000000,64.892745,64.892745,58.913821,90.786452,0.500000
5,2,b2,1,0.200000,60.607197,64.892745,58.913821,90.786452,0.500000
5,2,b2,2,0.400000,55.409430,64.892745,58.913821,90.786452,0.500000
5,2,b2,3,0.600000,45.981844,64.892745,58.913821,90.786452,0.500000
5,2,b2,4,0.800000,26.646240,64.892745,58.913821,90.786452,0.500000
5,3,b2,0,0.000000,67.700488,67.700488,59.983513,88.601301,0.500000
5,3,b2,1,0.200000,62.240713,67.700488,59.983513,88.601301,0.500000
5,3,b2,2,0.400000,55.008908,67.700488,59.983513,88.601301,0.500000
5,3,b2,3,0.600000,45.880254,67.700488,59.983513,88.601301,0.500000
5,3,b2,4,0.800000,25.070385,67.700488,59.983513,88.601301,0.500000
5,4,b2,0,0.000000,66.889222,66.889222,60.414620,90.320411,0.500000
5,4,b2,1,0.200000,62.239000,66.889222,60.414620,90.320411,0.500000
5,4,b2,2,0.400000,56.499230,66.889222,60.414620,90.320411,0.500000
5,4,b2,3,0.600000,47.328904,66.889222,60.414620,90.320411,0.500000
5,4,b2,4,0.800000,26.845389,66.889222,60.414620,90.320411,0.500000
5,0,b3,0,0.000000,71.855802,71.855802,18.016613,25.073289,0.500000
5,0,b3,1,0.200000,7.162016,71.855802,18.016613,25.073289,0.500000
5,0,b3,2,0.400000,2.034629,71.855802,18.016613,25.073289,0.500000
5,0,b3,3,0.600000,1.370519,71.855802,18.016613,25.073289,0.500000
5,0,b3,4,0.800000,0.771956,71.855802,18.016613,25.073289,0.500000
5,1,b3,0,0.000000,74.760213,74.760213,18.637680,24.929945,0.500000
5,1,b3,1,0.200000,7.423952,74.760213,18.637680,24.929945,0.500000
5,1,b3,2,0.400000,1.841106,74.760213,18.637680,24.929945,0.500000
5,1,b3,3,0.600000,1.433388,74.760213,18.637680,24.929945,0.500000
5,1,b3,4,0.800000,1.063698,74.760213,18.637680,24.929945,0.500000
5,2,b3,0,0.000000,73.672220,73.672220,18.030716,24.474241,0.500000
5,2,b3,1,0.200000,5.755660,73.672220,18.030716,24.474241,0.500000
5,2,b3,2,0.400000,2.648910,73.672220,18.030716,24.474241,0.500000
5,2,b3,3,0.600000,1.337794,73.672220,18.030716,24.474241,0.500000
5,2,b3,4,0.800000,1.102065,73.672220,18.030716,24.474241,0.500000
5,3,b3,0,0.000000,75.441334,75.441334,17.887114,23.709965,0.500000
5,3,b3,1,0.200000,4.921511,75.441334,17.887114,23.709965,0.500000
5,3,b3,2,0.400000,2.229333,75.441334,17.887114,23.709965,0.500000
5,3,b3,3,0.600000,0.999517,75.441334,17.887114,23.709965,0.500000
5,3,b3,4,0.800000,1.065330,75.441334,17.887114,23.709965,0.500000
5,4,b3,0,0.000000,71.714100,71.714100,17.289319,24.108675,0.500000
5,4,b3,1,0.200000,4.334005,71.714100,17.289319,24.108675,0.500000
5,4,b3,2,0.400000,3.260547,71.714100,17.289319,24.108675,0.500000
5,4,b3,3,0.600000,1.434112,71.714100,17.289319,24.108675,0.500000
5,4,b3,4,0.800000,0.496593,71.714100,17.289319,24.108675,0.500000
5,0,b4,0,0.000000,67.819174,67.819174,62.305258,91.869681,0.500000
5,0,b4,1,0.200000,64.149223,67.819174,62.305258,91.869681,0.500000
5,0,b4,2,0.400000,58.684155,67.819174,62.305258,91.869681,0.500000
5,0,b4,3,0.600000,50.845598,67.819174,62.305258,91.869681,0.500000
5,0,b4,4,0.800000,37.764779,67.819174,62.305258,91.869681,0.500000
5,1,b4,0,0.000000,68.843682,68.843682,63.257136,91.885173,0.500000
5,1,b4,1,0.200000,64.823134,68.843682,63.257136,91.885173,0.500000
5,1,b4,2,0.400000,59.936290,68.843682,63.257136,91.885173,0.500000
5,1,b4,3,0.600000,51.628891,68.843682,63.257136,91.885173,0.500000
5,1,b4,4,0.800000,37.516863,68.843682,63.257136,91.885173,0.500000
5,2,b4,0,0.000000,66.548002,66.548002,60.733194,91.262236,0.500000
5,2,b4,1,0.200000,62.665322,66.548002,60.733194,91.262236,0.500000
5,2,b4,2,0.400000,56.885548,66.548002,60.733194,91.262236,0.500000
5,2,b4,3,0.600000,48.950464,66.548002,60.733194,91.262236,0.500000
5,2,b4,4,0.800000,34.114078,66.548002,60.733194,91.262236,0.500000
5,3,b4,0,0.000000,67.065456,67.065456,61.142717,91.168720,0.500000
5,3,b4,1,0.200000,62.993944,67.065456,61.142717,91.168720,0.500000
5,3,b4,2,0.400000,57.344304,67.065456,61.142717,91.168720,0.500000
5,3,b4,3,0.600000,49.230846,67.065456,61.142717,91.168720,0.500000
5,3,b4,4,0.800000,36.032299,67.065456,61.142717,91.168720,0.500000
5,4,b4,0,0.000000,65.575789,65.575789,59.800905,91.193572,0.500000
5,4,b4,1,0.200000,61.659780,65.575789,59.800905,91.193572,0.500000
5,4,b4,2,0.400000,56.144626,65.575789,59.800905,91.193572,0.500000
5,4,b4,3,0.600000,47.424319,65.575789,59.800905,91.193572,0.500000
5,4,b4,4,0.800000,34.656918,65.575789,59.800905,91.193572,0.500000
5,0,b6,0,0.000000,67.231087,67.231087,40.488588,60.223016,0.500000
5,0,b6,1,0.200000,43.939135,67.231087,40.488588,60.223016,0.500000
5,0,b6,2,0.400000,25.208081,67.231087,40.488588,60.223016,0.500000
5,0,b6,3,0.600000,12.877771,67.231087,40.488588,60.223016,0.500000
5,0,b6,4,0.800000,5.389028,67.231087,40.488588,60.223016,0.500000
5,1,b6,0,0.000000,70.154271,70.154271,42.817711,61.033649,0.500000
5,1,b6,1,0.200000,45.804746,70.154271,42.817711,61.033649,0.500000
5,1,b6,2,0.400000,27.646835,70.154271,42.817711,61.033649,0.500000
5,1,b6,3,0.600000,15.771330,70.154271,42.817711,61.033649,0.500000
5,1,b6,4,0.800000,8.712733,70.154271,42.817711,61.033649,0.500000
5,2,b6,0,0.000000,74.392344,74.392344,43.018132,57.826020,0.500000
5,2,b6,1,0.200000,45.450106,74.392344,43.018132,57.826020,0.500000
5,2,b6,2,0.400000,26.436776,74.392344,43.018132,57.826020,0.500000
5,2,b6,3,0.600000,14.134981,74.392344,43.018132,57.826020,0.500000
5,2,b6,4,0.800000,5.995954,74.392344,43.018132,57.826020,0.500000
5,3,b6,0,0.000000,69.480282,69.480282,38.776121,55.808813,0.500000
5,3,b6,1,0.200000,41.441538,69.480282,38.776121,55.808813,0.500000
5,3,b6,2,0.400000,22.082587,69.480282,38.776121,55.808813,0.500000
5,3,b6,3,0.600000,11.490872,69.480282,38.776121,55.808813,0.500000
5,3,b6,4,0.800000,5.963495,69.480282,38.776121,55.808813,0.500000
5,4,b6,0,0.000000,67.820766,67.820766,39.819646,58.713058,0.500000
5,4,b6,1,0.200000,42.756085,67.820766,39.819646,58.713058,0.500000
5,4,b6,2,0.400000,24.283491,67.820766,39.819646,58.713058,0.500000
5,4,b6,3,0.600000,13.076731,67.820766,39.819646,58.713058,0.500000
5,4,b6,4,0.800000,7.454219,67.820766,39.819646,58.713058,0.500000
5,0,proposed,0,0.000000,69.895479,69.895479,63.846738,91.346020,0.500000
5,0,proposed,1,0.200000,66.348171,69.895479,63.846738,91.346020,0.500000
5,0,proposed,2,0.400000,59.488515,69.895479,63.846738,91.346020,0.500000
5,0,proposed,3,0.600000,50.147870,69.895479,63.846738,91.346020,0.500000
5,0,proposed,4,0.800000,20.104192,69.895479,63.846738,91.346020,0.500000
5,1,proposed,0,0.000000,70.764531,70.764531,63.499879,89.734048,0.500000
5,1,proposed,1,0.200000,66.069302,70.764531,63.499879,89.734048,0.500000
5,1,proposed,2,0.400000,58.565763,70.764531,63.499879,89.734048,0.500000
5,1,proposed,3,0.600000,48.424691,70.764531,63.499879,89.734048,0.500000
5,1,proposed,4,0.800000,22.042160,70.764531,63.499879,89.734048,0.500000
5,2,proposed,0,0.000000,74.736408,74.736408,66.684225,89.225891,0.500000
5,2,proposed,1,0.200000,69.040824,74.736408,66.684225,89.225891,0.500000
5,2,proposed,2,0.400000,61.698941,74.736408,66.684225,89.225891,0.500000
5,2,proposed,3,0.600000,50.519692,74.736408,66.684225,89.225891,0.500000
5,2,proposed,4,0.800000,20.479379,74.736408,66.684225,89.225891,0.500000
5,3,proposed,0,0.000000,73.802587,73.802587,66.379618,89.942129,0.500000
5,3,proposed,1,0.200000,68.805114,73.802587,66.379618,89.942129,0.500000
5,3,proposed,2,0.400000,61.707533,73.802587,66.379618,89.942129,0.500000
5,3,proposed,3,0.600000,49.988365,73.802587,66.379618,89.942129,0.500000
5,3,proposed,4,0.800000,19.031157,73.802587,66.379618,89.942129,0.500000
5,4,proposed,0,0.000000,69.255326,69.255326,63.144566,91.176476,0.500000
5,4,proposed,1,0.200000,65.240065,69.255326,63.144566,91.176476,0.500000
5,4,proposed,2,0.400000,59.040696,69.255326,63.144566,91.176476,0.500000
5,4,proposed,3,0.600000,50.664618,69.255326,63.144566,91.176476,0.500000
5,4,proposed,4,0.800000,21.563899,69.255326,63.144566,91.176476,0.500000
10,0,b1,0,0.000000,71.855802,71.855802,28.168530,39.201468,0.500000
10,0,b1,1,0.100000,40.048176,71.855802,28.168530,39.201468,0.500000
10,0,b1,2,0.200000,26.700882,71.855802,28.168530,39.201468,0.500000
10,0,b1,3,0.300000,18.834402,71.855802,28.168530,39.201468,0.500000
10,0,b1,4,0.400000,14.032224,71.855802,28.168530,39.201468,0.500000
10,0,b1,5,0.500000,10.598125,71.855802,28.168530,39.201468,0.500000
10,0,b1,6,0.600000,7.872007,71.855802,28.168530,39.201468,0.500000
10,1,b1,0,0.000000,74.760213,74.760213,28.594428,38.248189,0.500000
10,1,b1,1,0.100000,40.683034,74.760213,28.594428,38.248189,0.500000
10,1,b1,2,0.200000,26.902171,74.760213,28.594428,38.248189,0.500000
