seed,kind,missing_groups,drop_set,miou,n_sets_at_m,enumerated
0,b1,0,,71.8558,1,1
0,b1,1,0,30.7376,10,1
0,b1,1,1,28.7964,10,1
0,b1,1,2,41.8257,10,1
0,b1,1,3,53.4768,10,1
0,b1,1,4,44.5749,10,1
0,b1,1,5,46.0309,10,1
0,b1,1,6,28.3017,10,1
0,b1,1,7,57.4242,10,1
0,b1,1,8,34.1580,10,1
0,b1,1,9,35.1556,10,1
0,b1,2,0|1,21.7056,45,1
0,b1,2,0|2,17.1376,45,1
0,b1,2,0|3,23.0280,45,1
0,b1,2,0|4,22.9908,45,1
0,b1,2,0|5,22.7561,45,1
0,b1,2,0|6,20.6132,45,1
0,b1,2,0|7,30.6300,45,1
0,b1,2,0|8,28.9908,45,1
0,b1,2,0|9,29.6541,45,1
0,b1,2,1|2,22.7503,45,1
0,b1,2,1|3,28.9959,45,1
0,b1,2,1|4,21.2991,45,1
0,b1,2,1|5,29.1810,45,1
0,b1,2,1|6,14.1537,45,1
0,b1,2,1|7,22.7053,45,1
0,b1,2,1|8,17.5493,45,1
0,b1,2,1|9,15.6384,45,1
0,b1,2,2|3,32.5490,45,1
0,b1,2,2|4,26.7154,45,1
0,b1,2,2|5,33.1547,45,1
0,b1,2,2|6,21.3315,45,1
0,b1,2,2|7,36.9720,45,1
0,b1,2,2|8,27.5416,45,1
0,b1,2,2|9,26.0479,45,1
0,b1,2,3|4,30.0052,45,1
0,b1,2,3|5,33.8179,45,1
0,b1,2,3|6,21.7059,45,1
0,b1,2,3|7,42.6054,45,1
0,b1,2,3|8,28.1493,45,1
0,b1,2,3|9,33.6576,45,1
0,b1,2,4|5,22.1260,45,1
0,b1,2,4|6,21.9247,45,1
0,b1,2,4|7,37.6008,45,1
0,b1,2,4|8,23.0609,45,1
0,b1,2,4|9,24.6111,45,1
0,b1,2,5|6,25.7716,45,1
0,b1,2,5|7,49.3200,45,1
0,b1,2,5|8,28.7575,45,1
0,b1,2,5|9,38.9052,45,1
0,b1,2,6|7,24.5827,45,1
0,b1,2,6|8,20.0792,45,1
0,b1,2,6|9,24.1781,45,1
0,b1,2,7|8,30.6398,45,1
0,b1,2,7|9,28.0581,45,1
0,b1,2,8|9,17.8916,45,1
0,b1,3,0|1|2,13.9153,120,1
0,b1,3,0|1|3,12.7315,120,1
0,b1,3,0|1|4,18.5991,120,1
0,b1,3,0|1|5,15.3479,120,1
0,b1,3,0|1|6,13.3604,120,1
0,b1,3,0|1|7,20.6948,120,1
0,b1,3,0|1|8,16.8737,120,1
0,b1,3,0|1|9,19.2046,120,1
0,b1,3,0|2|3,12.3908,120,1
0,b1,3,0|2|4,13.1175,120,1
0,b1,3,0|2|5,13.6725,120,1
0,b1,3,0|2|6,17.5062,120,1
0,b1,3,0|2|7,22.2272,120,1
0,b1,3,0|2|8,18.3596,120,1
0,b1,3,0|2|9,22.8770,120,1
0,b1,3,0|3|4,14.9027,120,1
0,b1,3,0|3|5,15.5314,120,1
0,b1,3,0|3|6,19.2247,120,1
0,b1,3,0|3|7,23.2788,120,1
0,b1,3,0|3|8,18.9475,120,1
0,b1,3,0|3|9,20.5978,120,1
0,b1,3,0|4|5,14.3914,120,1
0,b1,3,0|4|6,17.1339,120,1
0,b1,3,0|4|7,19.8544,120,1
0,b1,3,0|4|8,24.5921,120,1
0,b1,3,0|4|9,24.3619,120,1
0,b1,3,0|5|6,15.6078,120,1
0,b1,3,0|5|7,24.3157,120,1
0,b1,3,0|5|8,22.6358,120,1
0,b1,3,0|5|9,20.0722,120,1
0,b1,3,0|6|7,16.2617,120,1
0,b1,3,0|6|8,15.2957,120,1
0,b1,3,0|6|9,24.5551,120,1
0,b1,3,0|7|8,29.5526,120,1
0,b1,3,0|7|9,29.6581,120,1
0,b1,3,0|8|9,13.0073,120,1
0,b1,3,1|2|3,17.8047,120,1
0,b1,3,1|2|4,13.9847,120,1
0,b1,3,1|2|5,20.3731,120,1
0,b1,3,1|2|6,10.0869,120,1
0,b1,3,1|2|7,18.1959,120,1
0,b1,3,1|2|8,14.1665,120,1
0,b1,3,1|2|9,13.3883,120,1
0,b1,3,1|3|4,10.0468,120,1
0,b1,3,1|3|5,18.8594,120,1
0,b1,3,1|3|6,11.2406,120,1
0,b1,3,1|3|7,25.7575,120,1
0,b1,3,1|3|8,20.5216,120,1
0,b1,3,1|3|9,16.3891,120,1
0,b1,3,1|4|5,10.9084,120,1
0,b1,3,1|4|6,13.2712,120,1
0,b1,3,1|4|7,21.6824,120,1
0,b1,3,1|4|8,11.5947,120,1
