seed,condition,cwv,proposed_miou,proposed_nomask,b2_miou,b1_miou,paired_diff,dropout_main_effect,proposed_uncorrected,b2_uncorrected,b1_uncorrected,n_missing_bands,n_absent_groups,min_group_frac_margin,n_test_px,classes_in_test
0,clean,-,52.13530221038064,52.13530221038064,39.75857383147077,43.94860463492364,12.376728378909867,-4.190030803452871,52.13530221038064,39.75857383147077,,10,0,0.3,3307,15
0,cwv0.5,0.5,40.69226744280205,40.69226744280205,37.92136593302518,44.25434693347189,2.77090150977687,-6.332981000446715,2.1852611192228837,5.811961407459708,,19,0,0.2,3307,15
0,cwv2.0,2.0,40.60238220622516,40.60238220622516,36.072868540768425,45.26981865349713,4.529513665456733,-9.196950112728707,0.35452555439230987,9.546120259011063,,32,0,0.15000000000000002,3307,15
0,cwv4.0,4.0,44.93131018827866,44.93131018827866,36.42213505250856,45.85868487363161,8.5091751357701,-9.436549821123052,1.1289186237385553,5.624088763828523,,40,0,0.09999999999999998,3307,15
0,benchmark200_full,-,69.29022390627533,69.29022390627533,66.60023962579852,71.85580206640677,2.689984280476807,-5.255562440608244,-,-,-,0,0,-,3307,15
1,clean,-,53.8170660324966,53.8170660324966,35.29080126089318,46.31507551957575,18.526264771603415,-11.024274258682567,53.8170660324966,35.29080126089318,,10,0,0.3,3325,15
1,cwv0.5,0.5,43.0648876608394,43.0648876608394,35.83786487897683,44.30796413510366,7.227022781862573,-8.47009925612683,0.672235684297079,6.067157308177838,,19,0,0.2,3325,15
1,cwv2.0,2.0,35.44609983342007,35.44609983342007,33.51181927196074,42.347879749526705,1.9342805614593317,-8.836060477565965,2.2427391017270675,5.065065886900176,,32,0,0.15000000000000002,3325,15
1,cwv4.0,4.0,35.51498976509438,35.51498976509438,32.87676519526983,40.138211148415095,2.638224569824544,-7.261445953145262,0.9885209381795823,7.228157283855629,,40,0,0.09999999999999998,3325,15
1,benchmark200_full,-,73.30480040114058,73.30480040114058,67.16250120696544,74.76021319164617,6.142299194175138,-7.597711984680728,-,-,-,0,0,-,3325,15
2,clean,-,53.772332342017705,53.772332342017705,36.921342316718444,47.934811027511444,16.85099002529926,-11.013468710793,53.772332342017705,36.921342316718444,,10,0,0.3,3369,15
2,cwv0.5,0.5,52.16968047999959,52.16968047999959,37.85367562554315,45.374267592280326,14.316004854456445,-7.520591966737179,1.1863355793623864,2.6415377675659877,,19,0,0.2,3369,15
2,cwv2.0,2.0,41.979484249400535,41.979484249400535,34.192939884528876,43.68785741227282,7.786544364871659,-9.494917527743944,1.1863355793623864,3.320730642509265,,32,0,0.15000000000000002,3369,15
2,cwv4.0,4.0,41.50514818375497,41.50514818375497,32.972591884938645,43.393199717035905,8.532556298816324,-10.42060783209726,0.8459483526268922,10.639060888250816,,40,0,0.09999999999999998,3369,15
2,benchmark200_full,-,71.41496774935119,71.41496774935119,69.95387982072214,73.67221962007639,1.4610879286290555,-3.718339799354254,-,-,-,0,0,-,3369,15
3,clean,-,41.130000030618824,41.130000030618824,35.79286857815152,43.31623740339266,5.337131452467304,-7.523368825241143,41.130000030618824,35.79286857815152,,10,0,0.3,3407,16
3,cwv0.5,0.5,34.95065182056817,34.95065182056817,32.620886617920775,40.340245930711305,2.329765202647394,-7.71935931279053,0.8637678728667869,3.335589850451034,,19,0,0.2,3407,16
3,cwv2.0,2.0,31.201425673267334,31.201425673267334,29.393988285864328,40.70844999783612,1.8074373874030059,-11.314461711971791,0.8637678728667869,3.672634819385764,,32,0,0.15000000000000002,3407,16
3,cwv4.0,4.0,34.79937850436586,34.79937850436586,28.56009967125122,39.882935046833786,6.239278833114643,-11.322835375582567,3.971216974687291,12.277368087866884,,40,0,0.09999999999999998,3407,16
3,benchmark200_full,-,70.49319191220404,70.49319191220404,68.3545671625035,75.44133351424038,2.13862474970054,-7.086766351736884,-,-,-,0,0,-,3407,16
4,clean,-,35.57210437044572,35.57210437044572,33.313436369350086,40.36417903440299,2.2586680010956357,-7.050742665052901,35.57210437044572,33.313436369350086,,10,0,0.3,3433,16
4,cwv0.5,0.5,25.614084200478185,25.614084200478185,33.673427983292946,38.45917950483128,-8.05934378281476,-4.785751521538337,2.4208182714615836,1.1260802409769346,,19,0,0.2,3433,16
4,cwv2.0,2.0,24.244530860840104,24.244530860840104,34.14597119283623,39.84924304434525,-9.901440331996124,-5.703271851509022,0.8842744787982191,4.201276132933497,,32,0,0.15000000000000002,3433,16
4,cwv4.0,4.0,21.872311037929933,21.872311037929933,34.42925165806954,40.78895051525938,-12.556940620139606,-6.359698857189841,0.8842744787982191,10.349713011603535,,40,0,0.09999999999999998,3433,16
4,benchmark200_full,-,68.91799263629066,68.91799263629066,63.169052740240694,71.71410032180528,5.7489398960499685,-8.545047581564582,-,-,-,0,0,-,3433,16
