seed,cwv,n_missing_bands,policy,proposed_miou,b2_miou,paired_diff,n_absent_groups
0,0.5,19,physics_6s,40.69,37.92,2.77,0
0,0.5,19,uniform_random,52.05,53.33,-1.28,0
0,2.0,32,physics_6s,40.60,36.07,4.53,0
0,2.0,32,uniform_random,48.03,44.48,3.55,0
0,4.0,40,physics_6s,44.93,36.42,8.51,0
0,4.0,40,uniform_random,34.26,41.36,-7.10,0
1,0.5,19,physics_6s,43.06,35.84,7.23,0
1,0.5,19,uniform_random,51.56,54.47,-2.91,0
1,2.0,32,physics_6s,35.45,33.51,1.93,0
1,2.0,32,uniform_random,40.80,43.13,-2.33,0
1,4.0,40,physics_6s,35.51,32.88,2.64,0
1,4.0,40,uniform_random,35.50,30.78,4.72,0
2,0.5,19,physics_6s,52.17,37.85,14.32,0
2,0.5,19,uniform_random,52.62,53.36,-0.75,0
2,2.0,32,physics_6s,41.98,34.19,7.79,0
2,2.0,32,uniform_random,37.79,30.44,7.35,0
2,4.0,40,physics_6s,41.51,32.97,8.53,0
2,4.0,40,uniform_random,38.31,43.13,-4.82,0
3,0.5,19,physics_6s,34.95,32.62,2.33,0
3,0.5,19,uniform_random,48.76,49.24,-0.48,0
3,2.0,32,physics_6s,31.20,29.39,1.81,0
3,2.0,32,uniform_random,54.98,55.32,-0.33,0
3,4.0,40,physics_6s,34.80,28.56,6.24,0
3,4.0,40,uniform_random,38.97,47.81,-8.84,0
4,0.5,19,physics_6s,25.61,33.67,-8.06,0
4,0.5,19,uniform_random,56.05,52.27,3.78,0
4,2.0,32,physics_6s,24.24,34.15,-9.90,0
4,2.0,32,uniform_random,33.04,41.40,-8.36,0
4,4.0,40,physics_6s,21.87,34.43,-12.56,0
4,4.0,40,uniform_random,43.36,45.21,-1.85,0
