seed,tau,cwv,n_missing_bands,n_absent_groups,min_group_frac_margin,proposed_miou,b2_miou,paired_diff
0,0.2,0.5,11,0,0.3000,50.97,38.66,12.31
0,0.2,2.0,14,0,0.3000,50.31,39.86,10.46
0,0.2,4.0,21,0,0.2500,49.56,41.70,7.86
0,0.35,0.5,11,0,0.3000,50.97,38.66,12.31
0,0.35,2.0,22,0,0.2000,49.03,42.11,6.92
0,0.35,4.0,31,0,0.1500,46.24,38.42,7.82
0,0.5,0.5,19,0,0.2000,40.69,37.92,2.77
0,0.5,2.0,32,0,0.1500,40.60,36.07,4.53
0,0.5,4.0,40,0,0.1000,44.93,36.42,8.51
0,0.65,0.5,30,0,0.1500,37.00,32.45,4.55
0,0.65,2.0,44,0,0.0500,36.23,35.55,0.68
0,0.65,4.0,56,2,0.0000,42.06,33.89,8.17
0,0.8,0.5,43,1,0.0000,49.26,36.43,12.83
0,0.8,2.0,63,2,0.1000,40.65,31.50,9.14
0,0.8,4.0,76,3,0.0500,20.75,32.45,-11.69
1,0.2,0.5,11,0,0.3000,52.71,36.28,16.43
1,0.2,2.0,14,0,0.3000,50.82,36.80,14.03
1,0.2,4.0,21,0,0.2500,45.75,37.26,8.49
1,0.35,0.5,11,0,0.3000,52.71,36.28,16.43
1,0.35,2.0,22,0,0.2000,44.66,38.30,6.36
1,0.35,4.0,31,0,0.1500,37.94,34.34,3.60
1,0.5,0.5,19,0,0.2000,43.06,35.84,7.23
1,0.5,2.0,32,0,0.1500,35.45,33.51,1.93
1,0.5,4.0,40,0,0.1000,35.51,32.88,2.64
1,0.65,0.5,30,0,0.1500,36.35,33.74,2.61
1,0.65,2.0,44,0,0.0500,34.15,31.44,2.71
1,0.65,4.0,56,2,0.0000,35.72,32.82,2.90
1,0.8,0.5,43,1,0.0000,44.36,32.61,11.74
1,0.8,2.0,63,2,0.1000,33.26,30.91,2.35
1,0.8,4.0,76,3,0.0500,26.65,34.46,-7.81
2,0.2,0.5,11,0,0.3000,54.00,37.03,16.96
2,0.2,2.0,14,0,0.3000,53.48,38.06,15.42
2,0.2,4.0,21,0,0.2500,50.27,38.89,11.38
2,0.35,0.5,11,0,0.3000,54.00,37.03,16.96
2,0.35,2.0,22,0,0.2000,49.55,39.68,9.87
2,0.35,4.0,31,0,0.1500,41.27,35.60,5.67
2,0.5,0.5,19,0,0.2000,52.17,37.85,14.32
2,0.5,2.0,32,0,0.1500,41.98,34.19,7.79
2,0.5,4.0,40,0,0.1000,41.51,32.97,8.53
2,0.65,0.5,30,0,0.1500,45.29,32.54,12.76
2,0.65,2.0,44,0,0.0500,40.81,32.04,8.77
2,0.65,4.0,56,2,0.0000,31.82,30.69,1.13
2,0.8,0.5,43,1,0.0000,45.91,33.71,12.20
2,0.8,2.0,63,2,0.1000,29.27,28.04,1.23
2,0.8,4.0,76,3,0.0500,20.17,30.11,-9.94
3,0.2,0.5,11,0,0.3000,41.07,35.98,5.09
3,0.2,2.0,14,0,0.3000,40.75,36.04,4.71
3,0.2,4.0,21,0,0.2500,39.60,36.06,3.54
3,0.35,0.5,11,0,0.3000,41.07,35.98,5.09
3,0.35,2.0,22,0,0.2000,39.47,36.82,2.64
3,0.35,4.0,31,0,0.1500,33.36,31.17,2.19
3,0.5,0.5,19,0,0.2000,34.95,32.62,2.33
3,0.5,2.0,32,0,0.1500,31.20,29.39,1.81
3,0.5,4.0,40,0,0.1000,34.80,28.56,6.24
3,0.65,0.5,30,0,0.1500,32.10,28.07,4.02
3,0.65,2.0,44,0,0.0500,28.92,28.55,0.37
3,0.65,4.0,56,2,0.0000,30.25,26.09,4.15
3,0.8,0.5,43,1,0.0000,40.50,27.67,12.83
3,0.8,2.0,63,2,0.1000,27.25,23.28,3.98
3,0.8,4.0,76,3,0.0500,18.93,27.48,-8.55
4,0.2,0.5,11,0,0.3000,35.40,34.67,0.74
4,0.2,2.0,14,0,0.3000,35.16,34.93,0.23
4,0.2,4.0,21,0,0.2500,34.70,36.47,-1.77
4,0.35,0.5,11,0,0.3000,35.40,34.67,0.74
4,0.35,2.0,22,0,0.2000,34.83,37.23,-2.40
4,0.35,4.0,31,0,0.1500,28.76,35.89,-7.14
4,0.5,0.5,19,0,0.2000,25.61,33.67,-8.06
4,0.5,2.0,32,0,0.1500,24.24,34.15,-9.90
4,0.5,4.0,40,0,0.1000,21.87,34.43,-12.56
4,0.65,0.5,30,0,0.1500,23.18,32.92,-9.74
4,0.65,2.0,44,0,0.0500,18.82,32.45,-13.64
4,0.65,4.0,56,2,0.0000,30.51,29.30,1.21
4,0.8,0.5,43,1,0.0000,35.49,32.15,3.34
4,0.8,2.0,63,2,0.1000,29.72,26.29,3.43
4,0.8,4.0,76,3,0.0500,22.79,32.12,-9.33
