contrast,metric,missing_groups,mean_diff,std_diff,n_seeds,n_seeds_first_better
proposed-minus-b2m,aurc,0,-1.3363,2.2760,5,4
proposed-minus-b2m,aurc,1,-1.1558,2.4984,5,4
proposed-minus-b2m,aurc,2,-1.0326,3.0585,5,4
proposed-minus-b2m,aurc,3,-0.5797,3.2199,5,2
proposed-minus-b2m,aurc,4,-0.3175,3.7293,5,3
proposed-minus-b2m,aurc,5,1.5481,4.2608,5,2
proposed-minus-b2m,aurc,6,1.9621,4.6436,5,2
proposed-minus-b2m,augrc,0,-0.5791,1.5687,5,4
proposed-minus-b2m,augrc,1,-0.5022,1.7172,5,4
proposed-minus-b2m,augrc,2,-0.4788,2.0175,5,4
proposed-minus-b2m,augrc,3,-0.1601,2.0424,5,2
proposed-minus-b2m,augrc,4,-0.0534,2.1517,5,2
proposed-minus-b2m,augrc,5,0.8003,2.2063,5,2
proposed-minus-b2m,augrc,6,0.7322,1.8172,5,2
proposed-minus-b2m,auroc,0,3.3652,4.0934,5,4
proposed-minus-b2m,auroc,1,2.4156,3.8409,5,4
proposed-minus-b2m,auroc,2,1.2487,3.5695,5,4
proposed-minus-b2m,auroc,3,0.8997,3.3927,5,4
proposed-minus-b2m,auroc,4,0.8352,2.9925,5,3
proposed-minus-b2m,auroc,5,-0.5585,3.3731,5,2
proposed-minus-b2m,auroc,6,0.0391,3.1614,5,2
proposed-minus-b2m,acc,0,0.1127,3.8754,5,2
proposed-minus-b2m,acc,1,0.2430,4.1537,5,2
proposed-minus-b2m,acc,2,0.4967,4.5614,5,2
proposed-minus-b2m,acc,3,-0.2116,4.2306,5,2
proposed-minus-b2m,acc,4,-0.4660,4.0833,5,2
proposed-minus-b2m,acc,5,-1.7286,3.6917,5,2
proposed-minus-b2m,acc,6,-1.5728,2.1708,5,1
proposed-minus-b2m,plugin_coverage,0,6.2936,14.0352,5,
proposed-minus-b2m,plugin_coverage,1,6.4577,15.4668,5,
proposed-minus-b2m,plugin_coverage,2,7.1771,12.8075,5,
proposed-minus-b2m,plugin_coverage,3,5.4848,13.0607,5,
proposed-minus-b2m,plugin_coverage,4,4.2789,10.9735,5,
proposed-minus-b2m,plugin_coverage,5,-2.2307,11.8426,5,
proposed-minus-b2m,plugin_coverage,6,0.8844,3.6020,5,
proposed-minus-b2m,plugin_cond_risk,0,-1.1461,3.8665,5,
proposed-minus-b2m,plugin_cond_risk,1,-1.3039,4.2115,5,
proposed-minus-b2m,plugin_cond_risk,2,-1.1615,4.0813,5,
proposed-minus-b2m,plugin_cond_risk,3,-1.1446,3.8561,5,
proposed-minus-b2m,plugin_cond_risk,4,-1.2285,3.0378,5,
proposed-minus-b2m,plugin_cond_risk,5,-0.0055,5.3062,4,
proposed-minus-b2m,plugin_cond_risk,6,7.2237,0.0000,1,
proposed-minus-b2m,mask_acc_worst,0,0.1127,3.8754,5,2
