seed,method,missing_groups,metric,value
0,proposed,0,acc,76.2224
0,proposed,1,acc,74.9431
0,proposed,2,acc,73.5259
0,proposed,3,acc,71.6832
0,proposed,4,acc,66.2272
0,proposed,5,acc,60.3877
0,proposed,6,acc,50.0659
0,proposed,0,aurc,8.22165
0,proposed,1,aurc,8.97182
0,proposed,2,aurc,10.352
0,proposed,3,aurc,11.8461
0,proposed,4,aurc,17.5581
0,proposed,5,aurc,25.6763
0,proposed,6,aurc,37.8727
0,proposed,0,augrc,5.88354
0,proposed,1,augrc,6.43137
0,proposed,2,augrc,7.23202
0,proposed,3,augrc,8.13649
0,proposed,4,augrc,11.0806
0,proposed,5,augrc,14.8634
0,proposed,6,augrc,20.7198
0,proposed,0,auroc,83.1974
0,proposed,1,auroc,82.4779
0,proposed,2,auroc,80.8532
0,proposed,3,auroc,79.6693
0,proposed,4,auroc,75.96
0,proposed,5,auroc,70.6652
0,proposed,6,auroc,66.9926
0,proposed,0,plugin_coverage,85.0431
0,proposed,1,plugin_coverage,80.3092
0,proposed,2,plugin_coverage,72.9356
0,proposed,3,plugin_coverage,66.1284
0,proposed,4,plugin_coverage,45.2211
0,proposed,5,plugin_coverage,19.6488
0,proposed,6,plugin_coverage,0.113854
0,proposed,0,plugin_cond_risk,16.9109
0,proposed,1,plugin_cond_risk,16.3334
0,proposed,2,plugin_cond_risk,15.2364
0,proposed,3,plugin_cond_risk,15.1013
0,proposed,4,plugin_cond_risk,14.8479
0,proposed,5,plugin_cond_risk,17.5663
0,proposed,6,plugin_cond_risk,92.1053
0,proposed,0,crc_calib_bound,9.95242
0,proposed,1,crc_calib_bound,9.97242
0,proposed,2,crc_calib_bound,9.90811
0,proposed,3,crc_calib_bound,9.97123
0,proposed,4,crc_calib_bound,9.86364
0,proposed,5,crc_calib_bound,9.84777
0,proposed,6,crc_calib_bound,9.97163
0,proposed,0,crc_eval_joint_risk,14.9136
0,proposed,1,crc_eval_joint_risk,15.0991
0,proposed,2,crc_eval_joint_risk,13.4572
0,proposed,3,crc_eval_joint_risk,13.1331
0,proposed,4,crc_eval_joint_risk,12.7204
0,proposed,5,crc_eval_joint_risk,11.7203
0,proposed,6,crc_eval_joint_risk,12.1246
0,proposed,0,crc_coverage,84.9123
0,proposed,1,crc_coverage,82.6636
0,proposed,2,crc_coverage,77.2303
0,proposed,3,crc_coverage,73.5378
0,proposed,4,crc_coverage,62.2563
0,proposed,5,crc_coverage,47.6847
0,proposed,6,crc_coverage,34.8267
0,proposed,0,crc_sel_risk,17.5635
0,proposed,1,crc_sel_risk,18.2658
0,proposed,2,crc_sel_risk,17.4247
0,proposed,3,crc_sel_risk,17.859
0,proposed,4,crc_sel_risk,20.4323
0,proposed,5,crc_sel_risk,24.5787
0,proposed,6,crc_sel_risk,34.814
0,proposed,0,crc_feasible,1
0,proposed,1,crc_feasible,1
0,proposed,2,crc_feasible,1
0,proposed,3,crc_feasible,1
0,proposed,4,crc_feasible,1
0,proposed,5,crc_feasible,1
0,proposed,6,crc_feasible,1
0,proposed,0,crc_units,26
0,proposed,1,crc_units,26
0,proposed,2,crc_units,26
0,proposed,3,crc_units,26
0,proposed,4,crc_units,26
0,proposed,5,crc_units,26
0,proposed,6,crc_units,26
0,proposed,0,crc_positive_coverage,1
0,proposed,1,crc_positive_coverage,1
0,proposed,2,crc_positive_coverage,1
0,proposed,3,crc_positive_coverage,1
0,proposed,4,crc_positive_coverage,1
0,proposed,5,crc_positive_coverage,1
0,proposed,6,crc_positive_coverage,1
0,proposed,0,crcmask_calib_bound,nan
0,proposed,1,crcmask_calib_bound,9.99049
0,proposed,2,crcmask_calib_bound,9.99563
0,proposed,3,crcmask_calib_bound,9.96993
0,proposed,4,crcmask_calib_bound,9.91595
0,proposed,5,crcmask_calib_bound,9.86712
0,proposed,6,crcmask_calib_bound,9.9288
0,proposed,0,crcmask_eval_joint_risk,nan
0,proposed,1,crcmask_eval_joint_risk,14.7022
0,proposed,2,crcmask_eval_joint_risk,13.243
0,proposed,3,crcmask_eval_joint_risk,13.8812
0,proposed,4,crcmask_eval_joint_risk,11.3285
0,proposed,5,crcmask_eval_joint_risk,10.951
0,proposed,6,crcmask_eval_joint_risk,13.0992
0,proposed,0,crcmask_coverage,nan
0,proposed,1,crcmask_coverage,84.5847
0,proposed,2,crcmask_coverage,78.5594
0,proposed,3,crcmask_coverage,75.2217
0,proposed,4,crcmask_coverage,62.8595
0,proposed,5,crcmask_coverage,47.4802
0,proposed,6,crcmask_coverage,37.1704
0,proposed,0,crcmask_sel_risk,nan
0,proposed,1,crcmask_sel_risk,17.3816
0,proposed,2,crcmask_sel_risk,16.8574
0,proposed,3,crcmask_sel_risk,18.4538
0,proposed,4,crcmask_sel_risk,18.0219
0,proposed,5,crcmask_sel_risk,23.0643
0,proposed,6,crcmask_sel_risk,35.241
0,proposed,0,crcmask_feasible,nan
0,proposed,1,crcmask_feasible,1
0,proposed,2,crcmask_feasible,1
0,proposed,3,crcmask_feasible,1
0,proposed,4,crcmask_feasible,1
0,proposed,5,crcmask_feasible,1
0,proposed,6,crcmask_feasible,1
0,proposed,0,crcmask_units,nan
0,proposed,1,crcmask_units,32
0,proposed,2,crcmask_units,32
0,proposed,3,crcmask_units,32
0,proposed,4,crcmask_units,32
0,proposed,5,crcmask_units,32
0,proposed,6,crcmask_units,32
