method,missing_groups,acc,acc_std,acc_n,aurc,aurc_std,aurc_n,augrc,augrc_std,augrc_n,auroc,auroc_std,auroc_n,plugin_coverage,plugin_coverage_std,plugin_coverage_n,plugin_cond_risk,plugin_cond_risk_std,plugin_cond_risk_n,crc_calib_bound,crc_calib_bound_std,crc_calib_bound_n,crc_eval_joint_risk,crc_eval_joint_risk_std,crc_eval_joint_risk_n,crc_coverage,crc_coverage_std,crc_coverage_n,crc_sel_risk,crc_sel_risk_std,crc_sel_risk_n,crc_feasible,crc_feasible_std,crc_feasible_n,crc_units,crc_units_std,crc_units_n,crc_positive_coverage,crc_positive_coverage_std,crc_positive_coverage_n,crcmask_calib_bound,crcmask_calib_bound_std,crcmask_calib_bound_n,crcmask_eval_joint_risk,crcmask_eval_joint_risk_std,crcmask_eval_joint_risk_n,crcmask_coverage,crcmask_coverage_std,crcmask_coverage_n,crcmask_sel_risk,crcmask_sel_risk_std,crcmask_sel_risk_n,crcmask_feasible,crcmask_feasible_std,crcmask_feasible_n,crcmask_units,crcmask_units_std,crcmask_units_n,crcmask_alpha_floor,crcmask_alpha_floor_std,crcmask_alpha_floor_n,crcmask_positive_coverage,crcmask_positive_coverage_std,crcmask_positive_coverage_n,temperature,temperature_std,temperature_n,plugin_neff,plugin_neff_std,plugin_neff_n,plugin_icc,plugin_icc_std,plugin_icc_n,plugin_eff_target,plugin_eff_target_std,plugin_eff_target_n,plugin_positive_coverage,plugin_positive_coverage_std,plugin_positive_coverage_n,plugin_degenerate,plugin_degenerate_std,plugin_degenerate_n,mask_acc_worst,mask_acc_worst_std,mask_acc_worst_n,mask_acc_median,mask_acc_median_std,mask_acc_median_n,mask_acc_p05,mask_acc_p05_std,mask_acc_p05_n,mask_cov_worst,mask_cov_worst_std,mask_cov_worst_n,mask_sel_risk_worst,mask_sel_risk_worst_std,mask_sel_risk_worst_n,mask_sel_risk_median,mask_sel_risk_median_std,mask_sel_risk_median_n,cls_cov_min,cls_cov_min_std,cls_cov_min_n,cls_cov_macro,cls_cov_macro_std,cls_cov_macro_n,cls_zero_cov_n,cls_zero_cov_n_std,cls_zero_cov_n_n,cls_sel_risk_max,cls_sel_risk_max_std,cls_sel_risk_max_n,cls_sel_risk_macro,cls_sel_risk_macro_std,cls_sel_risk_macro_n,crc_eval_joint_risk_oper,crc_coverage_oper
proposed,0,81.65,2.96,5,5.58,1.57,5,4.20,1.03,5,83.58,2.19,5,67.93,10.50,5,7.59,4.79,5,9.88,0.06,5,7.42,3.97,5,74.15,7.35,5,9.66,4.21,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.29,0.14,5,75.60,30.37,5,0.26,0.07,5,6.37,0.62,5,1.00,0.00,5,0.00,0.00,5,81.65,2.96,5,81.65,2.96,5,81.65,2.96,5,74.57,7.65,5,9.22,4.10,5,9.22,4.10,5,16.88,22.20,5,73.13,8.54,5,0.80,0.75,5,63.82,26.52,5,13.00,5.04,5,7.42,74.15
proposed,1,80.13,2.88,5,6.48,1.63,5,4.81,1.07,5,82.47,2.41,5,62.94,9.86,5,7.70,4.49,5,9.97,0.03,5,7.69,3.87,5,71.26,6.96,5,10.46,4.14,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.97,0.01,5,8.10,3.38,5,74.52,6.62,5,10.67,3.52,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.30,0.12,5,72.20,27.19,5,0.27,0.06,5,6.32,0.57,5,1.00,0.00,5,0.00,0.00,5,76.45,1.95,5,80.59,3.13,5,77.11,2.57,5,65.42,9.37,5,12.35,3.90,5,9.83,3.87,5,22.19,19.34,5,70.55,7.84,5,0.40,0.49,5,65.08,25.18,5,15.31,5.38,5,7.69,71.26
proposed,2,77.54,2.16,5,8.18,1.55,5,5.90,0.94,5,80.74,2.65,5,54.80,9.88,5,7.69,4.26,5,9.94,0.02,5,7.54,3.30,5,65.93,6.39,5,11.12,3.74,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.92,0.06,5,7.83,2.91,5,69.73,5.29,5,11.08,3.33,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.32,0.11,5,64.80,24.14,5,0.27,0.05,5,6.13,0.55,5,1.00,0.00,5,0.00,0.00,5,68.92,1.94,5,78.43,2.52,5,72.07,2.46,5,52.12,10.40,5,15.93,4.18,5,10.25,3.40,5,16.33,14.49,5,65.41,7.22,5,0.20,0.40,5,84.90,12.89,5,18.98,3.27,5,7.54,65.93
proposed,3,75.20,2.14,5,9.83,1.60,5,6.95,0.95,5,79.32,2.14,5,46.12,12.03,5,7.68,4.35,5,9.95,0.06,5,7.55,3.09,5,61.45,6.90,5,11.95,3.56,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.96,0.03,5,8.39,3.00,5,64.92,5.94,5,12.74,3.51,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.35,0.11,5,59.60,23.00,5,0.25,0.04,5,5.93,0.70,5,1.00,0.00,5,0.00,0.00,5,65.47,2.93,5,76.16,2.40,5,66.82,1.71,5,46.67,9.29,5,20.55,3.64,5,11.19,3.60,5,16.06,13.26,5,60.42,7.70,5,0.00,0.00,5,92.43,9.49,5,22.43,4.78,5,7.55,61.45
proposed,4,71.12,2.92,5,13.08,2.81,5,8.87,1.46,5,77.34,2.46,5,32.49,9.04,5,7.33,4.61,5,9.89,0.04,5,7.62,2.84,5,54.33,4.38,5,13.77,4.02,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.91,0.05,5,7.83,2.05,5,56.38,3.58,5,13.81,3.01,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.45,0.10,5,47.60,16.46,5,0.24,0.03,5,5.42,0.89,5,1.00,0.00,5,0.00,0.00,5,54.82,10.62,5,72.52,2.79,5,62.21,2.89,5,36.21,5.38,5,31.09,18.40,5,12.51,3.10,5,10.76,9.00,5,52.96,4.99,5,0.00,0.00,5,93.84,7.89,5,25.96,5.85,5,7.62,54.33
proposed,5,63.46,2.76,5,20.49,3.56,5,12.90,1.61,5,73.27,2.52,5,11.32,7.88,5,7.95,5.98,5,9.88,0.03,5,7.83,2.32,5,41.92,3.21,5,18.41,4.22,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.94,0.04,5,8.06,1.96,5,42.87,3.15,5,18.59,3.35,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.59,0.08,5,34.20,16.14,5,0.20,0.03,5,4.45,1.22,5,1.00,0.00,5,0.00,0.00,5,43.35,10.46,5,64.55,2.51,5,49.09,7.37,5,23.32,5.05,5,50.15,16.80,5,15.53,3.58,5,9.77,5.86,5,40.16,3.02,5,0.00,0.00,5,99.09,1.82,5,31.63,4.94,5,7.83,41.92
proposed,6,53.73,2.30,5,31.08,3.95,5,18.35,1.42,5,69.28,2.82,5,1.61,3.17,5,50.07,42.04,2,9.90,0.04,5,7.76,2.49,5,29.99,3.19,5,25.44,6.01,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.94,0.02,5,8.44,2.58,5,32.79,3.66,5,25.52,6.01,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.83,0.11,5,45.40,67.09,5,0.17,0.02,5,2.72,3.03,5,0.40,0.49,5,0.40,0.49,5,29.01,6.25,5,54.62,1.95,5,36.68,5.68,5,11.68,4.53,5,72.05,9.18,5,23.19,4.10,5,8.71,6.15,5,28.67,1.84,5,0.00,0.00,5,100.00,0.00,5,39.04,5.57,5,7.76,29.99
b2,0,79.82,3.80,5,7.76,2.02,5,5.28,1.36,5,80.29,3.73,5,59.87,29.33,5,9.89,5.60,5,9.86,0.06,5,8.59,3.95,5,73.68,8.54,5,11.14,4.55,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.47,0.14,5,64.60,26.26,5,0.27,0.05,5,5.95,1.07,5,1.00,0.00,5,0.00,0.00,5,79.82,3.80,5,79.82,3.80,5,79.82,3.80,5,74.61,7.31,5,11.15,5.23,5,11.15,5.23,5,37.00,10.53,5,75.08,8.38,5,0.00,0.00,5,76.96,28.63,5,18.01,5.76,5,8.59,73.68
b2,1,78.09,3.91,5,8.77,2.28,5,5.96,1.51,5,79.63,2.99,5,54.01,26.60,5,9.67,5.54,5,9.91,0.07,5,8.49,3.40,5,69.60,8.39,5,11.74,3.99,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.97,0.04,5,9.68,3.92,5,74.60,5.56,5,12.67,4.76,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.39,0.13,5,63.00,29.45,5,0.28,0.05,5,5.79,1.26,5,1.00,0.00,5,0.00,0.00,5,74.28,4.54,5,78.64,3.65,5,74.46,4.51,5,64.84,7.57,5,15.06,6.08,5,11.47,4.96,5,31.59,6.72,5,70.10,7.07,5,0.00,0.00,5,79.76,23.80,5,19.34,5.61,5,8.49,69.60
b2,2,75.38,4.33,5,10.60,2.86,5,7.17,1.84,5,78.21,2.80,5,43.51,22.57,5,9.65,5.76,5,9.95,0.02,5,8.30,3.12,5,62.74,7.54,5,12.79,3.88,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.92,0.03,5,9.38,3.77,5,68.54,4.15,5,13.44,5.03,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.32,0.10,5,52.00,25.37,5,0.29,0.06,5,5.45,1.13,5,1.00,0.00,5,0.00,0.00,5,66.76,7.15,5,75.88,4.74,5,70.02,5.27,5,51.58,9.26,5,19.75,7.82,5,12.49,4.73,5,24.43,5.47,5,63.35,6.40,5,0.00,0.00,5,86.34,14.55,5,22.12,5.96,5,8.30,62.74
