design,param,n_seeds,proposed_miou_mean,proposed_miou_std,proposed_retention_mean,proposed_retention_std,b2_miou_mean,b2_miou_std,b2_retention_mean,b2_retention_std,paired_margin_mean,paired_margin_std,paired_wins,paired_ci_lo,paired_ci_hi,paired_verdict,paired_ci_lo_bonf,paired_ci_hi_bonf,paired_verdict_bonferroni,realised_dead_cols,dead_test_px_pct_mean,dead_test_px_pct_std,degenerate
C_cirrus,0.0,5,69.54,3.00,100.0,0.0,71.24,1.73,100.0,0.0,-1.70,3.08,1/5,-5.52,+2.12,indistinguishable,-9.40,+6.01,indistinguishable,,,,
C_cirrus,0.1,5,45.93,4.40,66.3,9.0,49.69,2.57,69.8,4.1,-3.76,5.95,2/5,-11.14,+3.63,indistinguishable,-18.65,+11.13,indistinguishable,,,,
C_cirrus,0.3,5,13.40,6.43,19.3,9.5,12.69,2.16,17.8,2.9,+0.71,7.02,2/5,-8.01,+9.42,indistinguishable,-16.86,+18.27,indistinguishable,,,,
C_cirrus,0.6,5,3.72,1.03,5.4,1.6,8.51,1.12,11.9,1.3,-4.79,1.49,0/5,-6.64,-2.94,loses,-8.52,-1.07,loses,,,,
C_cirrus,1.0,5,2.22,1.16,3.2,1.7,7.57,1.21,10.7,1.9,-5.35,1.83,0/5,-7.63,-3.08,loses,-9.93,-0.77,loses,,,,
D1a_gain_then_noise,0.0,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,-11.96,+8.53,indistinguishable,,,,
D1a_gain_then_noise,0.05,5,67.71,2.42,99.7,0.8,69.64,1.79,100.0,0.2,-1.94,3.90,1/5,-6.78,+2.91,indistinguishable,-11.70,+7.83,indistinguishable,,,,
D1a_gain_then_noise,0.1,5,67.72,2.42,99.7,0.8,69.59,1.75,100.0,0.2,-1.87,3.85,1/5,-6.65,+2.91,indistinguishable,-11.50,+7.76,indistinguishable,,,,
D1a_gain_then_noise,0.2,5,66.75,3.29,98.3,1.3,68.65,1.33,98.6,2.5,-1.89,3.75,1/5,-6.54,+2.76,indistinguishable,-11.27,+7.48,indistinguishable,,,,
D1b_noise_then_gain,0.0,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,,,,,,,gain_multiplies_noise_too_so_mean_norm_cancels_it
D1b_noise_then_gain,0.05,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,,,,,,,gain_multiplies_noise_too_so_mean_norm_cancels_it
D1b_noise_then_gain,0.1,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,,,,,,,gain_multiplies_noise_too_so_mean_norm_cancels_it
D1b_noise_then_gain,0.2,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,,,,,,,gain_multiplies_noise_too_so_mean_norm_cancels_it
D2_dead_cols,0.0,5,67.91,2.81,100.0,0.0,69.62,1.76,100.0,0.0,-1.71,4.09,1/5,-6.80,+3.37,indistinguishable,-11.96,+8.53,indistinguishable,0,0.00,0.00,
D2_dead_cols,0.01,5,63.73,2.80,93.8,1.0,68.06,1.76,97.8,1.2,-4.33,4.01,1/5,-9.30,+0.65,indistinguishable,-14.36,+5.70,indistinguishable,1,1.14,0.07,
D2_dead_cols,0.03,5,61.70,3.30,90.8,1.8,65.89,1.44,94.7,2.2,-4.19,4.22,1/5,-9.43,+1.05,indistinguishable,-14.76,+6.38,indistinguishable,4,3.40,0.86,
D2_dead_cols,0.05,5,59.42,2.41,87.5,2.9,63.42,2.24,91.1,1.4,-4.00,3.61,0/5,-8.48,+0.48,indistinguishable,-13.03,+5.03,indistinguishable,7,5.77,1.18,
