design,param,seed,proposed_miou,b2_miou,realised_dead_cols,dead_test_px_pct
C_cirrus,0.0,0,72.682718,69.443092,,
C_cirrus,0.0,1,69.283160,70.850027,,
C_cirrus,0.0,2,66.427261,70.600285,,
C_cirrus,0.0,3,72.520339,74.097537,,
C_cirrus,0.0,4,66.800121,71.205728,,
C_cirrus,0.1,0,42.201397,53.144217,,
C_cirrus,0.1,1,42.820712,47.848073,,
C_cirrus,0.1,2,49.924797,46.551111,,
C_cirrus,0.1,3,43.240386,50.613386,,
C_cirrus,0.1,4,51.468627,50.293054,,
C_cirrus,0.3,0,16.859094,9.536246,,
C_cirrus,0.3,1,8.544340,11.400465,,
C_cirrus,0.3,2,6.852180,14.655325,,
C_cirrus,0.3,3,12.098974,13.819097,,
C_cirrus,0.3,4,22.638416,14.048401,,
C_cirrus,0.6,0,3.498290,8.240109,,
C_cirrus,0.6,1,3.126482,7.606333,,
C_cirrus,0.6,2,2.747785,8.217402,,
C_cirrus,0.6,3,3.790832,10.453872,,
C_cirrus,0.6,4,5.414061,8.017295,,
C_cirrus,1.0,0,0.550935,7.993180,,
C_cirrus,1.0,1,2.761200,8.608370,,
C_cirrus,1.0,2,3.466419,7.916269,,
C_cirrus,1.0,3,2.779626,5.484167,,
C_cirrus,1.0,4,1.538910,7.865522,,
D1a_gain_then_noise,0.0,0,71.472844,67.066216,,
D1a_gain_then_noise,0.0,1,65.382128,71.776112,,
D1a_gain_then_noise,0.0,2,66.465981,69.013709,,
D1a_gain_then_noise,0.0,3,70.376186,70.562832,,
D1a_gain_then_noise,0.0,4,65.838469,69.690606,,
D1a_gain_then_noise,0.05,0,71.128846,67.018080,,
D1a_gain_then_noise,0.05,1,65.355863,71.885767,,
D1a_gain_then_noise,0.05,2,66.569974,69.289908,,
D1a_gain_then_noise,0.05,3,69.306198,70.481069,,
D1a_gain_then_noise,0.05,4,66.176551,69.542190,,
D1a_gain_then_noise,0.1,0,71.154386,67.039920,,
D1a_gain_then_noise,0.1,1,65.537607,71.807748,,
D1a_gain_then_noise,0.1,2,66.644979,69.180346,,
D1a_gain_then_noise,0.1,3,69.322451,70.400658,,
D1a_gain_then_noise,0.1,4,65.934369,69.523965,,
D1a_gain_then_noise,0.2,0,71.265617,66.930240,,
D1a_gain_then_noise,0.2,1,63.300412,67.600374,,
D1a_gain_then_noise,0.2,2,64.704457,69.146053,,
D1a_gain_then_noise,0.2,3,69.033659,70.112047,,
D1a_gain_then_noise,0.2,4,65.465309,69.447834,,
D1b_noise_then_gain,0.0,0,71.472844,67.066216,,
D1b_noise_then_gain,0.0,1,65.382128,71.776112,,
D1b_noise_then_gain,0.0,2,66.465981,69.013709,,
D1b_noise_then_gain,0.0,3,70.376186,70.562832,,
D1b_noise_then_gain,0.0,4,65.838469,69.690606,,
D1b_noise_then_gain,0.05,0,71.472844,67.066216,,
D1b_noise_then_gain,0.05,1,65.382128,71.776112,,
D1b_noise_then_gain,0.05,2,66.465981,69.013709,,
D1b_noise_then_gain,0.05,3,70.376186,70.562832,,
D1b_noise_then_gain,0.05,4,65.838469,69.690606,,
D1b_noise_then_gain,0.1,0,71.472844,67.066216,,
D1b_noise_then_gain,0.1,1,65.382128,71.776112,,
D1b_noise_then_gain,0.1,2,66.465981,69.013709,,
D1b_noise_then_gain,0.1,3,70.376186,70.562832,,
D1b_noise_then_gain,0.1,4,65.838469,69.690606,,
D1b_noise_then_gain,0.2,0,71.472844,67.066216,,
D1b_noise_then_gain,0.2,1,65.382128,71.776112,,
D1b_noise_then_gain,0.2,2,66.465981,69.013709,,
D1b_noise_then_gain,0.2,3,70.376186,70.562832,,
D1b_noise_then_gain,0.2,4,65.838469,69.690606,,
D2_dead_cols,0.0,0,71.472844,67.066216,0,0.0000
D2_dead_cols,0.0,1,65.382128,71.776112,0,0.0000
D2_dead_cols,0.0,2,66.465981,69.013709,0,0.0000
D2_dead_cols,0.0,3,70.376186,70.562832,0,0.0000
D2_dead_cols,0.0,4,65.838469,69.690606,0,0.0000
D2_dead_cols,0.01,0,66.966418,66.184991,1,1.1491
D2_dead_cols,0.01,1,60.769031,70.629990,1,1.1729
D2_dead_cols,0.01,2,61.738921,67.942751,1,1.1279
D2_dead_cols,0.01,3,66.415933,68.784219,1,1.2328
D2_dead_cols,0.01,4,62.765098,66.754807,1,1.0195
D2_dead_cols,0.03,0,65.985540,65.683831,4,2.2982
D2_dead_cols,0.03,1,58.224500,68.411517,4,3.6992
D2_dead_cols,0.03,2,59.125832,65.370167,4,4.6008
D2_dead_cols,0.03,3,64.137015,65.033041,4,3.8450
D2_dead_cols,0.03,4,61.041106,64.970348,4,2.5342
D2_dead_cols,0.05,0,59.430547,59.711756,7,4.0520
D2_dead_cols,0.05,1,57.022193,65.779981,7,7.3083
D2_dead_cols,0.05,2,57.765183,64.003458,7,6.7379
D2_dead_cols,0.05,3,63.241656,63.990163,7,5.8116
D2_dead_cols,0.05,4,59.657775,63.630093,7,4.9519
