sensor,band,detector,center_nm,center_nm_after_mask,kept_srf_fraction,status,used_by_model,oracle_gain_cwv0.5,oracle_gain_cwv2,oracle_gain_cwv4,shift_sigma_cwv0.5,shift_sigma_cwv2,shift_sigma_cwv4
sentinel2,B2,det-1,494.15,494.15,1.000000,intact,True,0.989414,0.989414,0.989414,-0.11,-0.11,-0.11
sentinel2,B3,det-1,559.92,559.92,1.000000,intact,True,0.959353,0.956928,0.953863,-0.28,-0.29,-0.32
sentinel2,B4,det-1,663.90,663.90,1.000000,intact,True,0.977136,0.971539,0.965405,-0.09,-0.12,-0.14
sentinel2,B5,det-1,705.01,705.01,1.000000,intact,True,0.984548,0.966629,0.947890,-0.06,-0.12,-0.19
sentinel2,B6,det-1,740.12,740.12,1.000000,intact,True,0.988568,0.969547,0.947734,-0.05,-0.13,-0.22
sentinel2,B7,det-1,781.41,781.41,1.000000,intact,True,0.999715,0.998946,0.997972,-0.00,-0.01,-0.02
sentinel2,B8,det-1,832.70,832.70,1.000000,intact,True,0.979907,0.945852,0.917856,-0.15,-0.39,-0.59
sentinel2,B8A,det-1,865.51,865.51,1.000000,intact,True,0.999808,0.999508,0.999133,-0.00,-0.00,-0.01
sentinel2,B9,det-1,943.92,943.92,1.000000,intact,True,0.493535,0.238563,0.133878,-3.74,-5.63,-6.40
sentinel2,B11,det-1,1613.78,1613.78,1.000000,intact,True,0.978874,0.978034,0.976932,-0.14,-0.14,-0.15
sentinel2,B12,det-1,2202.37,2202.37,1.000000,intact,True,0.966618,0.948011,0.930000,-0.35,-0.56,-0.75
landsat_oli,B2,det-1,481.65,481.65,1.000000,intact,True,0.992909,0.992909,0.992909,-0.09,-0.09,-0.09
landsat_oli,B3,det-1,562.13,562.13,1.000000,intact,True,0.959610,0.957149,0.954031,-0.27,-0.29,-0.31
landsat_oli,B4,det-1,655.18,655.18,1.000000,intact,True,0.973438,0.968452,0.962772,-0.11,-0.13,-0.16
landsat_oli,B5,det-1,863.67,863.67,1.000000,intact,True,0.999419,0.997921,0.996042,-0.00,-0.01,-0.03
landsat_oli,B6,det-1,1609.10,1609.10,1.000000,intact,True,0.979537,0.978692,0.977587,-0.13,-0.14,-0.14
landsat_oli,B7,det-1,2201.20,2201.20,1.000000,intact,True,0.964951,0.946481,0.928516,-0.37,-0.57,-0.77
