seed,sensor,arm,condition,cwv,miou,OA,AA,kappa,train_miou,zshift_median,zshift_max,zshift_median_measuring,zshift_max_measuring,zshift_max_band,z_abs_max,n_bands_used,n_degenerate_scaler_cols,n_classes_test,n_test_px,split_sha16
0,landsat_oli,clean,clean,,64.18895376635979,77.68370123979437,74.02688937012735,74.41288838439452,75.9219220261472,0.0,0.0,0.0,0.0,0,3.8401650721927623,6,0,15,3307,200212adf5406e17
1,landsat_oli,clean,clean,,65.07206112018238,76.63157894736841,75.23210682191103,73.23311241756065,75.43033922502485,0.0,0.0,0.0,0.0,0,5.640477240406386,6,0,15,3325,df19862980d58f94
2,landsat_oli,clean,clean,,60.81217167095563,76.37281092312259,72.97122844500979,72.82430166873125,73.2714417729739,0.0,0.0,0.0,0.0,0,6.5508350168859435,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,clean,clean,,61.69986561022331,76.63633695333138,75.01976710674505,73.06838922180248,72.32499844287707,0.0,0.0,0.0,0.0,0,5.835365096515919,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,clean,clean,,61.92209652004947,77.5415088843577,72.2982658715293,74.27861421239933,71.73341825057224,0.0,0.0,0.0,0.0,0,3.3469324703380186,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,gain_corrected,cwv0.5,0.5,64.95609808891099,77.62322346537648,74.74770037062764,74.3252857190369,75.9219220261472,0.00058389284906437,0.006710727168153287,0.00058389284906437,0.006710727168153287,5,3.8350429706056146,6,0,15,3307,200212adf5406e17
1,landsat_oli,gain_corrected,cwv0.5,0.5,65.63930132804067,77.47368421052632,75.63644146993623,74.16064439203213,75.43033922502485,0.0005784653854102241,0.006718780046512714,0.0005784653854102241,0.006718780046512714,5,5.633965079074567,6,0,15,3325,df19862980d58f94
2,landsat_oli,gain_corrected,cwv0.5,0.5,60.78012205113973,76.49154051647373,72.94908166237978,72.92931281035693,73.2714417729739,0.0005819566635212346,0.006736302168793048,0.0005819566635212346,0.006736302168793048,5,6.5429771840932975,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,gain_corrected,cwv0.5,0.5,61.61449325200874,76.2841209275022,74.8442086096613,72.64682853543081,72.32499844287707,0.0005829994977058438,0.0067460546999769675,0.0005829994977058438,0.0067460546999769675,5,5.828088911397621,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,gain_corrected,cwv0.5,0.5,62.64851654897999,77.13370230119429,72.97910019589683,73.78158639738808,71.73341825057224,0.0005875118230031119,0.006746958083629985,0.0005875118230031119,0.006746958083629985,5,3.341608653795391,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,gain_corrected,cwv2,2.0,65.15164087499944,77.80465678863018,74.95542178204106,74.54786280576454,75.9219220261472,0.0007185127452704861,0.003430208831801713,0.0007185127452704861,0.003430208831801713,5,3.8350429706056146,6,0,15,3307,200212adf5406e17
1,landsat_oli,gain_corrected,cwv2,2.0,65.30588947299137,77.02255639097744,75.38888264756606,73.66013580847665,75.43033922502485,0.0007114909376573837,0.003431908611680189,0.0007114909376573837,0.003431908611680189,5,5.633965079074567,6,0,15,3325,df19862980d58f94
2,landsat_oli,gain_corrected,cwv2,2.0,60.88259543888079,76.61027010982487,73.07721508982767,73.07816611985128,73.2714417729739,0.0007175598586274795,0.0034438033025337555,0.0007175598586274795,0.0034438033025337555,5,6.5429771840932975,6,0,15,3369,3b1a159ad79e5b9d
3,landsat_oli,gain_corrected,cwv2,2.0,61.73416530546285,76.63633695333138,75.0824440409719,73.07037086613016,72.32499844287707,0.0007174840736052354,0.0034511708302927824,0.0007174840736052354,0.0034511708302927824,5,5.828088911397621,6,0,16,3407,56f4295fa4b88c6f
4,landsat_oli,gain_corrected,cwv2,2.0,62.04253619185639,77.30847655112146,72.32343324461522,73.99250517756198,71.73341825057224,0.0007232040953124236,0.00344812381008908,0.0007232040953124236,0.00344812381008908,5,3.341608653795391,6,0,16,3433,02050e564bfe03b1
0,landsat_oli,gain_corrected,cwv4,4.0,64.56447495718002,77.68370123979437,74.39109531204873,74.4142027789167,75.9219220261472,0.0007207463383105005,0.0024073055695207142,0.0007207463383105005,0.0024073055695207142,0,3.8350429706056146,6,0,15,3307,200212adf5406e17
