dataset,seed,method,missing_groups,miou,audc
pavia,0,b1,0,89.4662,27.4686
pavia,0,b1,1,40.3222,27.4686
pavia,0,b1,2,27.1194,27.4686
pavia,0,b1,3,19.2651,27.4686
pavia,0,b1,4,15.2348,27.4686
pavia,0,b1,5,12.6878,27.4686
pavia,0,b1,6,10.8987,27.4686
pavia,1,b1,0,89.0189,25.9465
pavia,1,b1,1,36.7439,25.9465
pavia,1,b1,2,24.6519,25.9465
pavia,1,b1,3,17.9719,25.9465
pavia,1,b1,4,14.4378,25.9465
pavia,1,b1,5,12.1622,25.9465
pavia,1,b1,6,10.4040,25.9465
pavia,2,b1,0,90.3151,26.3821
pavia,2,b1,1,38.8467,26.3821
pavia,2,b1,2,25.1008,26.3821
pavia,2,b1,3,17.9542,26.3821
pavia,2,b1,4,14.2219,26.3821
pavia,2,b1,5,11.8317,26.3821
pavia,2,b1,6,10.3595,26.3821
pavia,3,b1,0,89.7422,25.8615
pavia,3,b1,1,37.6152,25.8615
pavia,3,b1,2,23.9763,25.8615
pavia,3,b1,3,17.6636,25.8615
pavia,3,b1,4,14.1235,25.8615
pavia,3,b1,5,11.7675,25.8615
pavia,3,b1,6,10.3034,25.8615
pavia,4,b1,0,88.4525,26.3442
pavia,4,b1,1,37.5662,26.3442
pavia,4,b1,2,24.8126,26.3442
pavia,4,b1,3,18.5227,26.3442
pavia,4,b1,4,15.0548,26.3442
pavia,4,b1,5,12.4891,26.3442
pavia,4,b1,6,10.7869,26.3442
pavia,0,b2,0,85.8836,75.2832
pavia,0,b2,1,84.4939,75.2832
pavia,0,b2,2,82.7733,75.2832
pavia,0,b2,3,79.7389,75.2832
pavia,0,b2,4,73.5131,75.2832
pavia,0,b2,5,63.3473,75.2832
pavia,0,b2,6,49.7818,75.2832
pavia,1,b2,0,84.2210,74.5524
pavia,1,b2,1,83.4707,74.5524
pavia,1,b2,2,81.9786,74.5524
pavia,1,b2,3,78.9357,74.5524
pavia,1,b2,4,72.8239,74.5524
pavia,1,b2,5,63.1080,74.5524
pavia,1,b2,6,49.7737,74.5524
pavia,2,b2,0,86.9122,77.3533
pavia,2,b2,1,85.7367,77.3533
pavia,2,b2,2,84.4638,77.3533
pavia,2,b2,3,82.5147,77.3533
pavia,2,b2,4,77.1654,77.3533
pavia,2,b2,5,65.7634,77.3533
pavia,2,b2,6,50.0398,77.3533
pavia,3,b2,0,88.9210,77.8505
pavia,3,b2,1,87.6017,77.8505
pavia,3,b2,2,85.8921,77.8505
pavia,3,b2,3,82.6507,77.8505
pavia,3,b2,4,75.9158,77.8505
pavia,3,b2,5,65.0507,77.8505
pavia,3,b2,6,51.0626,77.8505
pavia,4,b2,0,86.2227,76.7706
pavia,4,b2,1,85.2548,76.7706
pavia,4,b2,2,83.8955,76.7706
pavia,4,b2,3,81.3769,76.7706
pavia,4,b2,4,75.9246,76.7706
pavia,4,b2,5,65.4881,76.7706
pavia,4,b2,6,51.1448,76.7706
pavia,0,b3,0,89.4662,70.6500
pavia,0,b3,1,85.4887,70.6500
pavia,0,b3,2,80.1447,70.6500
pavia,0,b3,3,73.1275,70.6500
pavia,0,b3,4,64.4067,70.6500
pavia,0,b3,5,54.2883,70.6500
pavia,0,b3,6,43.4215,70.6500
pavia,1,b3,0,89.0189,72.3240
pavia,1,b3,1,85.4682,72.3240
pavia,1,b3,2,80.7892,72.3240
pavia,1,b3,3,74.7108,72.3240
pavia,1,b3,4,67.1542,72.3240
pavia,1,b3,5,57.8578,72.3240
pavia,1,b3,6,46.9089,72.3240
pavia,2,b3,0,90.3151,74.4106
pavia,2,b3,1,86.6694,74.4106
pavia,2,b3,2,82.1304,74.4106
pavia,2,b3,3,76.3547,74.4106
pavia,2,b3,4,69.3802,74.4106
pavia,2,b3,5,61.0723,74.4106
pavia,2,b3,6,51.3976,74.4106
pavia,3,b3,0,89.7422,72.8815
pavia,3,b3,1,86.0513,72.8815
pavia,3,b3,2,81.1621,72.8815
pavia,3,b3,3,75.0029,72.8815
pavia,3,b3,4,67.5231,72.8815
pavia,3,b3,5,58.6122,72.8815
pavia,3,b3,6,48.1326,72.8815
pavia,4,b3,0,88.4525,70.7454
pavia,4,b3,1,84.4324,70.7454
pavia,4,b3,2,79.1763,70.7454
pavia,4,b3,3,72.7642,70.7454
pavia,4,b3,4,65.0993,70.7454
pavia,4,b3,5,56.0432,70.7454
pavia,4,b3,6,45.4611,70.7454
pavia,0,proposed,0,87.1273,79.6458
pavia,0,proposed,1,86.0726,79.6458
pavia,0,proposed,2,84.5890,79.6458
pavia,0,proposed,3,82.2329,79.6458
pavia,0,proposed,4,78.4546,79.6458
pavia,0,proposed,5,72.0367,79.6458
pavia,0,proposed,6,61.8505,79.6458
pavia,1,proposed,0,87.4044,79.6484
pavia,1,proposed,1,86.3530,79.6484
pavia,1,proposed,2,84.8594,79.6484
pavia,1,proposed,3,82.5755,79.6484
pavia,1,proposed,4,78.5464,79.6484
pavia,1,proposed,5,71.5858,79.6484
pavia,1,proposed,6,60.5359,79.6484
pavia,2,proposed,0,89.2502,81.3138
pavia,2,proposed,1,88.1153,81.3138
pavia,2,proposed,2,86.4138,81.3138
pavia,2,proposed,3,84.0304,81.3138
pavia,2,proposed,4,80.0342,81.3138
pavia,2,proposed,5,73.3102,81.3138
pavia,2,proposed,6,62.7072,81.3138
pavia,3,proposed,0,89.5613,81.2630
pavia,3,proposed,1,88.3632,81.2630
pavia,3,proposed,2,86.6926,81.2630
pavia,3,proposed,3,84.0922,81.2630
pavia,3,proposed,4,79.7401,81.2630
pavia,3,proposed,5,72.7731,81.2630
pavia,3,proposed,6,62.2727,81.2630
pavia,4,proposed,0,88.8457,82.0327
pavia,4,proposed,1,87.7336,82.0327
pavia,4,proposed,2,86.3135,82.0327
pavia,4,proposed,3,84.3484,82.0327
pavia,4,proposed,4,80.9908,82.0327
pavia,4,proposed,5,75.3053,82.0327
pavia,4,proposed,6,66.1634,82.0327
