key,value
dataset,pavia
claim,transfer of the Phase-2 ordering under Indian-Pines settings; NOT dataset generalization
retuned_on_this_dataset,no
tuning_split,none (train/test only)
hyperparams_selected_on,indian_pines
groups,10
epochs,60
n_seeds,5
b1_audc_mean,26.401
b1_audc_std,0.573
b2_audc_mean,76.362
b2_audc_std,1.249
b3_audc_mean,72.202
b3_audc_std,1.406
proposed_audc_mean,80.781
proposed_audc_std,0.965
wavelength_axis_status,nominal_uniform
source_dataset,indian_pines
is_self_consistency_check,False
block_px,10
guard_px,1
mean_pairwise_test_mask_iou,0.439
n_classes,9
miou_at_zero_missing_proposed,88.44
b1_retention_at_max_missing,0.1180
b1_audc_normalised_by_clean,0.2953
b2_retention_at_max_missing,0.5827
b2_audc_normalised_by_clean,0.8835
b3_retention_at_max_missing,0.5265
b3_audc_normalised_by_clean,0.8076
proposed_retention_at_max_missing,0.7090
proposed_audc_normalised_by_clean,0.9134
bands_per_group,10.3
nm_per_group_mean_span,39.2
nm_per_group_min_span,37.9
nm_axis_covered,430
frac_bands_missing_at_max,0.600
paired_margin_vs_b1_mean,+54.380
paired_margin_vs_b1_std,1.294
paired_wins_vs_b1,5/5
paired_margin_vs_b2_mean,+4.419
paired_margin_vs_b2_std,0.692
paired_wins_vs_b2,5/5
paired_margin_vs_b3_mean,+8.578
paired_margin_vs_b3_std,1.545
paired_wins_vs_b3,5/5
best_rival,b2
best_rival_selection,POST-HOC (highest observed mean AUDC) -- carries a winner's-curse bias; see the per-rival rows above
paired_margin_mean,+4.419
paired_margin_std,0.692
paired_wins,5/5
