dataset,seed,method,missing_groups,miou,audc
salinas,0,b1,0,95.3382,23.5551
salinas,0,b1,1,37.8932,23.5551
salinas,0,b1,2,20.9920,23.5551
salinas,0,b1,3,14.0173,23.5551
salinas,0,b1,4,10.0145,23.5551
salinas,0,b1,5,7.6281,23.5551
salinas,0,b1,6,6.2328,23.5551
salinas,1,b1,0,94.8264,24.1149
salinas,1,b1,1,39.0267,24.1149
salinas,1,b1,2,22.2766,24.1149
salinas,1,b1,3,14.6087,24.1149
salinas,1,b1,4,10.3815,24.1149
salinas,1,b1,5,7.8352,24.1149
salinas,1,b1,6,6.2944,24.1149
salinas,2,b1,0,94.9216,24.0989
salinas,2,b1,1,38.1685,24.0989
salinas,2,b1,2,22.6819,24.0989
salinas,2,b1,3,14.7806,24.0989
salinas,2,b1,4,10.4399,24.0989
salinas,2,b1,5,7.9407,24.0989
salinas,2,b1,6,6.2424,24.0989
salinas,3,b1,0,94.3237,26.5726
salinas,3,b1,1,42.2127,26.5726
salinas,3,b1,2,26.0654,26.5726
salinas,3,b1,3,17.6850,26.5726
salinas,3,b1,4,12.8154,26.5726
salinas,3,b1,5,9.7428,26.5726
salinas,3,b1,6,7.5049,26.5726
salinas,4,b1,0,94.3733,26.3495
salinas,4,b1,1,42.4488,26.3495
salinas,4,b1,2,25.4155,26.3495
salinas,4,b1,3,17.4033,26.3495
salinas,4,b1,4,12.4526,26.3495
salinas,4,b1,5,9.4807,26.3495
salinas,4,b1,6,7.4193,26.3495
salinas,0,b2,0,94.1550,86.4816
salinas,0,b2,1,93.6001,86.4816
salinas,0,b2,2,92.7987,86.4816
salinas,0,b2,3,91.3522,86.4816
salinas,0,b2,4,87.5759,86.4816
salinas,0,b2,5,77.4187,86.4816
salinas,0,b2,6,58.1335,86.4816
salinas,1,b2,0,93.2882,85.2235
salinas,1,b2,1,92.5864,85.2235
salinas,1,b2,2,91.6811,85.2235
salinas,1,b2,3,90.1539,85.2235
salinas,1,b2,4,85.8666,85.2235
salinas,1,b2,5,75.7282,85.2235
salinas,1,b2,6,57.3620,85.2235
salinas,2,b2,0,93.5380,85.1195
salinas,2,b2,1,92.8945,85.1195
salinas,2,b2,2,92.0106,85.1195
salinas,2,b2,3,90.6070,85.1195
salinas,2,b2,4,86.4442,85.1195
salinas,2,b2,5,74.6653,85.1195
salinas,2,b2,6,54.6529,85.1195
salinas,3,b2,0,93.9484,85.8987
salinas,3,b2,1,93.4450,85.8987
salinas,3,b2,2,92.5240,85.8987
salinas,3,b2,3,90.8867,85.8987
salinas,3,b2,4,86.8803,85.8987
salinas,3,b2,5,76.2469,85.8987
salinas,3,b2,6,56.8702,85.8987
salinas,4,b2,0,93.9851,86.2606
salinas,4,b2,1,93.2329,86.2606
salinas,4,b2,2,92.1982,86.2606
salinas,4,b2,3,90.6769,86.2606
salinas,4,b2,4,87.1758,86.2606
salinas,4,b2,5,77.5884,86.2606
salinas,4,b2,6,59.3980,86.2606
salinas,0,b3,0,95.3382,15.4863
salinas,0,b3,1,28.3077,15.4863
salinas,0,b3,2,8.7571,15.4863
salinas,0,b3,3,3.7977,15.4863
salinas,0,b3,4,2.2215,15.4863
salinas,0,b3,5,1.5805,15.4863
salinas,0,b3,6,1.1682,15.4863
salinas,1,b3,0,94.8264,15.9712
salinas,1,b3,1,29.0075,15.9712
salinas,1,b3,2,8.7615,15.9712
salinas,1,b3,3,4.0902,15.9712
salinas,1,b3,4,2.9894,15.9712
salinas,1,b3,5,2.5404,15.9712
salinas,1,b3,6,2.0503,15.9712
salinas,2,b3,0,94.9216,15.3149
salinas,2,b3,1,27.0934,15.3149
salinas,2,b3,2,8.6532,15.3149
salinas,2,b3,3,3.8959,15.3149
salinas,2,b3,4,2.3417,15.3149
salinas,2,b3,5,1.6974,15.3149
salinas,2,b3,6,1.4934,15.3149
salinas,3,b3,0,94.3237,16.3280
salinas,3,b3,1,30.0631,16.3280
salinas,3,b3,2,9.8580,16.3280
salinas,3,b3,3,4.8691,16.3280
salinas,3,b3,4,3.1034,16.3280
salinas,3,b3,5,2.2248,16.3280
salinas,3,b3,6,1.3759,16.3280
salinas,4,b3,0,94.3733,15.4230
salinas,4,b3,1,27.5602,15.4230
salinas,4,b3,2,8.4630,15.4230
salinas,4,b3,3,4.1179,15.4230
salinas,4,b3,4,2.7139,15.4230
salinas,4,b3,5,1.8569,15.4230
salinas,4,b3,6,1.2786,15.4230
salinas,0,proposed,0,94.2617,88.3269
salinas,0,proposed,1,93.6454,88.3269
salinas,0,proposed,2,92.8157,88.3269
salinas,0,proposed,3,91.4721,88.3269
salinas,0,proposed,4,88.5453,88.3269
salinas,0,proposed,5,81.9142,88.3269
salinas,0,proposed,6,68.8761,88.3269
salinas,1,proposed,0,94.2798,87.5441
salinas,1,proposed,1,93.7419,87.5441
salinas,1,proposed,2,92.8124,87.5441
salinas,1,proposed,3,91.0230,87.5441
salinas,1,proposed,4,87.3567,87.5441
salinas,1,proposed,5,79.8749,87.5441
salinas,1,proposed,6,66.6319,87.5441
salinas,2,proposed,0,94.4912,87.7718
salinas,2,proposed,1,93.9023,87.7718
salinas,2,proposed,2,92.8627,87.7718
salinas,2,proposed,3,91.2235,87.7718
salinas,2,proposed,4,87.8073,87.7718
salinas,2,proposed,5,80.2924,87.7718
salinas,2,proposed,6,66.5939,87.7718
salinas,3,proposed,0,93.8561,87.4094
salinas,3,proposed,1,93.3076,87.4094
salinas,3,proposed,2,92.4459,87.4094
salinas,3,proposed,3,90.9107,87.4094
salinas,3,proposed,4,87.5173,87.4094
salinas,3,proposed,5,80.0482,87.4094
salinas,3,proposed,6,66.5971,87.4094
salinas,4,proposed,0,94.5452,88.7067
salinas,4,proposed,1,93.9338,88.7067
salinas,4,proposed,2,93.1862,88.7067
salinas,4,proposed,3,91.8915,88.7067
salinas,4,proposed,4,88.9299,88.7067
salinas,4,proposed,5,82.3075,88.7067
salinas,4,proposed,6,69.4376,88.7067
