key,value
dataset,salinas
claim,transfer of the Phase-2 ordering under Indian-Pines settings; NOT dataset generalization
retuned_on_this_dataset,no
tuning_split,none (train/test only)
hyperparams_selected_on,indian_pines
groups,10
epochs,60
n_seeds,5
b1_audc_mean,24.938
b1_audc_std,1.262
b2_audc_mean,85.797
b2_audc_std,0.544
b3_audc_mean,15.705
b3_audc_std,0.384
proposed_audc_mean,87.952
proposed_audc_std,0.491
wavelength_axis_status,nominal_with_gaps
source_dataset,indian_pines
is_self_consistency_check,False
block_px,10
guard_px,1
mean_pairwise_test_mask_iou,0.439
n_classes,16
miou_at_zero_missing_proposed,94.29
b1_retention_at_max_missing,0.0711
b1_audc_normalised_by_clean,0.2632
b2_retention_at_max_missing,0.6108
b2_audc_normalised_by_clean,0.9148
b3_retention_at_max_missing,0.0155
b3_audc_normalised_by_clean,0.1657
proposed_retention_at_max_missing,0.7173
proposed_audc_normalised_by_clean,0.9328
bands_per_group,20.4
nm_per_group_mean_span,200.6
nm_per_group_min_span,178.9
nm_axis_covered,1893
frac_bands_missing_at_max,0.600
paired_margin_vs_b1_mean,+63.014
paired_margin_vs_b1_std,1.332
paired_wins_vs_b1,5/5
paired_margin_vs_b2_mean,+2.155
paired_margin_vs_b2_std,0.417
paired_wins_vs_b2,5/5
paired_margin_vs_b3_mean,+72.247
paired_margin_vs_b3_std,0.810
paired_wins_vs_b3,5/5
best_rival,b2
best_rival_selection,POST-HOC (highest observed mean AUDC) -- carries a winner's-curse bias; see the per-rival rows above
paired_margin_mean,+2.155
paired_margin_std,0.417
paired_wins,5/5
