dataset,seed,method,missing_groups,miou,audc
synthetic,0,b1,0,100.0000,83.9207
synthetic,0,b1,1,99.3910,83.9207
synthetic,0,b1,2,93.8023,83.9207
synthetic,0,b1,3,86.7929,83.9207
synthetic,0,b1,4,77.6374,83.9207
synthetic,0,b1,5,67.6324,83.9207
synthetic,0,b1,6,56.5362,83.9207
synthetic,1,b1,0,100.0000,83.0876
synthetic,1,b1,1,98.9583,83.0876
synthetic,1,b1,2,93.8182,83.0876
synthetic,1,b1,3,85.8876,83.0876
synthetic,1,b1,4,76.4634,83.0876
synthetic,1,b1,5,65.9454,83.0876
synthetic,1,b1,6,54.9048,83.0876
synthetic,2,b1,0,100.0000,83.4484
synthetic,2,b1,1,99.8798,83.4484
synthetic,2,b1,2,94.0085,83.4484
synthetic,2,b1,3,86.1573,83.4484
synthetic,2,b1,4,76.7582,83.4484
synthetic,2,b1,5,66.3843,83.4484
synthetic,2,b1,6,55.0039,83.4484
synthetic,3,b1,0,100.0000,83.1711
synthetic,3,b1,1,99.7399,83.1711
synthetic,3,b1,2,93.7869,83.1711
synthetic,3,b1,3,85.6807,83.1711
synthetic,3,b1,4,76.2944,83.1711
synthetic,3,b1,5,66.1626,83.1711
synthetic,3,b1,6,54.7242,83.1711
synthetic,4,b1,0,100.0000,83.5533
synthetic,4,b1,1,99.9412,83.5533
synthetic,4,b1,2,94.0363,83.5533
synthetic,4,b1,3,86.2237,83.5533
synthetic,4,b1,4,76.8973,83.5533
synthetic,4,b1,5,66.4024,83.5533
synthetic,4,b1,6,55.6380,83.5533
synthetic,0,b2,0,100.0000,97.8519
synthetic,0,b2,1,100.0000,97.8519
synthetic,0,b2,2,99.9952,97.8519
synthetic,0,b2,3,99.8915,97.8519
synthetic,0,b2,4,98.8608,97.8519
synthetic,0,b2,5,94.8774,97.8519
synthetic,0,b2,6,86.9733,97.8519
synthetic,1,b2,0,100.0000,98.1495
synthetic,1,b2,1,100.0000,98.1495
synthetic,1,b2,2,100.0000,98.1495
synthetic,1,b2,3,99.9959,98.1495
synthetic,1,b2,4,99.4913,98.1495
synthetic,1,b2,5,95.6418,98.1495
synthetic,1,b2,6,87.5358,98.1495
synthetic,2,b2,0,100.0000,97.9538
synthetic,2,b2,1,100.0000,97.9538
synthetic,2,b2,2,100.0000,97.9538
synthetic,2,b2,3,99.9862,97.9538
synthetic,2,b2,4,99.1984,97.9538
synthetic,2,b2,5,95.2889,97.9538
synthetic,2,b2,6,86.4990,97.9538
synthetic,3,b2,0,100.0000,98.3873
synthetic,3,b2,1,100.0000,98.3873
synthetic,3,b2,2,100.0000,98.3873
synthetic,3,b2,3,99.9928,98.3873
synthetic,3,b2,4,99.5240,98.3873
synthetic,3,b2,5,96.3990,98.3873
synthetic,3,b2,6,88.8162,98.3873
synthetic,4,b2,0,100.0000,97.9523
synthetic,4,b2,1,100.0000,97.9523
synthetic,4,b2,2,100.0000,97.9523
synthetic,4,b2,3,99.9695,97.9523
synthetic,4,b2,4,99.0727,97.9523
synthetic,4,b2,5,95.2935,97.9523
synthetic,4,b2,6,86.7563,97.9523
synthetic,0,b3,0,100.0000,89.4924
synthetic,0,b3,1,99.8446,89.4924
synthetic,0,b3,2,98.5038,89.4924
synthetic,0,b3,3,94.8004,89.4924
synthetic,0,b3,4,87.6280,89.4924
synthetic,0,b3,5,76.0926,89.4924
synthetic,0,b3,6,60.1701,89.4924
synthetic,1,b3,0,100.0000,89.4728
synthetic,1,b3,1,99.7087,89.4728
synthetic,1,b3,2,98.1949,89.4728
synthetic,1,b3,3,94.4009,89.4728
synthetic,1,b3,4,87.4273,89.4728
synthetic,1,b3,5,76.4703,89.4728
synthetic,1,b3,6,61.2696,89.4728
synthetic,2,b3,0,100.0000,89.5851
synthetic,2,b3,1,99.7955,89.5851
synthetic,2,b3,2,98.3232,89.5851
synthetic,2,b3,3,94.6096,89.5851
synthetic,2,b3,4,87.6268,89.5851
synthetic,2,b3,5,76.5502,89.5851
synthetic,2,b3,6,61.2109,89.5851
synthetic,3,b3,0,100.0000,89.8296
synthetic,3,b3,1,99.7915,89.8296
synthetic,3,b3,2,98.4035,89.8296
synthetic,3,b3,3,94.8173,89.8296
synthetic,3,b3,4,87.9827,89.8296
synthetic,3,b3,5,77.0787,89.8296
synthetic,3,b3,6,61.8086,89.8296
synthetic,4,b3,0,100.0000,89.3643
synthetic,4,b3,1,99.7739,89.3643
synthetic,4,b3,2,98.2191,89.3643
