split_seed,model_seed,state,arm,joint_risk,coverage,selective_risk,acc,feasible,n_calib_units,n_eval_units
0,0,clean,mondrian,7.57536,75.2163,10.0714,81.2147,1,69,69
0,0,clean,naive,7.57536,75.2163,10.0714,81.2147,1,69,69
0,0,dropSWIR,mondrian,7.32101,60.7167,12.0577,76.3773,1,69,69
0,0,dropSWIR,naive,9.69022,69.4471,13.9534,76.3773,1,69,69
0,0,L2A_real,mondrian,7.44022,75.2134,9.89214,81.0973,1,69,69
0,0,L2A_real,naive,8.83297,79.3504,11.1316,81.0973,1,69,69
0,1,clean,mondrian,7.79022,72.6098,10.7289,79.8567,1,69,69
0,1,clean,naive,7.79022,72.6098,10.7289,79.8567,1,69,69
0,1,dropSWIR,mondrian,7.69167,63.5768,12.0982,76.7567,1,69,69
0,1,dropSWIR,naive,9.3029,69.1692,13.4495,76.7567,1,69,69
0,1,L2A_real,mondrian,8.32428,76.7993,10.839,81.0373,1,69,69
0,1,L2A_real,naive,9.19312,79.2797,11.5958,81.0373,1,69,69
0,2,clean,mondrian,7.48659,71.4754,10.4744,79.4413,1,69,69
0,2,clean,naive,7.48659,71.4754,10.4744,79.4413,1,69,69
0,2,dropSWIR,mondrian,7.63478,57.5391,13.2689,73.7413,1,69,69
0,2,dropSWIR,naive,11.363,69.717,16.2988,73.7413,1,69,69
0,2,L2A_real,mondrian,7.58261,72.5036,10.4582,79.9973,1,69,69
0,2,L2A_real,naive,9.13297,77.121,11.8424,79.9973,1,69,69
1,0,clean,mondrian,7.52862,75.1011,10.0247,80.9937,1,69,69
1,0,clean,naive,7.52862,75.1011,10.0247,80.9937,1,69,69
1,0,dropSWIR,mondrian,5.37717,56.433,9.52843,76.1056,1,69,69
1,0,dropSWIR,naive,9.0663,69.3243,13.0781,76.1056,1,69,69
1,0,L2A_real,mondrian,7.32754,75.3333,9.72682,81.4099,1,69,69
1,0,L2A_real,naive,8.46812,78.9438,10.7268,81.4099,1,69,69
1,1,clean,mondrian,8.04094,72.4326,11.1013,79.3028,1,69,69
1,1,clean,naive,8.04094,72.4326,11.1013,79.3028,1,69,69
1,1,dropSWIR,mondrian,5.66703,57.8652,9.7935,75.8155,1,69,69
1,1,dropSWIR,naive,8.84493,68.6525,12.8836,75.8155,1,69,69
1,1,L2A_real,mondrian,8.07355,76.3884,10.5691,80.9254,1,69,69
1,1,L2A_real,naive,8.75181,78.3428,11.1712,80.9254,1,69,69
1,2,clean,mondrian,8.49275,75.8681,11.1941,79.7239,1,69,69
1,2,clean,naive,8.49275,75.8681,11.1941,79.7239,1,69,69
1,2,dropSWIR,mondrian,6.81703,56.8594,11.9893,74.1352,1,69,69
1,2,dropSWIR,naive,12.2203,73.1804,16.6988,74.1352,1,69,69
1,2,L2A_real,mondrian,8.57536,77.0341,11.1319,80.1944,1,69,69
1,2,L2A_real,naive,9.57464,79.7514,12.0056,80.1944,1,69,69
2,0,clean,mondrian,8.54529,76.8424,11.1205,80.6536,1,69,69
2,0,clean,naive,8.54529,76.8424,11.1205,80.6536,1,69,69
2,0,dropSWIR,mondrian,8.86304,65.4957,13.5323,76.2436,1,69,69
2,0,dropSWIR,naive,11.037,72.7094,15.1795,76.2436,1,69,69
2,0,L2A_real,mondrian,8.55109,76.5645,11.1685,80.045,1,69,69
2,0,L2A_real,naive,9.94565,80.1678,12.4061,80.045,1,69,69
2,1,clean,mondrian,8.54058,75.1319,11.3675,79.7429,1,69,69
2,1,clean,naive,8.54058,75.1319,11.3675,79.7429,1,69,69
2,1,dropSWIR,mondrian,8.36667,64.6551,12.9405,76.0957,1,69,69
2,1,dropSWIR,naive,10.908,72.8337,14.9765,76.0957,1,69,69
2,1,L2A_real,mondrian,8.86703,77.3913,11.4574,80.1607,1,69,69
2,1,L2A_real,naive,9.89674,80.0989,12.3556,80.1607,1,69,69
2,2,clean,mondrian,9.0971,74.4518,12.2188,78.5807,1,69,69
2,2,clean,naive,9.0971,74.4518,12.2188,78.5807,1,69,69
2,2,dropSWIR,mondrian,9.25688,62.0634,14.9152,73.4571,1,69,69
2,2,dropSWIR,naive,13.4348,73.8384,18.1948,73.4571,1,69,69
2,2,L2A_real,mondrian,9.07391,74.8087,12.1295,78.5864,1,69,69
2,2,L2A_real,naive,10.5254,78.5428,13.4008,78.5864,1,69,69
3,0,clean,mondrian,8.78043,74.6645,11.7599,79.3645,1,69,69
3,0,clean,naive,8.78043,74.6645,11.7599,79.3645,1,69,69
3,0,dropSWIR,mondrian,10.2087,65.7623,15.5236,73.6696,1,69,69
3,0,dropSWIR,naive,12.1594,71.413,17.0269,73.6696,1,69,69
3,0,L2A_real,mondrian,8.65,74.9138,11.5466,79.2877,1,69,69
3,0,L2A_real,naive,10.0609,78.9261,12.7472,79.2877,1,69,69
3,1,clean,mondrian,8.03551,71.9072,11.1748,79.3761,1,69,69
3,1,clean,naive,8.03551,71.9072,11.1748,79.3761,1,69,69
3,1,dropSWIR,mondrian,9.33333,64.6681,14.4327,74.3384,1,69,69
3,1,dropSWIR,naive,11.0551,69.9297,15.8088,74.3384,1,69,69
3,1,L2A_real,mondrian,8.0587,73.9558,10.8966,79.7007,1,69,69
3,1,L2A_real,naive,9.41667,77.808,12.1024,79.7007,1,69,69
3,2,clean,mondrian,7.68623,71.0399,10.8196,78.9877,1,69,69
3,2,clean,naive,7.68623,71.0399,10.8196,78.9877,1,69,69
3,2,dropSWIR,mondrian,7.95942,58.5297,13.5989,72.7551,1,69,69
3,2,dropSWIR,naive,12.1138,70.1123,17.2777,72.7551,1,69,69
3,2,L2A_real,mondrian,7.73913,71.3754,10.8429,78.7594,1,69,69
3,2,L2A_real,naive,9.42101,75.971,12.4008,78.7594,1,69,69
4,0,clean,mondrian,9.43478,77.9315,12.1065,79.9797,1,69,69
4,0,clean,naive,9.43478,77.9315,12.1065,79.9797,1,69,69
4,0,dropSWIR,mondrian,10.1036,68.1065,14.835,75,1,69,69
4,0,dropSWIR,naive,12.3736,74.6036,16.5857,75,1,69,69
4,0,L2A_real,mondrian,9.37428,78.0692,12.0076,80.198,1,69,69
4,0,L2A_real,naive,10.4786,81.158,12.9114,80.198,1,69,69
4,1,clean,mondrian,9.62065,76.3801,12.5958,79.5372,1,69,69
4,1,clean,naive,9.62065,76.3801,12.5958,79.5372,1,69,69
