split_seed,model_seed,state,arm,joint_risk,coverage,selective_risk,acc,feasible,n_calib_units,n_eval_units
0,0,clean,mondrian,7.23768,74.4986,9.7152,81.3427,1,69,69
0,0,clean,naive,7.23768,74.4986,9.7152,81.3427,1,69,69
0,0,dropSWIR,mondrian,7.38406,59.8529,12.337,76.276,1,69,69
0,0,dropSWIR,naive,9.9971,69.2641,14.4333,76.276,1,69,69
0,0,L2A_real,mondrian,7.45399,75.4413,9.88051,81.0827,1,69,69
0,0,L2A_real,naive,8.64746,79.0402,10.9406,81.0827,1,69,69
0,1,clean,mondrian,7.70652,73.15,10.5352,80.3167,1,69,69
0,1,clean,naive,7.70652,73.15,10.5352,80.3167,1,69,69
0,1,dropSWIR,mondrian,7.68986,63.5609,12.0984,76.9547,1,69,69
0,1,dropSWIR,naive,9.1221,68.8413,13.2509,76.9547,1,69,69
0,1,L2A_real,mondrian,8.31703,76.9822,10.8038,81.2627,1,69,69
0,1,L2A_real,naive,9.21123,79.708,11.5562,81.2627,1,69,69
0,2,clean,mondrian,7.66123,72.1127,10.624,79.1047,1,69,69
0,2,clean,naive,7.66123,72.1127,10.624,79.1047,1,69,69
0,2,dropSWIR,mondrian,7.78768,58.2815,13.3622,74.38,1,69,69
0,2,dropSWIR,naive,11.6511,71.1428,16.3771,74.38,1,69,69
0,2,L2A_real,mondrian,7.65833,73.0986,10.4767,79.96,1,69,69
0,2,L2A_real,naive,9.1337,77.5127,11.7835,79.96,1,69,69
0,3,clean,mondrian,7.85109,75.3297,10.4223,81.1907,1,69,69
0,3,clean,naive,7.85109,75.3297,10.4223,81.1907,1,69,69
0,3,dropSWIR,mondrian,7.86775,64.3145,12.2333,77.048,1,69,69
0,3,dropSWIR,naive,10.4069,73.4576,14.1672,77.048,1,69,69
0,3,L2A_real,mondrian,8.00399,75.3627,10.6206,81.0653,1,69,69
0,3,L2A_real,naive,9.67862,80.4841,12.0255,81.0653,1,69,69
0,4,clean,mondrian,7.67645,74.513,10.3022,81.1253,1,69,69
0,4,clean,naive,7.67645,74.513,10.3022,81.1253,1,69,69
0,4,dropSWIR,mondrian,7.71268,60.7438,12.6971,76.8013,1,69,69
0,4,dropSWIR,naive,10.5449,71.5888,14.7299,76.8013,1,69,69
0,4,L2A_real,mondrian,7.89964,75.0866,10.5207,80.9207,1,69,69
0,4,L2A_real,naive,9.45254,79.6797,11.8632,80.9207,1,69,69
0,5,clean,mondrian,7.73514,73.7442,10.4892,80.4953,1,69,69
0,5,clean,naive,7.73514,73.7442,10.4892,80.4953,1,69,69
0,5,dropSWIR,mondrian,7.99312,54.8924,14.5614,72.368,1,69,69
0,5,dropSWIR,naive,11.3783,66.433,17.1274,72.368,1,69,69
0,5,L2A_real,mondrian,7.95833,75.0402,10.6054,80.7647,1,69,69
0,5,L2A_real,naive,9.01739,78.2254,11.5275,80.7647,1,69,69
0,6,clean,mondrian,8.2942,75.9786,10.9165,80.8547,1,69,69
0,6,clean,naive,8.2942,75.9786,10.9165,80.8547,1,69,69
0,6,dropSWIR,mondrian,8.30507,63.2475,13.1311,76.3867,1,69,69
0,6,dropSWIR,naive,10.7598,72.1268,14.9179,76.3867,1,69,69
0,6,L2A_real,mondrian,8.10072,75.8127,10.6852,81.1947,1,69,69
0,6,L2A_real,naive,9.46486,80.1322,11.8115,81.1947,1,69,69
0,7,clean,mondrian,8.49783,75.7449,11.219,80.1933,1,69,69
0,7,clean,naive,8.49783,75.7449,11.219,80.1933,1,69,69
0,7,dropSWIR,mondrian,8.43333,62.6757,13.4555,75.6753,1,69,69
0,7,dropSWIR,naive,12.2678,75.2558,16.3014,75.6753,1,69,69
0,7,L2A_real,mondrian,8.15435,75.2192,10.8408,80.498,1,69,69
0,7,L2A_real,naive,10.2591,81.2848,12.6211,80.498,1,69,69
0,8,clean,mondrian,7.75507,72.4268,10.7075,79.9067,1,69,69
0,8,clean,naive,7.75507,72.4268,10.7075,79.9067,1,69,69
0,8,dropSWIR,mondrian,8.42319,60.3033,13.968,75.0633,1,69,69
0,8,dropSWIR,naive,9.95471,65.5953,15.176,75.0633,1,69,69
0,8,L2A_real,mondrian,7.6,74.9043,10.1463,80.94,1,69,69
0,8,L2A_real,naive,8.70326,78.2583,11.1212,80.94,1,69,69
0,9,clean,mondrian,9.49891,68.0098,13.967,75.6793,1,69,69
0,9,clean,naive,9.49891,68.0098,13.967,75.6793,1,69,69
0,9,dropSWIR,mondrian,7.74601,55.4083,13.9799,73.312,1,69,69
0,9,dropSWIR,naive,10.837,66.2685,16.3531,73.312,1,69,69
0,9,L2A_real,mondrian,8.94964,72.6953,12.3112,78.6653,1,69,69
0,9,L2A_real,naive,10.0308,75.8601,13.2227,78.6653,1,69,69
1,0,clean,mondrian,7.54203,75.6612,9.96816,81.3887,1,69,69
1,0,clean,naive,7.54203,75.6612,9.96816,81.3887,1,69,69
1,0,dropSWIR,mondrian,5.25,55.2087,9.50937,75.7845,1,69,69
1,0,dropSWIR,naive,9.75906,70.5257,13.8376,75.7845,1,69,69
1,0,L2A_real,mondrian,7.56014,76.592,9.87067,81.5732,1,69,69
1,0,L2A_real,naive,8.5442,79.5859,10.7358,81.5732,1,69,69
1,1,clean,mondrian,7.79457,72.683,10.7241,79.812,1,69,69
1,1,clean,naive,7.79457,72.683,10.7241,79.812,1,69,69
1,1,dropSWIR,mondrian,5.56051,57.3275,9.69954,76.1232,1,69,69
1,1,dropSWIR,naive,8.43297,67.7703,12.4435,76.1232,1,69,69
1,1,L2A_real,mondrian,7.93043,76.2859,10.3957,81.1507,1,69,69
1,1,L2A_real,naive,8.64891,78.5351,11.0128,81.1507,1,69,69
1,2,clean,mondrian,8.15471,74.9721,10.877,79.9549,1,69,69
1,2,clean,naive,8.15471,74.9721,10.877,79.9549,1,69,69
1,2,dropSWIR,mondrian,6.32138,55.5529,11.379,74.4232,1,69,69
1,2,dropSWIR,naive,11.6707,72.5467,16.0871,74.4232,1,69,69
1,2,L2A_real,mondrian,8.25181,76.6848,10.7607,80.4282,1,69,69
1,2,L2A_real,naive,9.05725,78.9913,11.4661,80.4282,1,69,69
1,3,clean,mondrian,7.41812,75.0627,9.88256,81.2739,1,69,69
1,3,clean,naive,7.41812,75.0627,9.88256,81.2739,1,69,69
1,3,dropSWIR,mondrian,5.25217,57.4435,9.1432,77.3754,1,69,69
1,3,dropSWIR,naive,8.85543,71.429,12.3975,77.3754,1,69,69
1,3,L2A_real,mondrian,7.61667,75.4638,10.0931,81.3838,1,69,69
1,3,L2A_real,naive,8.96341,79.6906,11.2478,81.3838,1,69,69
1,4,clean,mondrian,7.67138,76.0935,10.0815,81.319,1,69,69
1,4,clean,naive,7.67138,76.0935,10.0815,81.319,1,69,69
1,4,dropSWIR,mondrian,5.49855,55.0362,9.99078,76.7,1,69,69
1,4,dropSWIR,naive,9.87428,71.5464,13.8012,76.7,1,69,69
1,4,L2A_real,mondrian,8.10326,76.9819,10.5262,81.2106,1,69,69
1,4,L2A_real,naive,9.37645,80.7283,11.6148,81.2106,1,69,69
1,5,clean,mondrian,7.12391,73.2123,9.73048,80.6852,1,69,69
1,5,clean,naive,7.12391,73.2123,9.73048,80.6852,1,69,69
1,5,dropSWIR,mondrian,5.51087,51.196,10.7643,73.3465,1,69,69
1,5,dropSWIR,naive,10.3583,67.2268,15.408,73.3465,1,69,69
1,5,L2A_real,mondrian,7.58116,75.6058,10.0272,81.1042,1,69,69
1,5,L2A_real,naive,8.26522,77.5996,10.6511,81.1042,1,69,69
1,6,clean,mondrian,7.39746,74.8522,9.88276,81.2739,1,69,69
1,6,clean,naive,7.39746,74.8522,9.88276,81.2739,1,69,69
1,6,dropSWIR,mondrian,5.88696,58.7036,10.0283,76.5859,1,69,69
1,6,dropSWIR,naive,9.37862,71.0138,13.2068,76.5859,1,69,69
1,6,L2A_real,mondrian,7.64094,75.9754,10.0571,81.4894,1,69,69
1,6,L2A_real,naive,8.52065,78.7967,10.8135,81.4894,1,69,69
1,7,clean,mondrian,7.66268,75.3399,10.1708,80.588,1,69,69
1,7,clean,naive,7.66268,75.3399,10.1708,80.588,1,69,69
1,7,dropSWIR,mondrian,6.22029,57.8703,10.7487,75.7465,1,69,69
1,7,dropSWIR,naive,11.2022,73.8373,15.1714,75.7465,1,69,69
1,7,L2A_real,mondrian,8,76.4522,10.4641,81.0155,1,69,69
1,7,L2A_real,naive,9.47826,80.721,11.742,81.0155,1,69,69
1,8,clean,mondrian,7.73949,73.2083,10.5719,80.2169,1,69,69
1,8,clean,naive,7.73949,73.2083,10.5719,80.2169,1,69,69
1,8,dropSWIR,mondrian,6.95036,58.8844,11.8034,74.8662,1,69,69
1,8,dropSWIR,naive,9.04746,66.0156,13.705,74.8662,1,69,69
1,8,L2A_real,mondrian,7.84348,76.5109,10.2515,81.2007,1,69,69
1,8,L2A_real,naive,8.30036,77.9627,10.6466,81.2007,1,69,69
1,9,clean,mondrian,7.66775,66.1572,11.5902,77.4972,1,69,69
1,9,clean,naive,7.66775,66.1572,11.5902,77.4972,1,69,69
1,9,dropSWIR,mondrian,6.15761,52.1435,11.809,73.1197,1,69,69
1,9,dropSWIR,naive,9.57935,64.1873,14.9241,73.1197,1,69,69
1,9,L2A_real,mondrian,7.37935,71.1591,10.3702,79.8824,1,69,69
1,9,L2A_real,naive,7.90616,73.0043,10.8297,79.8824,1,69,69
2,0,clean,mondrian,8.92246,78.0449,11.4325,80.855,1,69,69
2,0,clean,naive,8.92246,78.0449,11.4325,80.855,1,69,69
2,0,dropSWIR,mondrian,8.75833,64.0801,13.6678,75.7964,1,69,69
2,0,dropSWIR,naive,12.0072,74.3199,16.1562,75.7964,1,69,69
2,0,L2A_real,mondrian,8.52826,77.013,11.0738,80.16,1,69,69
2,0,L2A_real,naive,10.0507,81.029,12.4039,80.16,1,69,69
2,1,clean,mondrian,8.7029,75.742,11.4902,79.9557,1,69,69
2,1,clean,naive,8.7029,75.742,11.4902,79.9557,1,69,69
2,1,dropSWIR,mondrian,8.37862,64.4558,12.999,76.1214,1,69,69
2,1,dropSWIR,naive,10.8989,72.5536,15.0219,76.1214,1,69,69
2,1,L2A_real,mondrian,9.1308,78.0399,11.7002,80.2143,1,69,69
2,1,L2A_real,naive,10.2141,80.933,12.6205,80.2143,1,69,69
2,2,clean,mondrian,8.94601,74.538,12.0019,78.755,1,69,69
2,2,clean,naive,8.94601,74.538,12.0019,78.755,1,69,69
2,2,dropSWIR,mondrian,9.13333,62.192,14.6857,73.995,1,69,69
2,2,dropSWIR,naive,13.2431,74.3707,17.8069,73.995,1,69,69
2,2,L2A_real,mondrian,9.21449,75.5591,12.1951,78.8443,1,69,69
2,2,L2A_real,naive,10.3275,78.4591,13.163,78.8443,1,69,69
2,3,clean,mondrian,8.79674,77.2293,11.3904,80.6186,1,69,69
2,3,clean,naive,8.79674,77.2293,11.3904,80.6186,1,69,69
2,3,dropSWIR,mondrian,8.72899,66.5062,13.1251,76.815,1,69,69
2,3,dropSWIR,naive,11.2996,75.1725,15.0316,76.815,1,69,69
2,3,L2A_real,mondrian,9.0587,76.7848,11.7975,80.0571,1,69,69
2,3,L2A_real,naive,10.8141,81.6203,13.2493,80.0571,1,69,69
2,4,clean,mondrian,8.75109,77.1141,11.3482,80.57,1,69,69
