granule,split,n_px,median_ndvi,cloud_pct,water_pct,neg_ndvi_pct,inside_region_pct,ndvi_rejected_pct,ndvi_oor_pct,sgmae_perpixel,sgmae_perpixel_std,pca_perpixel,sgmae_partial_brightness,sgmae_perband_raw,sgmae_perband_std,pca_perband_raw,pca_perband_std,perband_600_1300
NAmerica_arid,spatial,40000,0.005,53.2,0.0,43.2,100.0,0.00,0.00,0.271,0.069,0.216,0.384,0.341,0.464,0.270,0.349,0.226
India_crop,spatial,40000,0.024,27.2,0.0,0.0,100.0,0.00,0.00,0.461,0.228,0.508,0.402,0.058,0.300,0.119,0.448,0.215
congo,spatial,40000,0.067,21.1,0.0,1.0,11.1,0.00,0.00,0.413,0.210,0.395,0.139,0.564,0.535,0.683,0.660,0.334
arabian,spatial,40000,0.079,0.0,0.0,0.0,46.5,0.00,0.00,0.030,0.086,0.041,-0.031,0.690,0.894,0.591,0.864,0.411
sahara,spatial,40000,0.090,0.0,0.0,0.0,100.0,0.00,0.00,0.053,0.119,0.171,-0.007,0.453,0.777,0.422,0.795,0.279
us_midwest,spatial,40000,0.261,0.0,0.1,0.2,100.0,0.00,0.00,-0.187,0.202,0.206,0.108,0.073,0.639,0.487,0.876,0.024
e_africa_sav,spatial,40000,0.263,0.0,0.0,1.1,28.6,0.00,0.00,-0.059,0.227,0.019,-0.221,0.550,0.766,0.384,0.722,0.492
sahel,spatial,40000,0.269,0.0,0.0,0.6,28.4,0.00,0.00,-0.177,0.140,-0.178,-0.035,0.271,0.705,0.170,0.651,0.452
australia_mulga,spatial,40000,0.338,0.0,0.0,0.0,11.0,0.00,0.00,-0.184,0.223,0.031,-0.286,0.370,0.793,0.242,0.716,0.233
Africa_veg,spatial,40000,0.569,6.6,10.0,0.1,100.0,0.00,0.00,-0.523,0.085,-0.358,-0.527,0.318,0.419,0.499,0.561,0.309
cerrado_br,spatial,40000,0.575,0.0,0.0,0.0,42.4,0.00,0.00,0.552,0.102,0.580,0.139,0.262,0.481,0.266,0.459,0.349
pampas_ar,spatial,4624,0.640,0.0,0.1,0.0,0.3,0.00,0.00,0.118,0.045,0.340,0.349,-0.119,0.371,0.170,0.586,-0.045
amazon,spatial,40000,0.884,0.0,0.1,0.0,37.0,0.00,0.00,0.097,0.165,0.067,-0.095,-0.261,0.640,0.204,0.759,-0.178
borneo,spatial,40000,0.895,11.4,12.7,0.2,100.0,0.03,0.66,-0.277,0.025,-0.246,-0.423,0.220,0.385,0.528,0.726,0.283
