wavelength_nm,India_crop_unc,Africa_veg_unc,NAmerica_arid_unc,amazon_unc,arabian_unc,australia_mulga_unc,borneo_unc,cerrado_br_unc,congo_unc,e_africa_sav_unc,pampas_ar_unc,sahara_unc,sahel_unc,us_midwest_unc,India_crop_reconerr,Africa_veg_reconerr,NAmerica_arid_reconerr,amazon_reconerr,arabian_reconerr,australia_mulga_reconerr,borneo_reconerr,cerrado_br_reconerr,congo_reconerr,e_africa_sav_reconerr,pampas_ar_reconerr,sahara_reconerr,sahel_reconerr,us_midwest_reconerr
381.0,0.01790,0.00724,0.02320,0.00489,0.02631,0.02290,0.00622,0.00948,0.01610,0.01334,0.00731,0.02231,0.02008,0.02926,0.01127,0.00542,0.01234,0.00035,0.00183,0.00316,0.00356,0.00190,0.00417,0.00237,0.00210,0.00297,0.00244,0.00400
388.4,0.01665,0.00646,0.02146,0.00426,0.02395,0.02086,0.00540,0.00851,0.01481,0.01222,0.00641,0.02032,0.01826,0.02651,0.00898,0.00468,0.01125,0.00032,0.00142,0.00245,0.00333,0.00142,0.00377,0.00190,0.00193,0.00208,0.00199,0.00287
395.8,0.01558,0.00581,0.01997,0.00373,0.02199,0.01916,0.00471,0.00768,0.01371,0.01128,0.00566,0.01867,0.01674,0.02423,0.00716,0.00446,0.00996,0.00031,0.00123,0.00199,0.00318,0.00102,0.00338,0.00150,0.00178,0.00179,0.00216,0.00245
403.2,0.01458,0.00530,0.01862,0.00335,0.02026,0.01767,0.00422,0.00702,0.01275,0.01044,0.00510,0.01723,0.01542,0.02226,0.00816,0.00524,0.00797,0.00029,0.00113,0.00194,0.00297,0.00109,0.00296,0.00146,0.00133,0.00159,0.00162,0.00217
410.6,0.01370,0.00494,0.01740,0.00313,0.01870,0.01636,0.00392,0.00652,0.01189,0.00970,0.00473,0.01593,0.01427,0.02052,0.00737,0.00473,0.00743,0.00028,0.00099,0.00165,0.00270,0.00085,0.00312,0.00132,0.00121,0.00128,0.00150,0.00180
418.1,0.01291,0.00466,0.01632,0.00298,0.01736,0.01521,0.00368,0.00610,0.01115,0.00905,0.00443,0.01480,0.01326,0.01899,0.00634,0.00485,0.00737,0.00028,0.00092,0.00148,0.00257,0.00080,0.00310,0.00126,0.00113,0.00114,0.00136,0.00164
425.5,0.01219,0.00442,0.01533,0.00287,0.01615,0.01419,0.00347,0.00575,0.01048,0.00847,0.00417,0.01378,0.01236,0.01764,0.00604,0.00487,0.00724,0.00029,0.00084,0.00139,0.00220,0.00077,0.00234,0.00116,0.00119,0.00105,0.00123,0.00148
432.9,0.01156,0.00423,0.01443,0.00280,0.01507,0.01327,0.00328,0.00544,0.00988,0.00794,0.00394,0.01285,0.01154,0.01643,0.00550,0.00428,0.00733,0.00030,0.00080,0.00126,0.00215,0.00063,0.00232,0.00114,0.00102,0.00099,0.00135,0.00145
440.3,0.01099,0.00411,0.01366,0.00279,0.01416,0.01249,0.00315,0.00521,0.00938,0.00749,0.00378,0.01207,0.01087,0.01540,0.00499,0.00453,0.00717,0.00031,0.00073,0.00108,0.00198,0.00062,0.00191,0.00103,0.00103,0.00087,0.00112,0.00125
447.7,0.01050,0.00408,0.01297,0.00288,0.01335,0.01182,0.00315,0.00508,0.00896,0.00710,0.00374,0.01138,0.01028,0.01450,0.00435,0.00409,0.00727,0.00031,0.00067,0.00098,0.00169,0.00059,0.00171,0.00095,0.00103,0.00076,0.00104,0.00114
455.2,0.01003,0.00410,0.01231,0.00302,0.01256,0.01118,0.00323,0.00500,0.00856,0.00672,0.00378,0.01072,0.00971,0.01364,0.00425,0.00383,0.00708,0.00033,0.00062,0.00087,0.00171,0.00054,0.00174,0.00091,0.00104,0.00070,0.00096,0.00106
462.6,0.00967,0.00413,0.01179,0.00317,0.01196,0.01068,0.00333,0.00496,0.00825,0.00643,0.00385,0.01020,0.00928,0.01298,0.00385,0.00374,0.00658,0.00035,0.00062,0.00078,0.00185,0.00053,0.00158,0.00085,0.00102,0.00062,0.00094,0.00104
470.0,0.00930,0.00418,0.01128,0.00331,0.01142,0.01022,0.00344,0.00494,0.00796,0.00616,0.00394,0.00973,0.00889,0.01237,0.00501,0.00366,0.00541,0.00035,0.00058,0.00072,0.00212,0.00077,0.00123,0.00087,0.00127,0.00057,0.00106,0.00099
477.5,0.00896,0.00423,0.01080,0.00346,0.01092,0.00980,0.00356,0.00492,0.00768,0.00590,0.00403,0.00929,0.00853,0.01183,0.00461,0.00375,0.00476,0.00042,0.00054,0.00072,0.00183,0.00095,0.00191,0.00090,0.00131,0.00075,0.00101,0.00187
484.9,0.00897,0.00771,0.01045,0.00786,0.01047,0.01018,0.00650,0.00764,0.00838,0.00580,0.00700,0.00890,0.00857,0.01138,0.00384,0.00311,0.00448,0.00053,0.00058,0.00078,0.00157,0.00101,0.00184,0.00088,0.00140,0.00081,0.00104,0.00172
492.3,0.00867,0.00738,0.01006,0.00753,0.01002,0.00976,0.00623,0.00733,0.00806,0.00557,0.00671,0.00852,0.00821,0.01088,0.00379,0.00305,0.00449,0.00052,0.00060,0.00079,0.00157,0.00105,0.00171,0.00094,0.00137,0.00086,0.00110,0.00175
499.8,0.00847,0.00719,0.00980,0.00735,0.00977,0.00947,0.00608,0.00714,0.00785,0.00542,0.00653,0.00827,0.00803,0.01056,0.00440,0.00365,0.00341,0.00055,0.00063,0.00072,0.00146,0.00102,0.00160,0.00099,0.00117,0.00090,0.00115,0.00177
507.2,0.00834,0.00709,0.00965,0.00728,0.00965,0.00930,0.00600,0.00704,0.00773,0.00534,0.00642,0.00812,0.00795,0.01035,0.00447,0.00366,0.00364,0.00054,0.00061,0.00069,0.00143,0.00103,0.00164,0.00096,0.00113,0.00090,0.00100,0.00156
514.7,0.00809,0.00675,0.00930,0.00689,0.00919,0.00894,0.00570,0.00673,0.00742,0.00513,0.00615,0.00778,0.00754,0.00996,0.00394,0.00345,0.00395,0.00048,0.00065,0.00069,0.00135,0.00100,0.00171,0.00087,0.00120,0.00091,0.00102,0.00162
522.1,0.00791,0.00654,0.00906,0.00668,0.00892,0.00870,0.00552,0.00654,0.00722,0.00499,0.00596,0.00755,0.00731,0.00969,0.00397,0.00327,0.00387,0.00041,0.00064,0.00073,0.00127,0.00101,0.00139,0.00091,0.00125,0.00096,0.00111,0.00161
529.5,0.00781,0.00641,0.00892,0.00656,0.00877,0.00855,0.00541,0.00643,0.00709,0.00491,0.00585,0.00740,0.00719,0.00954,0.00407,0.00310,0.00396,0.00041,0.00066,0.00082,0.00148,0.00103,0.00132,0.00099,0.00141,0.00103,0.00124,0.00146
537.0,0.00773,0.00632,0.00881,0.00647,0.00866,0.00843,0.00533,0.00635,0.00700,0.00484,0.00577,0.00728,0.00710,0.00940,0.00394,0.00323,0.00389,0.00048,0.00069,0.00080,0.00159,0.00103,0.00130,0.00101,0.00152,0.00118,0.00140,0.00146
544.4,0.00766,0.00626,0.00872,0.00643,0.00859,0.00833,0.00529,0.00630,0.00693,0.00480,0.00571,0.00719,0.00706,0.00928,0.00409,0.00290,0.00421,0.00060,0.00070,0.00079,0.00157,0.00095,0.00124,0.00105,0.00163,0.00116,0.00137,0.00148
551.9,0.00753,0.00607,0.00853,0.00623,0.00835,0.00814,0.00512,0.00614,0.00675,0.00468,0.00556,0.00700,0.00685,0.00908,0.00407,0.00252,0.00489,0.00070,0.00071,0.00076,0.00158,0.00091,0.00136,0.00111,0.00157,0.00122,0.00131,0.00142
559.3,0.00750,0.00600,0.00848,0.00616,0.00828,0.00809,0.00506,0.00609,0.00669,0.00465,0.00551,0.00694,0.00678,0.00903,0.00387,0.00259,0.00443,0.00072,0.00078,0.00073,0.00184,0.00084,0.00123,0.00123,0.00152,0.00128,0.00127,0.00150
566.8,0.00748,0.00602,0.00847,0.00621,0.00834,0.00811,0.00508,0.00612,0.00669,0.00465,0.00553,0.00694,0.00685,0.00905,0.00453,0.00273,0.00349,0.00057,0.00079,0.00077,0.00243,0.00117,0.00126,0.00132,0.00169,0.00115,0.00174,0.00135
574.2,0.00742,0.00600,0.00839,0.00622,0.00836,0.00808,0.00507,0.00610,0.00664,0.00463,0.00551,0.00691,0.00686,0.00905,0.00462,0.00323,0.00435,0.00055,0.00085,0.00105,0.00173,0.00133,0.00164,0.00132,0.00177,0.00154,0.00203,0.00190
