arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
clean,0,0,10.4231884057971,78.78502415458935,13.229910782720669,78.49109589041096,78.61835748792272
clean,0,1,7.6753623188405795,75.2623188405797,10.198147541930641,79.74858757062147,79.87826086956521
clean,0,2,8.528381642512077,76.57083333333333,11.137898428486144,79.56403269754769,79.82705314009661
clean,0,3,7.6105072463768115,74.42246376811595,10.226088819216574,79.89901129943503,79.93079710144927
clean,0,4,8.337801932367151,76.36485507246375,10.918375900085564,79.94066666666667,80.17053140096618
clean,0,5,9.005434782608695,76.5842391304348,11.758861725153459,78.99656593406593,79.25652173913043
clean,0,6,8.62644927536232,76.32137681159419,11.30279567238081,79.54735376044569,79.72137681159421
clean,0,7,7.6792874396135264,75.17234299516907,10.21557548114076,80.13919667590028,80.45869565217392
clean,0,8,8.062318840579712,75.26666666666665,10.71167250741326,80.05067567567568,80.118115942029
clean,0,9,8.041123188405797,76.18200483091788,10.555147775715097,79.8937165775401,80.00821256038647
clean,1,0,10.41231884057971,79.59130434782608,13.08223169088459,79.06301369863013,79.07379227053141
clean,1,1,7.878804347826085,75.56014492753626,10.427195918406484,79.79237288135593,79.95036231884058
clean,1,2,8.705374396135266,77.36340579710145,11.252573883531673,79.83651226158038,80.10917874396134
clean,1,3,8.072101449275362,75.59873188405797,10.677561975054216,79.94985875706215,80.02065217391305
clean,1,4,8.384782608695653,76.85301932367148,10.910153800701828,79.806,79.90169082125604
clean,1,5,8.723731884057969,76.44221014492754,11.412192122020752,79.0625,79.34094202898552
clean,1,6,8.330978260869564,76.26557971014493,10.923641166214551,79.83704735376045,80.0373188405797
clean,1,7,7.871497584541063,75.63496376811594,10.407220672007922,80.25969529085873,80.5272342995169
clean,1,8,8.428985507246377,76.66413043478262,10.994692641060903,80.12432432432432,80.23007246376814
clean,1,9,7.919987922705314,76.16135265700483,10.398959112994278,80.0100267379679,80.03448067632849
clean,2,0,10.519082125603866,78.9159420289855,13.329476725678887,78.80479452054794,78.84987922705315
clean,2,1,7.756884057971016,74.74003623188406,10.378485814356527,79.71186440677967,79.85525362318843
clean,2,2,8.58985507246377,76.88369565217393,11.172531444540267,79.70095367847412,79.97373188405797
clean,2,3,8.440579710144927,75.60851449275361,11.163530677426388,79.82697740112994,79.85960144927537
clean,2,4,8.719323671497586,77.1138888888889,11.307072950322866,79.77533333333334,79.89335748792273
clean,2,5,9.183876811594203,77.29076086956522,11.882244020204151,79.31043956043956,79.60634057971015
clean,2,6,8.84909420289855,76.66811594202898,11.5420785996484,79.55013927576601,79.74692028985507
clean,2,7,8.192995169082124,75.64764492753622,10.830469576323615,79.83725761772853,80.06660628019324
clean,2,8,7.495289855072464,74.01557971014495,10.126638046239773,80.34054054054054,80.45833333333333
clean,2,9,8.315398550724638,76.20410628019322,10.912008494857126,79.81550802139037,79.9132850241546
clean,3,0,10.06557971014493,77.71545893719806,12.95183718631699,78.73150684931507,78.83381642512076
clean,3,1,7.467934782608694,74.53278985507245,10.019663556308501,80.30861581920904,80.43858695652173
clean,3,2,7.946135265700482,75.78351449275362,10.485308472280323,79.9707084468665,80.20561594202898
clean,3,3,7.995108695652174,75.72409420289856,10.558209747916852,80.3340395480226,80.36213768115941
clean,3,4,8.792270531400966,77.71231884057971,11.313869747520428,79.97533333333334,80.14794685990337
clean,3,5,9.233333333333334,77.49637681159419,11.91453550890645,79.02197802197803,79.2411231884058
clean,3,6,8.614855072463769,76.71159420289854,11.230186469176855,79.88091922005572,80.03315217391305
clean,3,7,7.788586956521741,75.49378019323672,10.316859132746806,80.27770083102493,80.56781400966183
clean,3,8,7.937318840579708,75.15797101449274,10.560847683140823,80.0581081081081,80.10036231884058
clean,3,9,7.759057971014494,76.07699275362319,10.19895462501042,80.31082887700535,80.4012077294686
clean,4,0,10.217995169082126,78.412922705314,13.031009196638015,78.83493150684932,78.92572463768116
clean,4,1,7.627355072463768,75.21050724637682,10.141342415731689,79.79025423728814,79.92047101449276
clean,4,2,8.562801932367151,75.16600241545895,11.391854904081065,79.36307901907357,79.61986714975843
clean,4,3,7.690942028985509,73.66123188405797,10.440963085020046,80.1906779661017,80.2034420289855
clean,4,4,8.016062801932367,75.30857487922704,10.644289597549538,79.67866666666666,79.81956521739131
clean,4,5,9.09855072463768,75.64891304347826,12.027338343127816,78.89903846153847,79.19003623188405
