arm,kernel,width,receptive_field,params,state,model_seed,split_seed,joint,coverage
k1,1,32,1,3876,clean,0,0,9.14576923076923,68.19166666666666
k1,1,32,1,3876,clean,0,1,8.472179487179485,68.00615384615384
k1,1,32,1,3876,clean,0,2,7.12807692307692,65.32384615384615
k1,1,32,1,3876,clean,0,3,9.1074358974359,70.39474358974361
k1,1,32,1,3876,clean,0,4,7.592051282051281,62.714358974358966
k1,1,32,1,3876,clean,0,5,7.337499999999999,62.94608974358976
k1,1,32,1,3876,clean,0,6,8.66576923076923,66.47294871794874
k1,1,32,1,3876,clean,0,7,5.750897435897436,62.422179487179484
k1,1,32,1,3876,clean,0,8,9.027179487179488,67.69884615384613
k1,1,32,1,3876,clean,0,9,9.965384615384616,67.67653846153847
k1,1,32,1,3876,clean,1,0,9.45525641025641,66.8053846153846
k1,1,32,1,3876,clean,1,1,8.527820512820512,67.36230769230772
k1,1,32,1,3876,clean,1,2,7.5533333333333355,66.96282051282047
k1,1,32,1,3876,clean,1,3,9.268846153846157,68.73897435897437
k1,1,32,1,3876,clean,1,4,7.541794871794874,61.67551282051282
k1,1,32,1,3876,clean,1,5,7.7767307692307694,64.27115384615384
k1,1,32,1,3876,clean,1,6,9.356666666666666,69.62192307692307
k1,1,32,1,3876,clean,1,7,4.956153846153845,59.88897435897436
k1,1,32,1,3876,clean,1,8,8.190897435897437,68.49230769230769
k1,1,32,1,3876,clean,1,9,10.475512820512819,69.33461538461538
k1,1,32,1,3876,clean,2,0,9.290769230769229,64.47141025641028
k1,1,32,1,3876,clean,2,1,9.827307692307688,68.31692307692308
k1,1,32,1,3876,clean,2,2,6.597820512820514,62.216153846153844
k1,1,32,1,3876,clean,2,3,10.212307692307695,70.22346153846158
k1,1,32,1,3876,clean,2,4,9.587435897435894,65.45679487179486
k1,1,32,1,3876,clean,2,5,6.23179487179487,57.81307692307694
k1,1,32,1,3876,clean,2,6,9.728589743589742,67.23384615384613
k1,1,32,1,3876,clean,2,7,5.312435897435895,57.53307692307694
k1,1,32,1,3876,clean,2,8,7.434230769230769,63.012051282051296
k1,1,32,1,3876,clean,2,9,9.550384615384617,67.40153846153848
k1,1,32,1,3876,clean,3,0,9.591923076923074,66.8148717948718
k1,1,32,1,3876,clean,3,1,6.935641025641025,62.18384615384613
k1,1,32,1,3876,clean,3,2,5.201282051282051,61.02858974358975
k1,1,32,1,3876,clean,3,3,9.66910256410256,68.94769230769231
k1,1,32,1,3876,clean,3,4,9.111153846153847,64.68999999999996
k1,1,32,1,3876,clean,3,5,7.192435897435895,61.47410256410255
k1,1,32,1,3876,clean,3,6,7.69128205128205,64.68846153846152
k1,1,32,1,3876,clean,3,7,7.0530769230769215,62.727692307692294
k1,1,32,1,3876,clean,3,8,8.301153846153845,67.16935897435899
k1,1,32,1,3876,clean,3,9,9.747820512820514,65.35397435897436
k1,1,32,1,3876,clean,4,0,9.488461538461532,67.61076923076925
k1,1,32,1,3876,clean,4,1,7.9815384615384595,65.66948717948722
k1,1,32,1,3876,clean,4,2,6.281282051282052,63.21410256410256
k1,1,32,1,3876,clean,4,3,8.763076923076921,68.52884615384615
k1,1,32,1,3876,clean,4,4,7.672051282051284,61.56897435897437
k1,1,32,1,3876,clean,4,5,6.895256410256409,62.31147435897433
k1,1,32,1,3876,clean,4,6,8.802435897435899,67.61628205128206
k1,1,32,1,3876,clean,4,7,6.2487179487179505,63.498589743589726
k1,1,32,1,3876,clean,4,8,7.576666666666668,66.37538461538462
k1,1,32,1,3876,clean,4,9,9.03551282051282,66.52
k1,1,32,1,3876,L2A_src,0,0,22.570512820512818,88.88051282051282
k1,1,32,1,3876,L2A_src,0,1,19.99269230769231,87.3524358974359
k1,1,32,1,3876,L2A_src,0,2,18.51743589743589,86.6302564102564
k1,1,32,1,3876,L2A_src,0,3,20.6098717948718,89.4370512820513
k1,1,32,1,3876,L2A_src,0,4,19.78525641025641,86.48423076923078
k1,1,32,1,3876,L2A_src,0,5,18.428974358974358,86.39314102564101
k1,1,32,1,3876,L2A_src,0,6,19.602948717948713,88.48974358974358
k1,1,32,1,3876,L2A_src,0,7,21.2276923076923,89.50064102564104
k1,1,32,1,3876,L2A_src,0,8,20.675128205128203,89.25333333333333
k1,1,32,1,3876,L2A_src,0,9,23.820512820512814,88.25512820512819
k1,1,32,1,3876,L2A_src,1,0,21.191410256410254,82.94589743589744
k1,1,32,1,3876,L2A_src,1,1,18.866153846153846,83.5557692307692
k1,1,32,1,3876,L2A_src,1,2,17.187307692307698,82.29384615384616
k1,1,32,1,3876,L2A_src,1,3,20.467692307692307,87.60910256410259
k1,1,32,1,3876,L2A_src,1,4,18.72961538461539,81.90512820512824
k1,1,32,1,3876,L2A_src,1,5,17.776602564102564,82.33000000000001
k1,1,32,1,3876,L2A_src,1,6,19.54025641025641,86.1228205128205
k1,1,32,1,3876,L2A_src,1,7,19.257948717948718,83.84166666666665
k1,1,32,1,3876,L2A_src,1,8,19.28461538461539,86.25897435897436
k1,1,32,1,3876,L2A_src,1,9,24.141410256410257,85.78217948717946
k1,1,32,1,3876,L2A_src,2,0,20.87243589743589,84.61153846153847
k1,1,32,1,3876,L2A_src,2,1,21.149102564102567,88.2341025641026
k1,1,32,1,3876,L2A_src,2,2,16.10384615384616,83.92243589743589
k1,1,32,1,3876,L2A_src,2,3,21.798076923076927,90.06371794871795
k1,1,32,1,3876,L2A_src,2,4,20.300641025641028,85.22794871794872
k1,1,32,1,3876,L2A_src,2,5,15.559294871794869,80.86115384615387
k1,1,32,1,3876,L2A_src,2,6,19.55230769230769,87.54756410256414
k1,1,32,1,3876,L2A_src,2,7,17.410641025641024,82.36500000000001
k1,1,32,1,3876,L2A_src,2,8,17.929230769230777,85.51987179487179
k1,1,32,1,3876,L2A_src,2,9,24.622435897435896,87.50089743589743
k1,1,32,1,3876,L2A_src,3,0,24.584743589743585,89.13269230769231
k1,1,32,1,3876,L2A_src,3,1,21.198974358974358,87.89987179487177
k1,1,32,1,3876,L2A_src,3,2,18.45756410256411,85.75269230769231
k1,1,32,1,3876,L2A_src,3,3,23.361923076923073,91.33192307692309
k1,1,32,1,3876,L2A_src,3,4,22.983974358974365,89.91153846153843
k1,1,32,1,3876,L2A_src,3,5,21.151730769230763,90.33935897435897
k1,1,32,1,3876,L2A_src,3,6,20.43948717948718,88.06653846153844
k1,1,32,1,3876,L2A_src,3,7,23.239615384615377,89.56115384615387
k1,1,32,1,3876,L2A_src,3,8,22.04474358974359,90.37474358974357
k1,1,32,1,3876,L2A_src,3,9,26.83602564102563,91.16910256410259
k1,1,32,1,3876,L2A_src,4,0,20.939743589743586,82.61089743589743
k1,1,32,1,3876,L2A_src,4,1,18.980256410256406,83.73589743589743
k1,1,32,1,3876,L2A_src,4,2,16.85025641025641,82.20410256410254
k1,1,32,1,3876,L2A_src,4,3,21.484102564102574,87.19153846153847
k1,1,32,1,3876,L2A_src,4,4,19.87410256410257,81.58782051282051
k1,1,32,1,3876,L2A_src,4,5,17.663717948717956,82.23653846153847
k1,1,32,1,3876,L2A_src,4,6,19.255128205128205,85.0694871794872
k1,1,32,1,3876,L2A_src,4,7,20.367435897435897,84.08217948717953
k1,1,32,1,3876,L2A_src,4,8,19.970384615384614,86.2269230769231
k1,1,32,1,3876,L2A_src,4,9,23.26833333333333,84.46384615384616
k1,1,32,1,3876,L2A_prod,0,0,9.10320512820513,68.76102564102565
k1,1,32,1,3876,L2A_prod,0,1,8.420128205128211,69.64371794871792
k1,1,32,1,3876,L2A_prod,0,2,7.132948717948717,68.62141025641026
k1,1,32,1,3876,L2A_prod,0,3,10.069487179487174,73.57410256410255
k1,1,32,1,3876,L2A_prod,0,4,9.324230769230768,67.83923076923078
k1,1,32,1,3876,L2A_prod,0,5,7.853397435897434,66.89294871794868
k1,1,32,1,3876,L2A_prod,0,6,9.548846153846156,70.30487179487177
k1,1,32,1,3876,L2A_prod,0,7,7.063717948717946,63.53833333333332
k1,1,32,1,3876,L2A_prod,0,8,9.51525641025641,70.50461538461538
k1,1,32,1,3876,L2A_prod,0,9,10.768717948717953,70.18512820512822
k1,1,32,1,3876,L2A_prod,1,0,10.62589743589744,69.82717948717946
k1,1,32,1,3876,L2A_prod,1,1,9.130256410256408,70.84179487179489
k1,1,32,1,3876,L2A_prod,1,2,7.663974358974358,69.83820512820512
k1,1,32,1,3876,L2A_prod,1,3,12.027820512820512,74.04179487179489
k1,1,32,1,3876,L2A_prod,1,4,10.035128205128206,67.47294871794871
k1,1,32,1,3876,L2A_prod,1,5,8.59230769230769,67.99685897435899
k1,1,32,1,3876,L2A_prod,1,6,11.103846153846156,75.25102564102563
k1,1,32,1,3876,L2A_prod,1,7,8.20371794871795,67.55128205128209
k1,1,32,1,3876,L2A_prod,1,8,9.934615384615384,73.38807692307692
k1,1,32,1,3876,L2A_prod,1,9,12.89641025641025,72.45833333333334
k1,1,32,1,3876,L2A_prod,2,0,8.648974358974359,64.3475641025641
k1,1,32,1,3876,L2A_prod,2,1,9.460512820512823,68.40358974358972
k1,1,32,1,3876,L2A_prod,2,2,6.3071794871794875,63.98256410256412
k1,1,32,1,3876,L2A_prod,2,3,11.206666666666667,71.27153846153847
k1,1,32,1,3876,L2A_prod,2,4,10.614487179487178,66.23435897435897
k1,1,32,1,3876,L2A_prod,2,5,7.056538461538462,59.734807692307676
k1,1,32,1,3876,L2A_prod,2,6,9.680128205128206,69.17115384615384
k1,1,32,1,3876,L2A_prod,2,7,6.28179487179487,59.16987179487179
k1,1,32,1,3876,L2A_prod,2,8,7.96782051282051,64.86576923076922
k1,1,32,1,3876,L2A_prod,2,9,10.043846153846152,67.04487179487177
k1,1,32,1,3876,L2A_prod,3,0,10.024615384615384,69.11666666666669
k1,1,32,1,3876,L2A_prod,3,1,7.837307692307693,67.27423076923074
k1,1,32,1,3876,L2A_prod,3,2,6.367692307692306,65.57282051282051
k1,1,32,1,3876,L2A_prod,3,3,10.78807692307692,72.97910256410255
k1,1,32,1,3876,L2A_prod,3,4,10.367179487179486,67.13076923076925
k1,1,32,1,3876,L2A_prod,3,5,7.546666666666667,65.6298717948718
k1,1,32,1,3876,L2A_prod,3,6,9.397564102564099,70.51141025641026
k1,1,32,1,3876,L2A_prod,3,7,8.338589743589743,67.08358974358973
k1,1,32,1,3876,L2A_prod,3,8,8.99269230769231,70.4734615384615
k1,1,32,1,3876,L2A_prod,3,9,10.510256410256414,68.34858974358976
k1,1,32,1,3876,L2A_prod,4,0,9.70974358974359,68.1707692307692
k1,1,32,1,3876,L2A_prod,4,1,8.469102564102563,69.08217948717947
k1,1,32,1,3876,L2A_prod,4,2,6.798717948717947,67.28730769230768
