arm,seed,split,joint
full,0,0,10.528019323671499
full,0,1,8.71286231884058
full,0,2,10.616545893719806
full,0,3,8.79782608695652
full,0,4,9.289975845410629
full,0,5,9.691123188405797
full,0,6,10.097463768115942
full,0,7,8.76195652173913
full,0,8,9.355072463768117
full,0,9,9.419082125603866
full,1,0,10.043961352657007
full,1,1,7.842210144927536
full,1,2,9.522403381642512
full,1,3,8.802173913043479
full,1,4,8.468599033816425
full,1,5,8.378260869565219
full,1,6,8.957608695652173
full,1,7,8.157910628019323
full,1,8,9.232608695652175
full,1,9,8.273550724637682
full,2,0,11.028381642512075
full,2,1,8.585869565217392
full,2,2,10.48647342995169
full,2,3,8.916666666666666
full,2,4,9.405193236714977
full,2,5,9.371557971014493
full,2,6,9.645652173913046
full,2,7,9.056521739130433
full,2,8,9.215942028985507
full,2,9,8.974154589371983
full,3,0,10.215217391304348
full,3,1,8.178804347826087
full,3,2,9.448309178743962
full,3,3,9.0375
full,3,4,9.21147342995169
full,3,5,8.985869565217392
full,3,6,9.78659420289855
full,3,7,8.608997584541063
full,3,8,8.976086956521739
full,3,9,8.856340579710146
full,4,0,11.293236714975846
full,4,1,9.215579710144928
full,4,2,11.791002415458935
full,4,3,9.278442028985507
full,4,4,9.103381642512076
full,4,5,9.531521739130437
full,4,6,10.364492753623187
full,4,7,8.917089371980676
full,4,8,10.00289855072464
full,4,9,9.821074879227051
full,5,0,11.049275362318841
full,5,1,9.845652173913045
full,5,2,12.639371980676332
full,5,3,10.04836956521739
full,5,4,9.264613526570049
full,5,5,9.833514492753622
full,5,6,10.27300724637681
full,5,7,9.672524154589373
full,5,8,10.088043478260868
full,5,9,9.360688405797102
full,6,0,10.670772946859904
full,6,1,8.904347826086958
full,6,2,10.376268115942029
full,6,3,9.318840579710143
full,6,4,9.586714975845409
full,6,5,8.897101449275363
full,6,6,9.962500000000004
full,6,7,9.2743961352657
full,6,8,9.773550724637682
full,6,9,9.519142512077297
full,7,0,10.333333333333332
full,7,1,8.90905797101449
full,7,2,10.161654589371981
full,7,3,9.182427536231886
full,7,4,9.19975845410628
full,7,5,8.772101449275361
