split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
0,0,proposed,naive,78.8196,6.80371,82.7758,1.24903,0.611916,9.53261,77.3087,12.3306,1,73,121,63,23,46000
0,0,proposed,mondrian,78.8196,6.80371,82.7758,1.27668,0.74552,4.37391,62.937,6.94967,1,24,121,63,23,46000
0,0,b2,naive,77.8913,7.10265,83.1644,1.11608,0.609836,8.89348,75.4435,11.7883,1,73,121,63,23,46000
0,0,b2,mondrian,77.8913,7.10265,83.1644,1.21754,0.720823,4.61957,61.737,7.48266,1,24,121,63,23,46000
0,1,proposed,naive,79.6261,6.46982,82.9387,1.2643,0.623355,8.05652,75.7152,10.6406,1,73,121,63,23,46000
0,1,proposed,mondrian,79.6261,6.46982,82.9387,1.31299,0.734715,4.53913,62.9761,7.2077,1,24,121,63,23,46000
0,1,b2,naive,78.637,7.27177,81.3348,1.12549,0.608432,10.2739,77.7087,13.2211,1,73,121,63,23,46000
0,1,b2,mondrian,78.637,7.27177,81.3348,1.31726,0.714288,4.60435,61.0326,7.54408,1,24,121,63,23,46000
0,2,proposed,naive,79.8065,6.48617,82.1595,1.27283,0.615925,10.1522,79.7435,12.731,1,73,121,63,23,46000
0,2,proposed,mondrian,79.8065,6.48617,82.1595,1.38332,0.738558,5.00652,63.8848,7.8368,1,24,121,63,23,46000
0,2,b2,naive,78.2217,6.89832,83.3566,1.07704,0.605593,9.3,76.4326,12.1676,1,73,121,63,23,46000
0,2,b2,mondrian,78.2217,6.89832,83.3566,1.18162,0.718441,4.79783,62.8413,7.63483,1,24,121,63,23,46000
1,0,proposed,naive,77.5521,7.30472,82.6375,1.22255,0.63009,10.1022,77.7185,12.9984,1,73,121,63,23,48000
1,0,proposed,mondrian,77.5521,7.30472,82.6375,1.22716,0.729623,6.20326,68.2685,9.08657,1,24,121,63,23,48000
1,0,b2,naive,76.6292,7.22498,84.6144,1.09044,0.627476,9.24674,76.7946,12.0409,1,73,121,63,23,48000
1,0,b2,mondrian,76.6292,7.22498,84.6144,1.1979,0.706675,5.68804,66.1685,8.5963,1,24,121,63,23,48000
1,1,proposed,naive,77.2042,7.08773,84.1901,1.24522,0.640148,9.0087,76.5946,11.7615,1,73,121,63,23,48000
1,1,proposed,mondrian,77.2042,7.08773,84.1901,1.23475,0.734781,6.13696,68.0435,9.01917,1,24,121,63,23,48000
1,1,b2,naive,76.6813,7.88902,82.6919,1.09514,0.634748,9.70652,76.013,12.7695,1,73,121,63,23,48000
1,1,b2,mondrian,76.6813,7.88902,82.6919,1.24622,0.720668,5.92935,64.9511,9.12894,1,24,121,63,23,48000
1,2,proposed,naive,77.7271,7.01745,83.5887,1.2344,0.641281,9.6337,77.2707,12.4675,1,73,121,63,23,48000
1,2,proposed,mondrian,77.7271,7.01745,83.5887,1.31857,0.744552,5.73152,65.8,8.71052,1,24,121,63,23,48000
1,2,b2,naive,77.2292,7.08749,84.4328,1.05324,0.630939,9.1,76.6522,11.8718,1,73,121,63,23,48000
1,2,b2,mondrian,77.2292,7.08749,84.4328,1.16683,0.709996,5.64783,66.3543,8.51161,1,24,121,63,23,48000
2,0,proposed,naive,81.602,5.45496,83.4934,1.2189,0.626876,9.03043,81.0152,11.1466,1,73,121,63,23,50000
2,0,proposed,mondrian,81.602,5.45496,83.4934,1.32544,0.722766,4.87754,68.9659,7.07238,1,24,121,63,23,50000
2,0,b2,naive,81.298,5.80737,82.2821,1.06973,0.626109,10.0841,82.2971,12.2532,1,73,121,63,23,50000
2,0,b2,mondrian,81.298,5.80737,82.2821,1.24355,0.699709,6.27899,69.8333,8.99139,1,24,121,63,23,50000
2,1,proposed,naive,81.312,5.57593,83.3621,1.2204,0.637366,9.14203,80.5239,11.3532,1,73,121,63,23,50000
2,1,proposed,mondrian,81.312,5.57593,83.3621,1.34708,0.709855,5.69855,70.2348,8.11357,1,24,121,63,23,50000
2,1,b2,naive,80.56,6.35231,81.3371,1.08258,0.631296,10.4935,81.1659,12.9284,1,73,121,63,23,50000
2,1,b2,mondrian,80.56,6.35231,81.3371,1.33218,0.69365,6.3587,69.0254,9.21211,1,24,121,63,23,50000
2,2,proposed,naive,81.134,5.62244,83.3533,1.24844,0.628239,9.94928,81.9029,12.1476,1,73,121,63,23,50000
2,2,proposed,mondrian,81.134,5.62244,83.3533,1.40367,0.718767,5.70797,70.1457,8.13731,1,24,121,63,23,50000
2,2,b2,naive,80.89,5.9211,82.5535,1.03157,0.628258,10.2717,82.1159,12.5088,1,73,121,63,23,50000
2,2,b2,mondrian,80.89,5.9211,82.5535,1.21761,0.690066,6.35217,70.5464,9.00425,1,24,121,63,23,50000
3,0,proposed,naive,82.375,4.92605,84.4228,1.17296,0.645014,8.17899,80.5841,10.1496,1,73,121,63,23,52000
3,0,proposed,mondrian,82.375,4.92605,84.4228,1.32951,0.74004,4.06703,67.9576,5.98466,1,24,121,63,23,52000
3,0,b2,naive,81.95,5.0615,84.6656,1.05779,0.639674,8.37935,81.192,10.3204,1,73,121,63,23,52000
3,0,b2,mondrian,81.95,5.0615,84.6656,1.24969,0.731121,4.0029,66.1783,6.04866,1,24,121,63,23,52000
3,1,proposed,naive,82.1788,5.01939,84.6149,1.19633,0.64981,8.11486,80.7163,10.0536,1,73,121,63,23,52000
3,1,proposed,mondrian,82.1788,5.01939,84.6149,1.2929,0.73899,4.93514,70.358,7.01434,1,24,121,63,23,52000
3,1,b2,naive,81.2442,5.75392,83.254,1.07264,0.642674,8.69565,79.7754,10.9002,1,73,121,63,23,52000
3,1,b2,mondrian,81.2442,5.75392,83.254,1.2988,0.726222,4.63841,66.7754,6.94628,1,24,121,63,23,52000
3,2,proposed,naive,82.2173,4.89458,84.8632,1.2093,0.645329,7.99348,80.471,9.93336,1,73,121,63,23,52000
3,2,proposed,mondrian,82.2173,4.89458,84.8632,1.39954,0.74706,3.9413,66.8004,5.90012,1,24,121,63,23,52000
3,2,b2,naive,81.4635,5.31022,84.5765,1.02654,0.638632,8.43007,80.6594,10.4514,1,73,121,63,23,52000
3,2,b2,mondrian,81.4635,5.31022,84.5765,1.19417,0.710903,5.05399,69.2801,7.29501,1,24,121,63,23,52000
4,0,proposed,naive,77.788,7.6039,81.7246,1.19347,0.63087,11.0304,78.8489,13.9893,1,73,121,63,23,50000
4,0,proposed,mondrian,77.788,7.6039,81.7246,1.23876,0.702968,7.81413,71.3641,10.9497,1,24,121,63,23,50000
4,0,b2,naive,76.044,7.66146,84.3023,1.08186,0.620057,11.0033,78.6424,13.9915,1,73,121,63,23,50000
4,0,b2,mondrian,76.044,7.66146,84.3023,1.15321,0.706524,7.26848,69.1326,10.5138,1,24,121,63,23,50000
4,1,proposed,naive,76.952,7.17084,84.375,1.20226,0.642079,10.2435,78.0696,13.121,1,73,121,63,23,50000
4,1,proposed,mondrian,76.952,7.17084,84.375,1.23132,0.726029,6.79239,69.5793,9.76208,1,24,121,63,23,50000
4,1,b2,naive,76.088,7.99262,83.1678,1.12293,0.614309,11.5511,78.5967,14.6966,1,73,121,63,23,50000
4,1,b2,mondrian,76.088,7.99262,83.1678,1.2304,0.723924,6.6837,66.55,10.0431,1,24,121,63,23,50000
4,2,proposed,naive,77.742,7.21308,83.1569,1.2288,0.634445,10.925,79.6728,13.7123,1,73,121,63,23,50000
4,2,proposed,mondrian,77.742,7.21308,83.1569,1.29781,0.726483,7.30435,70.4522,10.3678,1,24,121,63,23,50000
4,2,b2,naive,76.522,7.40646,84.5615,1.05987,0.60898,10.9967,79.2065,13.8836,1,73,121,63,23,50000
4,2,b2,mondrian,76.522,7.40646,84.5615,1.14948,0.698837,6.59891,68.6337,9.61468,1,24,121,63,23,50000
5,0,proposed,naive,79.4769,6.22633,83.7575,1.20802,0.628535,9.71449,78.5833,12.362,1,73,121,63,23,52000
5,0,proposed,mondrian,79.4769,6.22633,83.7575,1.32422,0.705116,5.52935,68.267,8.09959,1,24,121,63,23,52000
5,0,b2,naive,79.3673,6.43039,83.1344,1.06089,0.634322,9.68007,77.8685,12.4313,1,73,121,63,23,52000
5,0,b2,mondrian,79.3673,6.43039,83.1344,1.21391,0.70784,6.02174,66.7533,9.02089,1,24,121,63,23,52000
5,1,proposed,naive,78.9673,6.42666,83.7828,1.25239,0.617047,10.1464,79.4004,12.7788,1,73,121,63,23,52000
5,1,proposed,mondrian,78.9673,6.42666,83.7828,1.25478,0.730377,6.55507,69.0482,9.49347,1,24,121,63,23,52000
5,1,b2,naive,78.6538,7.30647,81.1182,1.07928,0.634598,10.8167,77.9341,13.8793,1,73,121,63,23,52000
5,1,b2,mondrian,78.6538,7.30647,81.1182,1.27486,0.712384,6.46232,66.2862,9.74911,1,24,121,63,23,52000
5,2,proposed,naive,79.2038,6.25124,84.0222,1.24567,0.633009,9.94457,79.2384,12.5502,1,73,121,63,23,52000
5,2,proposed,mondrian,79.2038,6.25124,84.0222,1.3633,0.730545,5.59275,66.7562,8.37788,1,24,121,63,23,52000
5,2,b2,naive,79.0462,6.54351,83.2498,1.03527,0.633602,10.462,79.2529,13.2007,1,73,121,63,23,52000
5,2,b2,mondrian,79.0462,6.54351,83.2498,1.15861,0.698803,6.97935,69.9489,9.97778,1,24,121,63,23,52000
6,0,proposed,naive,77.7712,6.862,84.0224,1.19186,0.646548,8.66196,73.6373,11.763,1,73,121,63,23,52000
6,0,proposed,mondrian,77.7712,6.862,84.0224,1.53334,0.631769,5.92174,66.9652,8.84301,1,24,121,63,23,52000
6,0,b2,naive,77.7808,7.20856,82.8385,1.08054,0.620542,10.1098,76.5351,13.2093,1,73,121,63,23,52000
6,0,b2,mondrian,77.7808,7.20856,82.8385,1.34928,0.63985,6.92319,67.521,10.2534,1,24,121,63,23,52000
6,1,proposed,naive,78.7865,6.6161,83.5716,1.23677,0.626319,9.50833,76.8728,12.3689,1,73,121,63,23,52000
6,1,proposed,mondrian,78.7865,6.6161,83.5716,1.47321,0.65734,6.03696,67.6558,8.92304,1,24,121,63,23,52000
6,1,b2,naive,78.3885,7.2769,81.6694,1.09811,0.616862,10.6641,77.5725,13.7473,1,73,121,63,23,52000
