split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
0,0,proposed,naive,78.4891,6.75126,83.6799,1.22258,0.615125,8.3,75.6087,10.9776,1,73,121,63,23,46000
0,0,proposed,mondrian,78.4891,6.75126,83.6799,1.27698,0.745365,4.36522,61.8217,7.06097,1,24,121,63,23,46000
0,0,b2,naive,77.8913,7.10265,83.1644,1.11608,0.608444,8.93696,75.5826,11.8241,1,73,121,63,23,46000
0,0,b2,mondrian,77.8913,7.10265,83.1644,1.2174,0.720861,4.61957,61.737,7.48266,1,24,121,63,23,46000
0,1,proposed,naive,79.5848,6.60667,82.3156,1.28644,0.608429,9.85652,79.2283,12.4407,1,73,121,63,23,46000
0,1,proposed,mondrian,79.5848,6.60667,82.3156,1.3814,0.729048,5.17609,64.3304,8.04609,1,24,121,63,23,46000
0,1,b2,naive,78.637,7.27177,81.3348,1.12549,0.611026,10.1587,77.4261,13.1205,1,73,121,63,23,46000
0,1,b2,mondrian,78.637,7.27177,81.3348,1.31279,0.715535,4.60435,61.0196,7.54569,1,24,121,63,23,46000
0,2,proposed,naive,79.2957,6.60767,82.7031,1.25161,0.616709,10.1609,79.337,12.8072,1,73,121,63,23,46000
0,2,proposed,mondrian,79.2957,6.60767,82.7031,1.39683,0.708063,5.27391,65.7587,8.0201,1,24,121,63,23,46000
0,2,b2,naive,78.2217,6.89832,83.3566,1.07704,0.608137,9.21304,76.2283,12.0861,1,73,121,63,23,46000
0,2,b2,mondrian,78.2217,6.89832,83.3566,1.17941,0.719057,4.8,62.8413,7.63829,1,24,121,63,23,46000
0,3,proposed,naive,79.6022,6.50625,82.5418,1.22047,0.609919,9.6087,78.3935,12.257,1,73,121,63,23,46000
0,3,proposed,mondrian,79.6022,6.50625,82.5418,1.24777,0.725732,4.93696,65.2804,7.56269,1,24,121,63,23,46000
0,3,b2,naive,75.9043,8.33623,82.1341,1.28924,0.627298,10.037,74.3109,13.5067,1,73,121,63,23,46000
0,3,b2,mondrian,75.9043,8.33623,82.1341,1.44614,0.741156,5.1,58.3543,8.73971,1,24,121,63,23,46000
0,4,proposed,naive,79.0065,6.69499,82.9686,1.29037,0.613246,9.66304,78.4761,12.3134,1,73,121,63,23,46000
0,4,proposed,mondrian,79.0065,6.69499,82.9686,1.40011,0.739711,4.61522,62.2935,7.40883,1,24,121,63,23,46000
0,4,b2,naive,77.4174,7.39443,82.9796,1.17779,0.615994,9.99348,77.063,12.9679,1,73,121,63,23,46000
0,4,b2,mondrian,77.4174,7.39443,82.9796,1.37909,0.725844,4.83043,60.3739,8.00086,1,24,121,63,23,46000
0,5,proposed,naive,79.6283,6.65898,82.0427,1.23111,0.6134,9.35435,77.2848,12.1037,1,73,121,63,23,46000
