split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_dark_units,n_bright_units,n_eval_units,n_eval_px
0,0,proposed,naive,76.7692,9.05334,78.9254,1.22687,0.630211,10.2615,73.2,14.0185,1,91,152,33,13,26000
0,0,proposed,mondrian,76.7692,9.05334,78.9254,1.22631,0.905767,1.52308,33.9038,4.49234,1,12,152,33,13,26000
0,0,b2,naive,75.2192,9.56851,78.7508,1.16467,0.61163,12.6385,75.5077,16.738,1,91,152,33,13,26000
0,0,b2,mondrian,75.2192,9.56851,78.7508,1.12846,0.897789,1.77308,37.3231,4.75062,1,12,152,33,13,26000
0,1,proposed,naive,77.5269,8.22522,80.176,1.19445,0.623809,10.4077,76.2423,13.6508,1,91,152,33,13,26000
0,1,proposed,mondrian,77.5269,8.22522,80.176,1.23894,0.883191,1.82308,39.2808,4.64114,1,12,152,33,13,26000
0,1,b2,naive,76.7346,9.06933,78.6119,1.20279,0.607546,11.7462,76.5385,15.3467,1,91,152,33,13,26000
0,1,b2,mondrian,76.7346,9.06933,78.6119,1.34039,0.922226,1.22308,30.8038,3.97053,1,12,152,33,13,26000
0,2,proposed,naive,76.1962,9.16457,79.3507,1.25275,0.643835,10.1269,72.4269,13.9823,1,91,152,33,13,26000
0,2,proposed,mondrian,76.1962,9.16457,79.3507,1.28467,0.881119,2.11538,38.2462,5.53097,1,12,152,33,13,26000
0,2,b2,naive,74.2577,10.0295,78.7871,1.12783,0.619691,13.3577,75.4346,17.7076,1,91,152,33,13,26000
0,2,b2,mondrian,74.2577,10.0295,78.7871,1.06435,0.923409,1.35,34.6038,3.9013,1,12,152,33,13,26000
1,0,proposed,naive,75.2,9.92386,78.0304,1.18601,0.637037,11.7385,74.65,15.7247,1,91,152,33,13,28000
1,0,proposed,mondrian,75.2,9.92386,78.0304,1.56357,0.77572,2.58077,42.4365,6.08148,1,12,152,33,13,28000
1,0,b2,naive,73.5036,11.8624,75.7281,1.08931,0.645648,13.2462,73.5673,18.0055,1,91,152,33,13,28000
1,0,b2,mondrian,73.5036,11.8624,75.7281,1.36785,0.783359,3.48077,42.8538,8.12242,1,12,152,33,13,28000
1,1,proposed,naive,75.525,9.02463,80.2519,1.16551,0.623906,11.5827,76.0827,15.2238,1,91,152,33,13,28000
1,1,proposed,mondrian,75.525,9.02463,80.2519,1.55597,0.784466,1.83846,40.2635,4.56608,1,12,152,33,13,28000
1,1,b2,naive,75.5464,10.3885,76.7138,1.13382,0.634021,12.4385,76.0115,16.3639,1,91,152,33,13,28000
1,1,b2,mondrian,75.5464,10.3885,76.7138,1.77786,0.793924,2.34423,38.2692,6.12563,1,12,152,33,13,28000
1,2,proposed,naive,74.3607,10.4986,78.052,1.23406,0.642696,10.9,71.2077,15.3073,1,91,152,33,13,28000
1,2,proposed,mondrian,74.3607,10.4986,78.052,1.51316,0.804693,2.21731,36.7115,6.03981,1,12,152,33,13,28000
1,2,b2,naive,73.4071,11.1023,77.7468,1.07023,0.635181,12.9231,73.6269,17.5521,1,91,152,33,13,28000
1,2,b2,mondrian,73.4071,11.1023,77.7468,1.3,0.81706,2.69615,40.4808,6.66033,1,12,152,33,13,28000
2,0,proposed,naive,81.1067,6.80841,79.4145,1.1619,0.65429,9.18846,78.141,11.7588,1,91,152,33,13,30000
2,0,proposed,mondrian,81.1067,6.80841,79.4145,1.44801,0.829488,2.09615,45.5,4.60693,1,12,152,33,13,30000
2,0,b2,naive,80.5133,6.73054,80.1739,1.07486,0.656421,9.18462,76.8821,11.9464,1,91,152,33,13,30000
2,0,b2,mondrian,80.5133,6.73054,80.1739,1.36779,0.826612,1.99615,45.5487,4.38246,1,12,152,33,13,30000
2,1,proposed,naive,79.5533,7.0873,80.6163,1.14323,0.64505,10.391,79.0013,13.153,1,91,152,33,13,30000
2,1,proposed,mondrian,79.5533,7.0873,80.6163,1.43974,0.821218,2.41026,46.2897,5.20689,1,12,152,33,13,30000
2,1,b2,naive,79.4667,7.35322,79.6016,1.1358,0.638081,11.2064,79.1513,14.1582,1,91,152,33,13,30000
2,1,b2,mondrian,79.4667,7.35322,79.6016,1.52297,0.890375,1.46923,39.4628,3.72308,1,12,152,33,13,30000
2,2,proposed,naive,79.3567,6.60732,82.6327,1.19382,0.664341,8.86667,75.7564,11.7042,1,91,152,33,13,30000
2,2,proposed,mondrian,79.3567,6.60732,82.6327,1.38306,0.865156,1.44744,41.791,3.46351,1,12,152,33,13,30000
2,2,b2,naive,79.4567,6.86904,81.4939,1.0505,0.650578,8.69231,74.4885,11.6693,1,91,152,33,13,30000
2,2,b2,mondrian,79.4567,6.86904,81.4939,1.30851,0.868531,1.06282,36,2.95228,1,12,152,33,13,30000
3,0,proposed,naive,71.3429,12.2919,77.5312,1.20669,0.631159,12.0115,67.9865,17.6675,1,91,152,33,13,28000
3,0,proposed,mondrian,71.3429,12.2919,77.5312,1.43727,0.851679,1.22115,26.2923,4.64453,1,12,152,33,13,28000
3,0,b2,naive,70.0071,13.5593,76.4245,1.13043,0.62744,12.6981,67.7135,18.7527,1,91,152,33,13,28000
3,0,b2,mondrian,70.0071,13.5593,76.4245,1.2755,0.873583,0.876923,22.5538,3.88813,1,12,152,33,13,28000
3,1,proposed,naive,69.9786,12.5138,78.9648,1.19336,0.625013,12.4154,68.5462,18.1124,1,91,152,33,13,28000
3,1,proposed,mondrian,69.9786,12.5138,78.9648,1.36136,0.848426,1.58462,29.5192,5.36808,1,12,152,33,13,28000
3,1,b2,naive,71.5821,12.4988,77.2504,1.16558,0.626007,11.6558,68.8596,16.9269,1,91,152,33,13,28000
