split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
0,0,proposed,naive,76.9846,9.19718,78.2465,1.19197,0.628614,10.7385,74.7808,14.3599,1,91,152,33,13,26000
0,0,proposed,mondrian,76.9846,9.19718,78.2465,1.24623,0.882189,2.43462,38.8269,6.27043,1,12,152,33,13,26000
0,0,b2,naive,75.2192,9.56851,78.7508,1.16467,0.61386,12.5462,75.2538,16.6718,1,91,152,33,13,26000
0,0,b2,mondrian,75.2192,9.56851,78.7508,1.12846,0.897789,1.77308,37.3231,4.75062,1,12,152,33,13,26000
0,1,proposed,naive,76.8846,8.53782,79.909,1.15904,0.625855,10.65,74.9308,14.2131,1,91,152,33,13,26000
0,1,proposed,mondrian,76.8846,8.53782,79.909,1.25213,0.875923,1.97308,40.0038,4.93222,1,12,152,33,13,26000
0,1,b2,naive,76.7346,9.06933,78.6119,1.20279,0.609514,11.6846,76.3192,15.3102,1,91,152,33,13,26000
0,1,b2,mondrian,76.7346,9.06933,78.6119,1.34039,0.922226,1.22308,30.8038,3.97053,1,12,152,33,13,26000
0,2,proposed,naive,76.2615,9.34555,78.6902,1.23492,0.640582,11.2577,74.4923,15.1126,1,91,152,33,13,26000
0,2,proposed,mondrian,76.2615,9.34555,78.6902,1.45855,0.852536,2.05769,38.6462,5.32444,1,12,152,33,13,26000
0,2,b2,naive,74.2577,10.0295,78.7871,1.12783,0.618142,13.4654,75.65,17.7996,1,91,152,33,13,26000
0,2,b2,mondrian,74.2577,10.0295,78.7871,1.06435,0.923409,1.35,34.6038,3.9013,1,12,152,33,13,26000
0,3,proposed,naive,76.1462,9.20452,79.2262,1.16927,0.639406,10.95,73.9923,14.7988,1,91,152,33,13,26000
0,3,proposed,mondrian,76.1462,9.20452,79.2262,1.29702,0.872695,2.06923,39.2654,5.26986,1,12,152,33,13,26000
