seed,split,state,arm,joint,cov
0,0,clean,naive,7.193589743589743,73.75128205128205
0,0,L2A,naive,25.566666666666666,92.30512820512821
0,0,L2A,mondrian,8.821794871794872,53.21538461538462
0,1,clean,naive,9.075,74.89125
0,1,L2A,naive,26.762820512820507,90.45
0,1,L2A,mondrian,5.890384615384615,42.28
0,2,clean,naive,9.303846153846154,78.55128205128206
0,2,L2A,naive,26.887179487179484,94.11025641025641
0,2,L2A,mondrian,6.860256410256412,46.047435897435896
0,3,clean,naive,8.427564102564103,74.41341463414635
0,3,L2A,naive,27.676923076923078,92.06951219512194
0,3,L2A,mondrian,8.676923076923076,51.289024390243895
0,4,clean,naive,5.884615384615385,73.3275
0,4,L2A,naive,24.087820512820514,91.25999999999999
0,4,L2A,mondrian,5.143589743589743,42.41375
0,5,clean,naive,8.908974358974357,71.87692307692308
0,5,L2A,naive,26.521794871794864,90.58461538461539
0,5,L2A,mondrian,8.219230769230771,49.32820512820513
0,6,clean,naive,7.109615384615385,75.07625
0,6,L2A,naive,24.625641025641016,91.5925
0,6,L2A,mondrian,6.072435897435895,48.5425
0,7,clean,naive,9.15576923076923,76.21463414634147
0,7,L2A,naive,27.142948717948723,91.24146341463415
0,7,L2A,mondrian,9.930769230769231,56.32926829268292
0,8,clean,naive,7.640384615384614,75.67380952380952
0,8,L2A,naive,26.876282051282057,94.79880952380952
0,8,L2A,mondrian,10.320512820512821,60.844047619047615
0,9,clean,naive,9.875641025641025,79.07
0,9,L2A,naive,26.772435897435898,92.62875000000001
0,9,L2A,mondrian,8.684615384615386,51.947500000000005
1,0,clean,naive,6.92051282051282,72.6423076923077
1,0,L2A,naive,28.087179487179487,93.81025641025641
1,0,L2A,mondrian,10.503846153846155,50.94615384615384
1,1,clean,naive,8.635897435897435,73.6725
1,1,L2A,naive,29.24935897435897,94.11874999999999
1,1,L2A,mondrian,6.215384615384615,37.536249999999995
1,2,clean,naive,9.99102564102564,78.89358974358974
1,2,L2A,naive,29.203846153846154,95.23846153846154
1,2,L2A,mondrian,7.058974358974359,41.410256410256416
1,3,clean,naive,8.337820512820514,73.46707317073171
1,3,L2A,naive,30.206410256410248,93.5060975609756
1,3,L2A,mondrian,8.943589743589744,46.59878048780488
1,4,clean,naive,5.13846153846154,71.66875
1,4,L2A,naive,26.974358974358974,93.93249999999999
1,4,L2A,mondrian,5.990384615384615,40.23125
1,5,clean,naive,8.778205128205126,71.42435897435897
1,5,L2A,naive,29.54230769230769,92.98717948717949
1,5,L2A,mondrian,7.4371794871794865,42.16666666666667
1,6,clean,naive,5.041666666666666,69.66375000000001
1,6,L2A,naive,25.800641025641024,92.92375
1,6,L2A,mondrian,6.15448717948718,43.64125
1,7,clean,naive,10.629487179487182,77.68658536585366
1,7,L2A,naive,31.01474358974359,95.33780487804879
1,7,L2A,mondrian,9.343589743589744,49.46219512195122
1,8,clean,naive,7.732692307692308,75.32380952380953
1,8,L2A,naive,28.480128205128203,94.875
1,8,L2A,mondrian,10.50576923076923,55.13928571428571
1,9,clean,naive,8.673076923076923,76.29375
1,9,L2A,naive,29.469871794871793,95.165
1,9,L2A,mondrian,8.791666666666668,44.775
2,0,clean,naive,7.155128205128205,73.16153846153847
2,0,L2A,naive,31.64102564102564,94.45128205128205
2,0,L2A,mondrian,9.155128205128204,34.21923076923077
2,1,clean,naive,10.181410256410256,76.18374999999999
2,1,L2A,naive,33.314743589743586,95.03125
2,1,L2A,mondrian,6.238461538461539,24.295
2,2,clean,naive,9.864102564102563,79.09102564102564
2,2,L2A,naive,33.91025641025641,95.10128205128206
2,2,L2A,mondrian,6.653846153846155,26.583333333333332
2,3,clean,naive,7.625641025641026,71.42560975609756
2,3,L2A,naive,34.416025641025634,93.74756097560976
2,3,L2A,mondrian,10.290384615384616,37.891463414634146
2,4,clean,naive,5.899999999999999,71.83874999999999
2,4,L2A,naive,30.68717948717949,95.32000000000001
2,4,L2A,mondrian,7.745512820512819,28.86375
2,5,clean,naive,8.933333333333334,71.1974358974359
2,5,L2A,naive,33.034615384615385,94.02435897435898
2,5,L2A,mondrian,7.874358974358975,30.46794871794872
2,6,clean,naive,6.0532051282051285,72.10125
2,6,L2A,naive,29.7698717948718,93.965
2,6,L2A,mondrian,6.175641025641024,27.75125
2,7,clean,naive,9.786538461538461,75.80121951219512
2,7,L2A,naive,34.89230769230769,95.22317073170731
2,7,L2A,mondrian,10.108974358974358,37.32073170731707
2,8,clean,naive,7.699358974358973,75.53095238095237
2,8,L2A,naive,32.79679487179487,95.94404761904762
2,8,L2A,mondrian,8.96602564102564,33.74285714285714
2,9,clean,naive,9.37628205128205,77.11375000000001
2,9,L2A,naive,33.929487179487175,95.285
2,9,L2A,mondrian,9.917948717948718,35.215
3,0,clean,naive,7.673076923076924,74.08717948717948
3,0,L2A,naive,28.108974358974354,91.78717948717949
3,0,L2A,mondrian,8.02692307692308,35.28846153846154
3,1,clean,naive,7.754487179487181,70.76375
3,1,L2A,naive,29.20192307692307,87.76125
3,1,L2A,mondrian,5.91346153846154,26.29375
3,2,clean,naive,9.938461538461537,78.72307692307692
3,2,L2A,naive,30.101282051282052,94.57179487179486
3,2,L2A,mondrian,8.5,36.702564102564104
3,3,clean,naive,8.766666666666667,73.62560975609756
3,3,L2A,naive,29.925641025641024,89.51341463414634
3,3,L2A,mondrian,8.800641025641024,37.576829268292684
3,4,clean,naive,5.64551282051282,72.7375
3,4,L2A,naive,26.276282051282053,87.83125000000001
3,4,L2A,mondrian,4.572435897435896,23.419999999999998
3,5,clean,naive,8.97307692307692,71.61666666666666
3,5,L2A,naive,29.37051282051282,89.47564102564102
3,5,L2A,mondrian,7.082051282051283,33.4
3,6,clean,naive,5.985256410256412,71.59625
3,6,L2A,naive,25.44871794871795,88.5675
3,6,L2A,mondrian,6.042948717948718,33.68375
3,7,clean,naive,9.58397435897436,75.54512195121951
