method,state,arm,n_runs,n_feasible,feasible_rate,mean_heldout_joint_loss_pct,se_heldout_joint_loss_pct,mean_coverage_pct,se_coverage_pct,mean_selection_stat_pct,mean_selective_risk_pct,mean_acc_pct,mean_calib_units,paired_minus_mondrian_pct,se_paired_minus_mondrian_pct
proposed,clean,naive,30,30,1.000,8.446,0.212,76.301,0.352,9.927,11.055,79.623,69.0,0.000,0.000
proposed,clean,naiveThr_freshT,30,30,1.000,8.446,0.212,76.301,0.352,9.927,11.055,79.623,69.0,0.000,0.000
proposed,clean,mondrian,30,30,1.000,8.446,0.212,76.301,0.352,9.927,11.055,79.623,69.0,0.000,0.000
proposed,dropB10,naive,30,30,1.000,8.406,0.265,73.686,0.560,9.927,11.392,78.316,69.0,0.149,0.142
proposed,dropB10,naiveThr_freshT,30,30,1.000,8.388,0.261,73.637,0.549,9.925,11.375,78.316,69.0,0.131,0.136
proposed,dropB10,mondrian,30,30,1.000,8.256,0.210,73.284,0.267,9.934,11.255,78.316,69.0,0.000,0.000
proposed,dropB1B9B10,naive,30,30,1.000,9.273,0.330,72.202,0.876,9.927,12.825,76.076,69.0,0.994,0.242
proposed,dropB1B9B10,naiveThr_freshT,30,30,1.000,9.209,0.321,72.047,0.851,9.933,12.764,76.076,69.0,0.929,0.230
proposed,dropB1B9B10,mondrian,30,30,1.000,8.280,0.192,69.474,0.429,9.931,11.905,76.076,69.0,0.000,0.000
proposed,L2A_real,naive,30,30,1.000,28.934,0.342,93.662,0.256,9.927,30.890,67.586,69.0,20.211,0.365
proposed,L2A_real,naiveThr_freshT,30,30,1.000,29.795,0.571,95.725,0.643,9.934,31.116,67.586,69.0,21.073,0.592
proposed,L2A_real,mondrian,30,30,1.000,8.722,0.238,47.369,1.897,9.943,18.460,67.586,69.0,0.000,0.000
b2,clean,naive,30,30,1.000,8.307,0.177,73.839,0.353,9.938,11.240,78.587,69.0,0.000,0.000
b2,clean,naiveThr_freshT,30,30,1.000,8.307,0.177,73.839,0.353,9.938,11.240,78.587,69.0,0.000,0.000
b2,clean,mondrian,30,30,1.000,8.307,0.177,73.839,0.353,9.938,11.240,78.587,69.0,0.000,0.000
b2,dropB10,naive,30,30,1.000,7.670,0.179,67.844,0.352,9.938,11.301,76.664,69.0,-0.591,0.146
b2,dropB10,naiveThr_freshT,30,30,1.000,7.704,0.177,67.951,0.341,9.940,11.332,76.664,69.0,-0.558,0.142
b2,dropB10,mondrian,30,30,1.000,8.261,0.170,69.604,0.349,9.944,11.862,76.664,69.0,0.000,0.000
b2,dropB1B9B10,naive,30,30,1.000,6.643,0.370,62.112,1.013,9.938,10.667,75.315,69.0,-1.802,0.305
b2,dropB1B9B10,naiveThr_freshT,30,30,1.000,6.770,0.365,62.546,0.972,9.946,10.798,75.315,69.0,-1.674,0.301
b2,dropB1B9B10,mondrian,30,30,1.000,8.444,0.163,67.920,0.396,9.944,12.424,75.315,69.0,0.000,0.000
b2,L2A_real,naive,30,30,1.000,32.889,0.680,94.585,0.335,9.938,34.771,63.901,69.0,24.064,0.643
b2,L2A_real,naiveThr_freshT,30,30,1.000,34.185,0.756,96.971,0.210,9.934,35.248,63.901,69.0,25.359,0.703
b2,L2A_real,mondrian,30,30,1.000,8.825,0.300,45.279,1.891,9.948,19.527,63.901,69.0,0.000,0.000
