method,state,arm,n_runs,n_feasible,feasible_rate,mean_heldout_joint_loss_pct,se_heldout_joint_loss_pct,mean_coverage_pct,se_coverage_pct,mean_selection_stat_pct,mean_selective_risk_pct,mean_acc_pct,mean_calib_units,paired_minus_mondrian_pct,se_paired_minus_mondrian_pct
proposed,clean,naive,100,100,1.000,8.490,0.217,76.047,0.325,9.929,11.153,79.530,69.0,0.000,0.000
proposed,clean,naiveThr_freshT,100,100,1.000,8.490,0.217,76.047,0.325,9.929,11.153,79.530,69.0,0.000,0.000
proposed,clean,mondrian,100,100,1.000,8.490,0.217,76.047,0.325,9.929,11.153,79.530,69.0,0.000,0.000
proposed,dropB10,naive,100,100,1.000,8.258,0.246,72.994,0.359,9.929,11.300,78.196,69.0,-0.066,0.095
proposed,dropB10,naiveThr_freshT,100,100,1.000,8.255,0.248,72.986,0.362,9.928,11.296,78.196,69.0,-0.069,0.094
proposed,dropB10,mondrian,100,100,1.000,8.324,0.226,73.201,0.265,9.935,11.360,78.196,69.0,0.000,0.000
proposed,dropB1B9B10,naive,100,100,1.000,8.877,0.272,71.215,0.527,9.929,12.445,76.402,69.0,0.583,0.171
proposed,dropB1B9B10,naiveThr_freshT,100,100,1.000,8.840,0.270,71.120,0.517,9.931,12.410,76.402,69.0,0.547,0.166
proposed,dropB1B9B10,mondrian,100,100,1.000,8.293,0.229,69.573,0.411,9.936,11.905,76.402,69.0,0.000,0.000
proposed,L2A_real,naive,100,100,1.000,28.932,0.506,93.023,0.435,9.929,31.105,67.109,69.0,20.300,0.513
proposed,L2A_real,naiveThr_freshT,100,100,1.000,30.087,0.642,95.457,0.319,9.932,31.507,67.109,69.0,21.456,0.664
proposed,L2A_real,mondrian,100,100,1.000,8.632,0.236,44.986,1.768,9.944,19.406,67.109,69.0,0.000,0.000
b2,clean,naive,100,100,1.000,8.292,0.200,73.622,0.359,9.929,11.252,78.608,69.0,0.000,0.000
b2,clean,naiveThr_freshT,100,100,1.000,8.292,0.200,73.622,0.359,9.929,11.252,78.608,69.0,0.000,0.000
b2,clean,mondrian,100,100,1.000,8.292,0.200,73.622,0.359,9.929,11.252,78.608,69.0,0.000,0.000
b2,dropB10,naive,100,100,1.000,7.438,0.207,67.068,0.430,9.929,11.080,76.704,69.0,-0.765,0.116
b2,dropB10,naiveThr_freshT,100,100,1.000,7.478,0.206,67.194,0.417,9.931,11.118,76.704,69.0,-0.726,0.112
b2,dropB10,mondrian,100,100,1.000,8.204,0.197,69.430,0.342,9.932,11.808,76.704,69.0,0.000,0.000
b2,dropB1B9B10,naive,100,100,1.000,6.359,0.228,61.406,0.574,9.929,10.332,75.440,69.0,-2.095,0.153
b2,dropB1B9B10,naiveThr_freshT,100,100,1.000,6.485,0.230,61.848,0.563,9.928,10.461,75.440,69.0,-1.969,0.156
b2,dropB1B9B10,mondrian,100,100,1.000,8.454,0.182,68.272,0.353,9.935,12.374,75.440,69.0,0.000,0.000
b2,L2A_real,naive,100,100,1.000,34.072,0.448,94.611,0.258,9.929,36.015,62.717,69.0,25.269,0.536
b2,L2A_real,naiveThr_freshT,100,100,1.000,35.335,0.464,96.952,0.195,9.926,36.447,62.717,69.0,26.533,0.548
b2,L2A_real,mondrian,100,100,1.000,8.802,0.371,42.163,1.814,9.938,21.136,62.717,69.0,0.000,0.000
