n_missing_bands,b1_mean,b1_spread,b1_n,b2_mean,b2_spread,b2_n,b3_mean,b3_spread,b3_n,b4_mean,b4_spread,b4_n,b6_mean,b6_spread,b6_n,proposed_mean,proposed_spread,proposed_n
0,55.7507,0.1822,5,54.6500,0.3377,5,55.7507,0.1822,5,55.8222,0.2253,5,55.5109,0.3188,5,55.9949,0.2495,5
1,38.1973,6.6042,15,51.7891,2.3321,15,30.4771,10.3952,15,53.9762,1.3936,15,44.0272,2.3679,15,54.0119,1.4254,15
2,31.3855,4.8347,25,49.9453,2.4144,25,25.6355,7.8121,25,52.5327,1.7313,25,36.6480,4.8325,25,52.6006,1.6765,25
3,27.5443,5.2372,45,49.0188,3.1617,45,27.6953,10.9848,45,51.5985,2.2574,45,32.7479,4.9834,45,51.6715,2.1568,45
4,23.1464,4.0906,65,47.3677,3.4536,65,23.1499,8.9711,65,50.0948,2.3801,65,29.9498,4.7147,65,50.0918,2.3307,65
5,21.7035,3.8404,75,45.8797,3.4966,75,21.4687,5.5954,75,48.7284,2.4914,75,27.7834,4.9945,75,48.6171,2.4999,75
6,21.4036,4.0026,90,43.9261,3.9463,90,21.1320,6.7519,90,47.3659,2.6607,90,25.6081,5.1382,90,47.0369,2.6299,90
7,20.2858,3.5935,90,39.7723,4.5676,90,18.8452,4.9483,90,44.8629,3.2661,90,23.8612,4.5435,90,44.2861,3.1812,90
8,19.7484,3.4121,75,36.6832,4.9495,75,18.8320,4.6717,75,42.7396,3.2061,75,22.0411,4.6981,75,41.1271,3.7757,75
9,19.1183,3.2898,65,32.1807,4.9538,65,17.6290,4.6287,65,39.6236,3.3454,65,20.6409,4.7717,65,37.0614,4.0565,65
10,18.7501,3.2416,35,25.9606,5.7821,35,16.5683,4.5485,35,35.0005,3.3991,35,20.4835,4.6931,35,29.6195,6.1396,35
11,17.8722,6.4795,15,23.9339,7.1356,15,15.8951,3.9688,15,31.9654,2.4645,15,18.6644,7.6984,15,27.7736,4.4884,15
