method,n_missing_groups,n_drop_sets,worst_group_ids,worst_bands,worst_miou,best_group_ids,best_bands,best_miou,range,sd_across_drop_sets,mean_seed_sd
b1,0,1,-,-,55.7507,-,-,55.7507,0.0000,nan,0.1822
b1,1,7,1,B2+B3+B4,21.9499,5,B10,43.2895,21.3397,7.7654,1.1995
b1,2,21,1+5,B2+B3+B4+B10,18.4133,3+4,B8+B8A+B9,35.8838,17.4705,5.0437,1.2410
b1,3,35,1+2+5,B2+B3+B4+B5+B6+B7+B10,17.1286,3+4+5,B8+B8A+B9+B10,31.6498,14.5212,3.7305,1.1165
b1,4,35,0+1+5+6,B1+B2+B3+B4+B10+B11+B12,14.5018,2+3+4+5,B5+B6+B7+B8+B8A+B9+B10,28.1523,13.6504,3.3593,1.1299
b1,5,21,1+2+3+5+6,B2+B3+B4+B5+B6+B7+B8+B8A+B10+B11+B12,11.8910,1+2+3+4+6,B2+B3+B4+B5+B6+B7+B8+B8A+B9+B11+B12,25.5136,13.6226,3.2184,1.1394
b2,0,1,-,-,54.6500,-,-,54.6500,0.0000,nan,0.3377
b2,1,7,5,B10,48.6376,0,B1,53.4788,4.8412,1.9888,0.4267
b2,2,21,5+6,B10+B11+B12,43.1776,0+2,B1+B5+B6+B7,52.4342,9.2566,2.4299,0.4655
b2,3,35,2+3+6,B5+B6+B7+B8+B8A+B11+B12,39.7859,0+2+4,B1+B5+B6+B7+B9,50.6838,10.8979,2.7858,0.7342
b2,4,35,0+1+2+3,B1+B2+B3+B4+B5+B6+B7+B8+B8A,25.0127,0+2+3+5,B1+B5+B6+B7+B8+B8A+B10,44.1422,19.1295,4.2383,1.0154
b2,5,21,0+1+2+3+6,B1+B2+B3+B4+B5+B6+B7+B8+B8A+B11+B12,14.8000,0+2+3+4+5,B1+B5+B6+B7+B8+B8A+B9+B10,35.4791,20.6791,5.7011,0.7563
b3,0,1,-,-,55.7507,-,-,55.7507,0.0000,nan,0.1822
b3,1,7,6,B11+B12,21.7837,2,B5+B6+B7,45.9762,24.1925,11.0310,1.2944
b3,2,21,4+6,B9+B11+B12,13.9590,0+2,B1+B5+B6+B7,43.0549,29.0959,8.2233,1.8873
b3,3,35,1+4+6,B2+B3+B4+B9+B11+B12,13.5685,0+1+3,B1+B2+B3+B4+B8+B8A,31.8939,18.3254,4.9815,2.1036
b3,4,35,1+2+4+6,B2+B3+B4+B5+B6+B7+B9+B11+B12,13.3598,1+2+3+4,B2+B3+B4+B5+B6+B7+B8+B8A+B9,26.9120,13.5521,3.9252,2.2357
b3,5,21,0+1+2+4+6,B1+B2+B3+B4+B5+B6+B7+B9+B11+B12,13.3249,2+3+4+5+6,B5+B6+B7+B8+B8A+B9+B10+B11+B12,23.2524,9.9275,3.4391,2.8164
b4,0,1,-,-,55.8222,-,-,55.8222,0.0000,nan,0.2253
b4,1,7,6,B11+B12,51.7585,3,B8+B8A,54.9816,3.2231,1.3850,0.2543
b4,2,21,5+6,B10+B11+B12,47.3855,0+4,B1+B9,54.0413,6.6558,1.7531,0.3147
b4,3,35,1+5+6,B2+B3+B4+B10+B11+B12,43.8074,0+3+4,B1+B8+B8A+B9,52.4464,8.6389,2.1203,0.3896
b4,4,35,0+1+5+6,B1+B2+B3+B4+B10+B11+B12,36.0524,0+2+3+4,B1+B5+B6+B7+B8+B8A+B9,48.8762,12.8239,2.9824,0.5378
b4,5,21,0+1+2+5+6,B1+B2+B3+B4+B5+B6+B7+B10+B11+B12,28.9581,0+2+3+4+5,B1+B5+B6+B7+B8+B8A+B9+B10,42.9082,13.9502,4.0426,0.7559
b6,0,1,-,-,55.5109,-,-,55.5109,0.0000,nan,0.3188
b6,1,7,6,B11+B12,32.1851,0,B1,45.5788,13.3937,4.5227,2.9317
b6,2,21,1+6,B2+B3+B4+B11+B12,25.2833,0+4,B1+B9,37.7809,12.4976,3.2996,3.3146
b6,3,35,1+4+6,B2+B3+B4+B9+B11+B12,21.3240,0+2+3,B1+B5+B6+B7+B8+B8A,31.6130,10.2890,2.8687,3.2897
b6,4,35,0+1+2+5,B1+B2+B3+B4+B5+B6+B7+B10,17.9571,2+3+4+5,B5+B6+B7+B8+B8A+B9+B10,26.5777,8.6207,2.4965,3.9167
b6,5,21,0+1+2+5+6,B1+B2+B3+B4+B5+B6+B7+B10+B11+B12,15.9275,1+2+3+4+5,B2+B3+B4+B5+B6+B7+B8+B8A+B9+B10,24.4618,8.5344,2.5016,4.3697
proposed,0,1,-,-,55.9949,-,-,55.9949,0.0000,nan,0.2495
proposed,1,7,5,B10,52.1323,0,B1,54.9743,2.8419,1.2428,0.3083
proposed,2,21,5+6,B10+B11+B12,47.7768,0+4,B1+B9,54.0172,6.2404,1.6118,0.4169
proposed,3,35,1+5+6,B2+B3+B4+B10+B11+B12,43.9892,0+2+4,B1+B5+B6+B7+B9,52.0638,8.0746,2.0518,0.5164
proposed,4,35,1+2+3+6,B2+B3+B4+B5+B6+B7+B8+B8A+B11+B12,31.6449,0+2+3+4,B1+B5+B6+B7+B8+B8A+B9,48.1493,16.5044,3.7175,1.0089
proposed,5,21,0+1+2+3+4,B1+B2+B3+B4+B5+B6+B7+B8+B8A+B9,20.3683,0+2+3+4+5,B1+B5+B6+B7+B8+B8A+B9+B10,41.7728,21.4045,5.7997,2.0349
