state,method_a,method_b,delta_miou_mean,roi_boot_ci_lo,roi_boot_ci_hi,frac_resamples_a_gt_b,significant_95
clean,proposed,b1,0.2376,-0.5424,0.9687,0.7268,0
clean,proposed,b2,1.3396,0.2627,2.3578,0.9948,1
clean,proposed,b3,0.2376,-0.5424,0.9687,0.7268,0
clean,proposed,b4,0.1688,-0.6925,0.9983,0.6509,0
clean,proposed,b6,0.4823,-0.4866,1.5414,0.7907,0
dropB10,proposed,b1,8.8287,6.7986,11.9924,1.0000,1
dropB10,proposed,b2,3.4897,2.3761,4.9005,1.0000,1
dropB10,proposed,b3,27.6681,22.7411,36.2186,1.0000,1
dropB10,proposed,b4,0.0371,-1.0620,1.4521,0.4895,0
dropB10,proposed,b6,9.4001,6.1560,15.7815,1.0000,1
dropB1B9B10,proposed,b1,26.1929,23.4080,29.2105,1.0000,1
dropB1B9B10,proposed,b2,3.4346,2.3764,4.6123,1.0000,1
dropB1B9B10,proposed,b3,24.5121,20.5249,31.4183,1.0000,1
dropB1B9B10,proposed,b4,-0.1605,-1.3717,1.0893,0.4194,0
dropB1B9B10,proposed,b6,18.1908,13.5736,28.3426,1.0000,1
L2A_real,proposed,b1,15.9250,13.3633,18.5643,1.0000,1
L2A_real,proposed,b2,2.1371,-0.1506,4.0650,0.9260,0
L2A_real,proposed,b3,6.6622,4.0621,8.3994,1.0000,1
L2A_real,proposed,b4,-0.9631,-3.1095,0.6204,0.4677,0
L2A_real,proposed,b6,2.5731,-1.7619,6.2471,0.7999,0
