method,state,IoU_clear,IoU_thick,IoU_thin,IoU_shadow,mIoU,support_clear,support_thick,support_thin,support_shadow
b1,clean,77.72,72.69,33.53,39.07,55.75,151794,86281,26563,27862
b1,dropB10,65.11,67.31,12.55,28.19,43.29,151794,86281,26563,27862
b1,dropB1B9B10,38.91,35.44,5.20,14.22,23.44,151794,86281,26563,27862
b1,L2A_real,52.29,2.31,0.00,0.28,13.72,151794,86281,26563,27862
b2,clean,76.95,71.73,33.28,36.65,54.65,151794,86281,26563,27862
b2,dropB10,74.87,70.10,15.07,34.52,48.64,151794,86281,26563,27862
b2,dropB1B9B10,72.83,67.91,12.33,31.73,46.20,151794,86281,26563,27862
b2,L2A_real,60.97,47.24,0.03,1.80,27.51,151794,86281,26563,27862
b3,clean,77.72,72.69,33.53,39.07,55.75,151794,86281,26563,27862
b3,dropB10,47.24,42.79,6.43,1.30,24.44,151794,86281,26563,27862
b3,dropB1B9B10,53.82,44.77,1.88,0.02,25.12,151794,86281,26563,27862
b3,L2A_real,57.03,34.73,0.13,0.07,22.99,151794,86281,26563,27862
b4,clean,77.72,72.71,33.95,38.92,55.82,151794,86281,26563,27862
b4,dropB10,76.69,71.35,23.66,36.69,52.10,151794,86281,26563,27862
b4,dropB1B9B10,74.79,69.51,19.23,35.67,49.80,151794,86281,26563,27862
b4,L2A_real,63.98,57.81,0.34,0.30,30.61,151794,86281,26563,27862
b6,clean,77.79,72.46,32.67,39.12,55.51,151794,86281,26563,27862
b6,dropB10,68.65,66.31,11.15,24.75,42.72,151794,86281,26563,27862
b6,dropB1B9B10,55.63,50.30,5.95,13.85,31.43,151794,86281,26563,27862
b6,L2A_real,60.88,46.17,0.70,0.55,27.08,151794,86281,26563,27862
proposed,clean,78.18,73.22,33.32,39.27,55.99,151794,86281,26563,27862
proposed,dropB10,76.97,71.66,22.91,36.99,52.13,151794,86281,26563,27862
proposed,dropB1B9B10,74.89,69.42,18.86,35.40,49.64,151794,86281,26563,27862
proposed,L2A_real,63.05,54.73,0.17,0.65,29.65,151794,86281,26563,27862
