seed,method,n_missing_groups,drop_group_ids,drop_bands,n_missing_bands,miou
0,b1,0,,,0,55.55630747633492
0,b1,1,0,B1,1,30.6995173158009
0,b1,1,1,B2+B3+B4,3,21.562163058470272
0,b1,1,2,B5+B6+B7,3,25.062222271769425
0,b1,1,3,B8+B8A,2,36.08033921940054
0,b1,1,4,B9,1,41.76172648100208
0,b1,1,5,B10,1,43.833687826449655
0,b1,1,6,B11+B12,2,36.61658753840176
0,b1,2,0+1,B1+B2+B3+B4,4,22.203502543263536
0,b1,2,0+2,B1+B5+B6+B7,4,21.384088678616497
0,b1,2,0+3,B1+B8+B8A,3,22.892181721339846
0,b1,2,0+4,B1+B9,2,28.52691808917955
0,b1,2,0+5,B1+B10,2,24.860006417098532
0,b1,2,0+6,B1+B11+B12,3,23.077352141755362
0,b1,2,1+2,B2+B3+B4+B5+B6+B7,6,22.861565062731117
0,b1,2,1+3,B2+B3+B4+B8+B8A,5,21.91321490785811
0,b1,2,1+4,B2+B3+B4+B9,4,20.608925745663267
0,b1,2,1+5,B2+B3+B4+B10,4,18.236975483466296
0,b1,2,1+6,B2+B3+B4+B11+B12,5,20.22682985214232
0,b1,2,2+3,B5+B6+B7+B8+B8A,5,26.774956656891096
0,b1,2,2+4,B5+B6+B7+B9,4,24.63198021156915
0,b1,2,2+5,B5+B6+B7+B10,4,20.842065434737457
0,b1,2,2+6,B5+B6+B7+B11+B12,5,24.11840635587229
0,b1,2,3+4,B8+B8A+B9,3,37.661914466323324
0,b1,2,3+5,B8+B8A+B10,3,31.31787903868305
0,b1,2,3+6,B8+B8A+B11+B12,4,27.1903872803431
0,b1,2,4+5,B9+B10,2,33.21928149014932
0,b1,2,4+6,B9+B11+B12,3,35.72007332341309
0,b1,2,5+6,B10+B11+B12,3,29.027612064088032
0,b1,3,0+1+2,B1+B2+B3+B4+B5+B6+B7,7,22.488118883629614
0,b1,3,0+1+3,B1+B2+B3+B4+B8+B8A,6,20.889456479943973
0,b1,3,0+1+4,B1+B2+B3+B4+B9,5,21.42039859494566
0,b1,3,0+1+5,B1+B2+B3+B4+B10,5,20.430163761550055
0,b1,3,0+1+6,B1+B2+B3+B4+B11+B12,6,18.99159640684554
0,b1,3,0+2+3,B1+B5+B6+B7+B8+B8A,6,21.47039308193533
0,b1,3,0+2+4,B1+B5+B6+B7+B9,5,21.814545420381336
0,b1,3,0+2+5,B1+B5+B6+B7+B10,5,17.54882744192283
0,b1,3,0+2+6,B1+B5+B6+B7+B11+B12,6,20.005788355977227
