contrast,missing_groups,delta_miou,ci_lo,ci_hi
hcs_minus_drop,0,-0.2953,-0.5094,-0.0812
hcs_minus_drop,1,-0.3668,-0.6185,-0.1150
hcs_minus_drop,2,-0.3474,-0.7636,0.0689
hcs_minus_drop,3,-0.1631,-0.7910,0.4648
hcs_minus_drop,4,1.0045,0.0148,1.9942
hcs_minus_drop,5,3.0946,1.7345,4.4547
dcs_minus_drop,0,-0.6609,-1.1672,-0.1546
dcs_minus_drop,1,-0.8138,-1.1271,-0.5005
dcs_minus_drop,2,-0.9129,-1.2016,-0.6242
dcs_minus_drop,3,-0.8385,-1.1346,-0.5425
dcs_minus_drop,4,0.2915,-0.1654,0.7485
dcs_minus_drop,5,2.5606,2.0859,3.0354
dcs_minus_hcs,0,-0.3656,-0.9133,0.1821
dcs_minus_hcs,1,-0.4471,-0.9472,0.0531
dcs_minus_hcs,2,-0.5655,-1.1515,0.0204
dcs_minus_hcs,3,-0.6754,-1.4411,0.0903
dcs_minus_hcs,4,-0.7129,-1.7538,0.3279
dcs_minus_hcs,5,-0.5340,-1.7179,0.6500
