contrast,missing_groups,delta_miou,ci_lo,ci_hi
hcs_minus_drop,0,-0.1587,-0.3244,0.0069
hcs_minus_drop,1,-0.1883,-0.3721,-0.0045
hcs_minus_drop,2,-0.1557,-0.3883,0.0769
hcs_minus_drop,3,0.0154,-0.2818,0.3126
hcs_minus_drop,4,1.1495,0.7128,1.5862
hcs_minus_drop,5,3.1620,2.5273,3.7967
dcs_minus_drop,0,-0.5314,-0.8487,-0.2142
dcs_minus_drop,1,-0.6638,-0.9284,-0.3991
dcs_minus_drop,2,-0.7368,-0.9856,-0.4879
dcs_minus_drop,3,-0.6542,-0.8840,-0.4244
dcs_minus_drop,4,0.4636,0.2235,0.7036
dcs_minus_drop,5,2.6691,2.3216,3.0167
dcs_minus_hcs,0,-0.3727,-0.6948,-0.0506
dcs_minus_hcs,1,-0.4755,-0.7286,-0.2223
dcs_minus_hcs,2,-0.5810,-0.8435,-0.3186
dcs_minus_hcs,3,-0.6696,-0.9902,-0.3489
dcs_minus_hcs,4,-0.6859,-1.1153,-0.2566
dcs_minus_hcs,5,-0.4929,-0.9887,0.0029
