kind,seed,missing_groups,miou
drop,0,0,55.8748241776722
drop,0,1,54.7424525374237
drop,0,1,53.30171998470152
drop,0,1,54.38378648132192
drop,0,1,54.637596446035154
drop,0,1,54.74127822895417
drop,0,1,51.66285040210424
drop,0,1,51.77747078951776
drop,0,2,50.09252731849685
drop,0,2,53.49529484068658
drop,0,2,52.98352843462051
drop,0,2,53.81610712139408
drop,0,2,50.64087569460332
drop,0,2,50.0020931526725
drop,0,2,51.17934359045714
drop,0,2,51.6671172301564
drop,0,2,51.652403035127456
drop,0,2,49.24819501223483
drop,0,2,49.14046287639386
drop,0,2,52.35808477271735
drop,0,2,53.07170952054152
drop,0,2,50.17635650905745
drop,0,2,48.716785491029505
drop,0,2,53.096583751661505
drop,0,2,50.34731892068871
drop,0,2,50.25087597410776
drop,0,2,50.57451757566501
drop,0,2,50.14540814931908
drop,0,2,47.14846983163938
drop,0,3,46.82192768620388
drop,0,3,48.08086466827271
drop,0,3,48.022242957191594
drop,0,3,45.745690775870585
drop,0,3,44.03413262126248
drop,0,3,50.631609344660724
drop,0,3,52.01568201276897
drop,0,3,49.39602677222265
drop,0,3,47.3937423801377
drop,0,3,51.66192073675445
drop,0,3,48.89424266573736
drop,0,3,47.65900603398642
drop,0,3,49.41405443884066
drop,0,3,48.348887021402916
drop,0,3,44.81950866656861
drop,0,3,48.675012031488016
drop,0,3,48.81207280176729
drop,0,3,46.66015598982464
drop,0,3,44.263049485684355
drop,0,3,49.60480698806066
drop,0,3,47.47006729023503
drop,0,3,47.23745150960457
drop,0,3,46.53445767518723
drop,0,3,46.403720581499655
drop,0,3,43.68520768796358
drop,0,3,49.37483754998599
drop,0,3,47.65691100340759
drop,0,3,44.4939166366631
drop,0,3,48.60156954633793
drop,0,3,46.17300934892994
drop,0,3,44.36630224645698
drop,0,3,48.69425046670918
drop,0,3,48.16146866805143
drop,0,3,45.45307739358576
drop,0,3,45.66694295374174
drop,0,4,32.678014717741114
drop,0,4,41.36058770874188
drop,0,4,38.63712746109654
drop,0,4,35.16076373457559
drop,0,4,45.542354536265705
drop,0,4,43.39575328202393
drop,0,4,39.71900208508178
drop,0,4,43.53378180054761
drop,0,4,39.78665366641957
drop,0,4,35.9119639390107
drop,0,4,48.162103260139425
drop,0,4,46.38398419000885
drop,0,4,42.637068219290136
drop,0,4,47.629920751306294
drop,0,4,44.04350726568859
drop,0,4,41.93042501793382
drop,0,4,47.2225081537423
drop,0,4,45.8721129856592
drop,0,4,42.19721827063949
drop,0,4,43.47665363491778
drop,0,4,41.48542258442959
drop,0,4,43.19936693858074
drop,0,4,31.17146437517159
drop,0,4,42.990845695456294
drop,0,4,39.12990640777893
drop,0,4,38.17189625550405
drop,0,4,43.047788538000184
drop,0,4,43.864453405858725
drop,0,4,42.0445164235357
drop,0,4,40.612652734471666
drop,0,4,43.8948113806365
drop,0,4,38.728524678402216
drop,0,4,39.707380835485495
drop,0,4,41.877927864677325
drop,0,4,43.715210469024726
drop,0,5,13.616602805940342
drop,0,5,26.788593599817773
drop,0,5,19.886568234277107
drop,0,5,35.74976714639006
drop,0,5,29.42387080817468
drop,0,5,23.553144456887733
drop,0,5,39.589825378213455
drop,0,5,36.21315252970796
drop,0,5,33.13433203535074
drop,0,5,30.088036089530988
drop,0,5,42.42248420155826
drop,0,5,35.592905267523065
drop,0,5,38.39162540991449
drop,0,5,38.994040899724375
drop,0,5,41.41335691838747
drop,0,5,37.787277237800296
drop,0,5,33.56132316254447
drop,0,5,30.2368590809779
drop,0,5,32.827050994730705
drop,0,5,38.765651713454886
drop,0,5,33.5505186518273
hcs,0,0,55.54609734742332
hcs,0,1,54.69273380742885
hcs,0,1,53.182636209701116
hcs,0,1,54.10130659719128
hcs,0,1,54.640004812627254
hcs,0,1,54.582819741666746
hcs,0,1,50.95184276727795
hcs,0,1,51.72440020953351
hcs,0,2,50.53571700185483
hcs,0,2,53.110115511373124
hcs,0,2,53.39368830325484
hcs,0,2,53.61633618033276
hcs,0,2,50.13510723035333
hcs,0,2,50.70093152583194
hcs,0,2,51.14857076901265
hcs,0,2,52.02946528232667
hcs,0,2,51.57001126556145
hcs,0,2,48.82871423789385
hcs,0,2,48.88423283092159
hcs,0,2,52.4869716526821
hcs,0,2,52.80148110034646
hcs,0,2,49.23956928733998
hcs,0,2,49.824524454400695
hcs,0,2,53.3784705553207
hcs,0,2,50.04892835842637
hcs,0,2,50.379081912664546
hcs,0,2,49.701330537938645
hcs,0,2,50.631099793840704
hcs,0,2,46.50969183810746
hcs,0,3,47.58102305824638
hcs,0,3,49.19863191549017
hcs,0,3,48.64405857520868
hcs,0,3,45.541643151445264
hcs,0,3,44.67795703582957
hcs,0,3,51.13535956786694
hcs,0,3,51.83272577566183
hcs,0,3,48.155041211581306
hcs,0,3,48.60030368848319
hcs,0,3,52.040673457652844
hcs,0,3,48.82825817098242
hcs,0,3,48.89140659577738
hcs,0,3,49.05020776000964
hcs,0,3,49.45486190956553
hcs,0,3,45.61440287595781
hcs,0,3,49.36760616632417
hcs,0,3,49.34546793661559
hcs,0,3,46.03715602221066
hcs,0,3,45.05164951171202
hcs,0,3,50.31663906650259
hcs,0,3,47.54287404077159
hcs,0,3,47.47098958712216
hcs,0,3,46.74206372227812
hcs,0,3,46.901573724747315
hcs,0,3,42.6856515556744
hcs,0,3,49.98474025576232
hcs,0,3,47.52527287283221
hcs,0,3,45.61092157555758
hcs,0,3,48.00335564247291
hcs,0,3,47.848321518841566
hcs,0,3,44.15355801071685
hcs,0,3,48.52844816149214
hcs,0,3,49.304354998982454
hcs,0,3,45.26035637896091
hcs,0,3,45.01113591341235
hcs,0,4,40.866791385073476
hcs,0,4,45.27889800260557
hcs,0,4,41.63632490203889
hcs,0,4,40.19926436604403
hcs,0,4,47.777686340096395
hcs,0,4,44.18093656917353
hcs,0,4,42.06463662400881
hcs,0,4,43.01537620907331
hcs,0,4,42.06026882173056
hcs,0,4,35.90201071824516
hcs,0,4,48.83795279887826
hcs,0,4,45.828433468804185
hcs,0,4,44.2332118737471
hcs,0,4,46.82073292082169
hcs,0,4,46.521648902817184
hcs,0,4,42.91588264365194
hcs,0,4,47.542023754428236
hcs,0,4,47.785651429035305
hcs,0,4,43.751336888747225
hcs,0,4,43.92955888847077
hcs,0,4,46.82418001447832
hcs,0,4,44.08617028830963
hcs,0,4,39.54564754618367
hcs,0,4,43.69709830094097
hcs,0,4,42.80972261027046
hcs,0,4,37.218840682480995
hcs,0,4,45.09062215482608
hcs,0,4,45.8019327552673
hcs,0,4,40.94391457968695
hcs,0,4,40.80840815694437
hcs,0,4,44.40844023611605
hcs,0,4,42.49183906963938
hcs,0,4,40.58621379952832
hcs,0,4,41.59175967093085
hcs,0,4,43.531677922898766
hcs,0,5,35.268783875186905
hcs,0,5,34.06423813686606
hcs,0,5,30.584260594327983
hcs,0,5,38.40490119519879
hcs,0,5,36.695316346252014
hcs,0,5,29.64524923720127
hcs,0,5,42.02468819053637
hcs,0,5,39.488285974711616
hcs,0,5,33.37210547787811
hcs,0,5,33.9664250761153
hcs,0,5,42.59496575274561
hcs,0,5,40.833881107681734
hcs,0,5,38.727356045667655
hcs,0,5,40.32056190000736
hcs,0,5,42.11760176659414
hcs,0,5,40.36657491835018
hcs,0,5,34.94475582194942
hcs,0,5,31.79946951847395
hcs,0,5,34.993231907288624
hcs,0,5,37.89260078784725
hcs,0,5,36.280271298663486
dcs,0,0,54.72839295402721
dcs,0,1,53.88826758752584
dcs,0,1,52.68215758233079
dcs,0,1,54.42571498510116
dcs,0,1,54.13212108783505
dcs,0,1,53.48512552149094
dcs,0,1,50.43877198080835
dcs,0,1,49.78519167330508
dcs,0,2,49.64869172087941
dcs,0,2,53.48762972454162
dcs,0,2,52.65031686418267
dcs,0,2,52.82917908512697
dcs,0,2,49.796911392443995
dcs,0,2,47.88343226718016
dcs,0,2,51.59015793814813
dcs,0,2,51.846234044807105
dcs,0,2,51.037929402912184
dcs,0,2,48.04667956061393
dcs,0,2,47.21132442497667
dcs,0,2,53.22832897359873
dcs,0,2,53.167301282749634
dcs,0,2,49.71176220486718
dcs,0,2,48.078750877496304
dcs,0,2,52.43592903994716
dcs,0,2,49.323956348533486
dcs,0,2,48.87795928388164
dcs,0,2,49.63400105118967
dcs,0,2,48.40495282899045
dcs,0,2,43.269561796530766
dcs,0,3,47.71058275302721
dcs,0,3,47.92959609736011
dcs,0,3,47.602502481458025
dcs,0,3,44.904422307781374
dcs,0,3,42.57370337810937
dcs,0,3,51.40312079625462
dcs,0,3,52.13641214940975
dcs,0,3,49.30133788845205
dcs,0,3,45.974518502522166
dcs,0,3,51.495323800624334
dcs,0,3,48.00746614211806
dcs,0,3,46.607598704179296
dcs,0,3,49.14497534729434
dcs,0,3,46.99078216120215
dcs,0,3,41.72532527268868
dcs,0,3,49.80971262027928
dcs,0,3,49.53065393007616
dcs,0,3,46.01315623641484
dcs,0,3,43.93235498462346
dcs,0,3,49.55164871884545
dcs,0,3,46.96120129244778
dcs,0,3,46.678875316498505
dcs,0,3,46.141162690470985
dcs,0,3,45.603550656025845
dcs,0,3,40.57783579631867
dcs,0,3,50.33779267269243
dcs,0,3,47.99740275252632
dcs,0,3,44.76667606265151
dcs,0,3,48.30214159739927
dcs,0,3,46.00529773304258
dcs,0,3,41.192111284672364
dcs,0,3,47.78078367868609
dcs,0,3,47.10611685425879
dcs,0,3,41.9488877070579
dcs,0,3,42.703328956081876
dcs,0,4,39.779388526551976
dcs,0,4,45.21396748280363
dcs,0,4,40.84954987879233
dcs,0,4,38.37461404158815
dcs,0,4,46.00680916365043
dcs,0,4,43.20482618666816
dcs,0,4,41.45006889006741
dcs,0,4,42.93094505520705
dcs,0,4,39.918911241432234
dcs,0,4,33.411352085351375
dcs,0,4,48.81603346822361
dcs,0,4,46.74386207351267
dcs,0,4,42.24149149071936
dcs,0,4,47.622064554837515
dcs,0,4,44.80277503792456
dcs,0,4,39.563415781785615
dcs,0,4,47.13342321202331
dcs,0,4,44.92907043248013
dcs,0,4,39.73257680476369
dcs,0,4,41.55987026732999
dcs,0,4,46.54275651697669
dcs,0,4,43.285449363643345
dcs,0,4,38.55932562312824
dcs,0,4,43.320038059804155
dcs,0,4,41.95432063354572
dcs,0,4,36.21229010371479
dcs,0,4,44.25256775134715
dcs,0,4,45.00588936494194
dcs,0,4,39.49577657960704
dcs,0,4,39.56670528997302
dcs,0,4,44.62459995911415
dcs,0,4,40.24366194455261
dcs,0,4,37.650204980149866
dcs,0,4,39.901137966756785
dcs,0,4,40.51362851318693
dcs,0,5,33.95927938976626
dcs,0,5,32.97154095389324
dcs,0,5,29.930750067238986
dcs,0,5,38.9442135854909
dcs,0,5,34.094789265945316
dcs,0,5,27.85026671138975
dcs,0,5,41.11375638010856
dcs,0,5,38.63562994016023
dcs,0,5,32.55576850683473
dcs,0,5,31.673522912799534
dcs,0,5,43.52139523316165
dcs,0,5,37.13633155806427
dcs,0,5,35.8676235276367
dcs,0,5,37.95475037975809
dcs,0,5,38.5549590226051
dcs,0,5,40.03549908601152
dcs,0,5,34.671847015487934
dcs,0,5,31.467325067141772
dcs,0,5,34.54059146804644
dcs,0,5,38.04643715665516
dcs,0,5,31.80623521526208
drop,1,0,56.17263306651302
drop,1,1,55.19471463977802
drop,1,1,53.99703773005011
drop,1,1,54.870767669766785
drop,1,1,54.80913449954862
drop,1,1,55.44417597513057
drop,1,1,52.96749070494342
drop,1,1,52.194869443117256
drop,1,2,50.58799644484584
drop,1,2,53.71984391796294
drop,1,2,53.1278704746089
drop,1,2,54.47491971076993
drop,1,2,51.95795058763926
drop,1,2,50.61680859371789
drop,1,2,51.72668067203104
drop,1,2,52.170703276396615
drop,1,2,52.764213876884625
drop,1,2,49.70709352882409
drop,1,2,49.876519858602784
drop,1,2,52.569884191611685
drop,1,2,53.95260883496119
drop,1,2,51.452069525837096
drop,1,2,49.52868304806978
drop,1,2,53.76865040171504
drop,1,2,51.34401276466506
drop,1,2,50.12390101874469
drop,1,2,51.31531903853863
drop,1,2,50.909410507697416
drop,1,2,47.726140513198
drop,1,3,47.35508618620617
drop,1,3,48.17314440392835
drop,1,3,49.106213131273904
drop,1,3,45.77022878078088
drop,1,3,43.88015535134571
drop,1,3,50.76349307317213
drop,1,3,52.91513342047448
drop,1,3,50.19530597999405
drop,1,3,48.0146036729815
drop,1,3,52.143538077492565
drop,1,3,49.88875803049959
drop,1,3,47.99017168160592
drop,1,3,50.37018277238877
drop,1,3,49.177501250448806
drop,1,3,46.2343459470269
drop,1,3,48.64161978953359
drop,1,3,49.89482061253719
drop,1,3,47.634691976536956
drop,1,3,45.2490069038132
drop,1,3,50.57479865940512
drop,1,3,48.23780292103279
drop,1,3,47.574967156817436
drop,1,3,47.6188099839166
drop,1,3,47.845202783934646
drop,1,3,43.78068116521829
drop,1,3,50.4328279540466
drop,1,3,48.81053553482977
drop,1,3,44.02386215360342
drop,1,3,49.707627570305114
drop,1,3,47.67473691187606
drop,1,3,45.03506269277941
drop,1,3,49.650891248857135
drop,1,3,48.95121358255502
drop,1,3,45.58898870483583
drop,1,3,45.233369074219965
drop,1,4,35.45656291908451
drop,1,4,43.7902349950028
drop,1,4,38.77582974592272
drop,1,4,33.94929738534057
drop,1,4,46.735118446799156
drop,1,4,43.638541844119466
drop,1,4,40.38374160771038
drop,1,4,44.04572142991745
drop,1,4,40.782687595117515
drop,1,4,35.76005787238486
drop,1,4,48.58070050922516
drop,1,4,46.59030265327302
drop,1,4,42.47784051000647
drop,1,4,47.92112753869343
drop,1,4,45.83910346024923
drop,1,4,43.23250229542404
drop,1,4,47.73010373065361
drop,1,4,46.524707971532365
drop,1,4,42.83390419019044
drop,1,4,43.16977338338464
drop,1,4,42.164072198083744
drop,1,4,43.7207470557064
drop,1,4,32.074803919079166
drop,1,4,44.60546211670868
drop,1,4,41.46506914112418
drop,1,4,38.88862138718309
drop,1,4,45.888147141609245
drop,1,4,45.53116328288321
drop,1,4,41.80262755293971
drop,1,4,40.763240706701744
drop,1,4,45.52556590890823
drop,1,4,38.819173503907564
drop,1,4,39.71614622982492
drop,1,4,43.238072878612435
drop,1,4,43.513468917251146
drop,1,5,20.044798158814245
drop,1,5,30.126340119259705
drop,1,5,22.967104807406578
drop,1,5,32.75538124926968
drop,1,5,32.43663859066314
drop,1,5,22.271495875080262
drop,1,5,40.84383135909909
drop,1,5,36.17690742704988
drop,1,5,30.710530146505743
drop,1,5,33.53480829740788
drop,1,5,42.536256337743765
drop,1,5,35.641694500175014
drop,1,5,35.419419736188054
drop,1,5,40.543727309933125
drop,1,5,39.58016726549679
drop,1,5,36.22314380449885
drop,1,5,30.89305587722013
drop,1,5,25.156659470256415
drop,1,5,35.76730098016365
drop,1,5,38.60228941005192
drop,1,5,34.58839307555879
hcs,1,0,56.159989391505974
hcs,1,1,55.27359015003774
hcs,1,1,53.80528504551193
hcs,1,1,54.69476611544097
hcs,1,1,55.02371636856643
hcs,1,1,55.017408428619184
hcs,1,1,51.37280749861844
hcs,1,1,52.38003761708012
hcs,1,2,50.530225267079146
hcs,1,2,53.608287952124314
hcs,1,2,53.42801480390564
hcs,1,2,54.0978141398237
hcs,1,2,50.304016020989
hcs,1,2,51.03718479277243
hcs,1,2,51.77755638984518
hcs,1,2,52.04128856395993
hcs,1,2,52.352056580996766
hcs,1,2,48.68695107386986
hcs,1,2,49.60301292457399
hcs,1,2,52.715723860756704
hcs,1,2,53.54438942084131
hcs,1,2,50.17318731391984
hcs,1,2,49.947540140163724
hcs,1,2,53.57676676847507
hcs,1,2,49.77788608344847
hcs,1,2,50.861310021228256
hcs,1,2,49.91028232843684
hcs,1,2,51.028714200795164
hcs,1,2,47.35616761738849
hcs,1,3,47.682990236898064
hcs,1,3,48.44620584725266
hcs,1,3,48.97108843425117
hcs,1,3,44.5849895426262
hcs,1,3,45.290077697838136
hcs,1,3,50.838788826141545
hcs,1,3,52.385180230292995
hcs,1,3,48.422530805544845
hcs,1,3,48.37480257249543
hcs,1,3,52.11087483604958
hcs,1,3,47.74955993085761
hcs,1,3,49.06574864534258
hcs,1,3,48.48134447258276
hcs,1,3,49.59281434123889
hcs,1,3,45.63513665954332
hcs,1,3,49.33715715034304
hcs,1,3,50.171772340074185
hcs,1,3,46.51101054092599
hcs,1,3,45.153675859198984
hcs,1,3,50.566448186182576
hcs,1,3,46.703287203559576
hcs,1,3,47.64303073389054
hcs,1,3,46.753351434991394
hcs,1,3,48.26082295863988
hcs,1,3,43.57138609876953
hcs,1,3,50.12336734666945
hcs,1,3,47.88745031731971
hcs,1,3,45.77591476668235
hcs,1,3,48.686285521303354
hcs,1,3,47.55512859078181
hcs,1,3,44.84731848188292
hcs,1,3,48.382208704267796
hcs,1,3,49.513262966994176
hcs,1,3,45.5044754086377
hcs,1,3,45.20544609244508
hcs,1,4,40.10997820257989
hcs,1,4,45.64508842253964
