contrast,missing_groups,delta_miou,ci_lo,ci_hi
hcs_minus_drop,0,-0.0222,-0.2834,0.2390
hcs_minus_drop,1,-0.0098,-0.2167,0.1970
hcs_minus_drop,2,0.0359,-0.1921,0.2640
hcs_minus_drop,3,0.1939,-0.0922,0.4800
hcs_minus_drop,4,1.2945,0.8124,1.7766
hcs_minus_drop,5,3.2294,2.3003,4.1586
dcs_minus_drop,0,-0.4020,-1.0030,0.1990
dcs_minus_drop,1,-0.5137,-1.0520,0.0246
dcs_minus_drop,2,-0.5606,-1.0265,-0.0948
dcs_minus_drop,3,-0.4698,-0.8431,-0.0966
dcs_minus_drop,4,0.6356,0.3753,0.8958
dcs_minus_drop,5,2.7776,2.0373,3.5180
dcs_minus_hcs,0,-0.3798,-1.0147,0.2551
dcs_minus_hcs,1,-0.5039,-0.9296,-0.0782
dcs_minus_hcs,2,-0.5966,-0.9469,-0.2462
dcs_minus_hcs,3,-0.6637,-0.9963,-0.3311
dcs_minus_hcs,4,-0.6589,-1.0631,-0.2548
dcs_minus_hcs,5,-0.4518,-0.9598,0.0561
