seed,missing_groups,calib_policy,deploy_policy,acc,crc_feasible,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,exceeded_alpha,n_calib_units,n_eval_units
0,1,uniform,uniform,80.726,1,1.301514750047712,0.6857985549328501,9.975999,8.329007,72.241596,11.529378,0,26,27
0,1,uniform,transmittance_weighted,81.719,1,1.301514750047712,0.6857985549328501,9.975999,7.645231,73.331005,10.425647,0,26,27
0,1,transmittance_weighted,uniform,80.726,1,1.3293719626880733,0.6950273284164694,9.854594,7.905075,70.106954,11.275736,0,26,27
0,1,transmittance_weighted,transmittance_weighted,81.719,1,1.3293719626880733,0.6950273284164694,9.854594,7.09909,71.813807,9.885411,0,26,27
0,2,uniform,uniform,78.294,1,1.34583016606344,0.6894785825500911,9.884822,8.173213,68.053479,12.009986,0,26,27
0,2,uniform,transmittance_weighted,80.563,1,1.34583016606344,0.6894785825500911,9.884822,7.72773,69.505291,11.118189,0,26,27
0,2,transmittance_weighted,uniform,78.294,1,1.3395801804119276,0.7327390377148097,9.977598,6.786038,63.579595,10.673295,0,26,27
0,2,transmittance_weighted,transmittance_weighted,80.563,1,1.3395801804119276,0.7327390377148097,9.977598,6.625277,65.466191,10.12015,0,26,27
0,3,uniform,uniform,75.611,1,1.3692713993138415,0.7242612351723241,9.924258,7.838573,59.959001,13.073222,0,26,27
0,3,uniform,transmittance_weighted,77.225,1,1.3692713993138415,0.7242612351723241,9.924258,7.954409,63.290048,12.568182,0,26,27
0,3,transmittance_weighted,uniform,75.611,1,1.369477435541105,0.7299660647227044,9.967128,7.665103,59.218338,12.943799,0,26,27
0,3,transmittance_weighted,transmittance_weighted,77.225,1,1.369477435541105,0.7299660647227044,9.967128,7.821784,62.751382,12.46472,0,26,27
0,4,uniform,uniform,71.684,1,1.5180234148288032,0.7215590247093142,9.978533,7.97527,52.177387,15.284917,0,26,27
0,4,uniform,transmittance_weighted,74.324,1,1.5180234148288032,0.7215590247093142,9.978533,7.760344,57.819307,13.421718,0,26,27
0,4,transmittance_weighted,uniform,71.684,1,1.4915324982594673,0.7394703596331172,9.949888,7.540725,50.931708,14.805562,0,26,27
0,4,transmittance_weighted,transmittance_weighted,74.324,1,1.4915324982594673,0.7394703596331172,9.949888,7.315305,56.54599,12.936912,0,26,27
