index,roi_id,s2_id,component_id
0,ROI_0001,S2A_MSIL1C_20190212T142031_N0207_R010_T19FDF_20190212T191443,ROI_0001
1,ROI_0001,S2A_MSIL1C_20190304T142031_N0207_R010_T19FDF_20190304T174117,ROI_0001
2,ROI_0001,S2B_MSIL1C_20190316T141049_N0207_R110_T19FDF_20190316T203712,ROI_0001
3,ROI_0001,S2B_MSIL1C_20190525T141059_N0207_R110_T19FDF_20190525T172715,ROI_0001
4,ROI_0001,S2A_MSIL1C_20200308T141731_N0209_R010_T19FDF_20200308T185654,ROI_0001
5,ROI_0010,S2A_MSIL1C_20190125T112341_N0207_R037_T28QFG_20190125T132414,ROI_0010
6,ROI_0010,S2A_MSIL1C_20190724T112121_N0208_R037_T28QFG_20190724T115424,ROI_0010
7,ROI_0010,S2A_MSIL1C_20190813T112121_N0208_R037_T28QFG_20190813T131917,ROI_0010
8,ROI_0010,S2B_MSIL1C_20190907T112119_N0208_R037_T28QFG_20190907T140737,ROI_0010
9,ROI_0010,S2A_MSIL1C_20190922T112111_N0208_R037_T28QFG_20190922T131449,ROI_0010
10,ROI_0011,S2A_MSIL1C_20190130T103251_N0207_R108_T31REP_20190130T105329,ROI_0011
11,ROI_0011,S2B_MSIL1C_20190306T103019_N0207_R108_T31REP_20190306T141638,ROI_0011
12,ROI_0011,S2A_MSIL1C_20190318T102021_N0207_R065_T31REP_20190318T154039,ROI_0011
13,ROI_0011,S2A_MSIL1C_20190517T102031_N0207_R065_T31REP_20190517T122325,ROI_0011
14,ROI_0011,S2B_MSIL1C_20190830T102029_N0208_R065_T31REP_20190830T130621,ROI_0011
15,ROI_0032,S2A_MSIL1C_20190315T032531_N0207_R018_T49TFH_20190315T075928,ROI_0032
16,ROI_0032,S2B_MSIL1C_20190330T032539_N0207_R018_T49TFH_20190330T080011,ROI_0032
17,ROI_0032,S2A_MSIL1C_20190713T032541_N0208_R018_T49TFH_20190713T070321,ROI_0032
18,ROI_0032,S2B_MSIL1C_20190817T032539_N0208_R018_T49TFH_20190817T081113,ROI_0032
19,ROI_0032,S2A_MSIL1C_20191110T032951_N0208_R018_T49TFH_20191110T062104,ROI_0032
